A,B,C,t,Run
2.0,1.0,0.0,0.0,0
1.9276984598270275,1.03904708457668,0.015563646155542179,0.5263157894736842,0
1.8601578799075398,1.072444368560916,0.031896749062613416,1.0526315789473684,0
1.7971213446008818,1.1006253300045756,0.04887522223862462,1.5789473684210527,0
1.7382872680157178,1.1240362655655218,0.06638820483208185,2.1052631578947367,0
1.6833379730985882,1.1431165033226165,0.08433620705872258,2.631578947368421,0
1.6319571154996453,1.1582856568756057,0.1026296455321294,3.1578947368421053,0
1.5838399503264,1.1699364274629573,0.12118750428401094,3.6842105263157894,0
1.5386982680830243,1.1784312147492813,0.1399364626318178,4.2105263157894735,0
1.4962627392415193,1.184101076571963,0.1588100127859775,4.7368421052631575,0
1.4562830623198941,1.187246545484129,0.17774776214398713,5.263157894736842,0
1.4185275936867185,1.1881391499853748,0.196694868969459,5.789473684210526,0
1.3827823110138695,1.187023472657458,0.2156014472900232,6.315789473684211,0
1.348849937147305,1.1841193537117505,0.2344221667424691,6.842105263157895,0
1.3165486320831494,1.1796241728353323,0.2531158421575057,7.368421052631579,0
1.2857112525767977,1.173714985625324,0.2716450436652842,7.894736842105263,0
1.2561844143144487,1.1665505369824984,0.28997587096701594,8.421052631578947,0
1.2278278687507678,1.1582731514641722,0.3080774608366852,8.947368421052632,0
1.2005136670841678,1.1490103775556548,0.325922007641811,9.473684210526315,0
1.1741256778458669,1.1388766207561787,0.3434843118866837,10.0,0
