t,Run,S,I,R,dSdt,dIdt,dRdt
0.0,0,0.8241226393891008,0.023990208091141104,0.0,-0.11862524166938981,0.06344776305976528,0.05517747860962453
0.10101010101010101,0,0.8105196340157326,0.03121309022821689,0.006380123236292576,-0.15179293480964634,0.0800028272847475,0.07179010752489884
0.20202020202020202,0,0.7932368159518233,0.040233632880920314,0.014642398647498344,-0.1914887930438149,0.09895143741769817,0.09253735562611672
0.30303030303030304,0,0.7716279419454334,0.051255100587168506,0.025229804947640082,-0.23729920668169807,0.11941247533121052,0.11788673135048755
0.40404040404040403,0,0.7451410920392114,0.06435254025601153,0.0386192151850189,-0.2877103327311705,0.139699490142344,0.14801084258882652
0.5050505050505051,0,0.7134457159133676,0.07938548378530809,0.05528164778156629,-0.33982339987402893,0.15723678716782033,0.1825866127062086
0.6060606060606061,0,0.6765754463821883,0.09591519091212498,0.07562221018592874,-0.3893631786372226,0.16875823953933514,0.22060493909788745
0.7070707070707071,0,0.6350466929766492,0.11316153606105592,0.09990461844253679,-0.43117715548638835,0.17090562254595976,0.2602715329404286
0.8080808080808081,0,0.5898991769824313,0.13003941572141223,0.12817425477639832,-0.4602608658560239,0.16117020969677576,0.2990906561592481
0.9090909090909091,0,0.5426165908431989,0.14529501461141123,0.16020124202563168,-0.4730369129697404,0.1388583793634946,0.3341785336062458
1.0101010101010102,0,0.4949268899344221,0.15772074768231858,0.19546520986350113,-0.46836143477124986,0.10560371510191713,0.36275771966933273
1.1111111111111112,0,0.44853630087765595,0.16638347696497807,0.23319306963760772,-0.44777417571020367,0.06509217869075412,0.38268199701944955
1.2121212121212122,0,0.40488258014068557,0.17078670281302066,0.2724435645265356,-0.41489136533193777,0.022081948861990275,0.3928094164699475
1.3131313131313131,0,0.36497969279865106,0.17091667512886177,0.31221647955272896,-0.37428669349619287,-0.018821659300189197,0.39310835279638207
1.4141414141414141,0,0.3293791550010374,0.16717487180571441,0.35155882067349,-0.3303835080766378,-0.05411869707650535,0.38450220515314315
1.5151515151515151,0,0.29822590730315807,0.16024079531784496,0.3896461448592387,-0.2867277394238637,-0.0818260898071797,0.3685538292310434
1.6161616161616161,0,0.2713638197490753,0.15091973636229417,0.4258292913688723,-0.24572493680877336,-0.10139045682450318,0.34711539363327654
1.7171717171717171,0,0.24844895512526052,0.14001577448131794,0.45964811787366333,-0.20872063722562534,-0.11331564408140588,0.3220362813070312
1.8181818181818181,0,0.2290449062525463,0.12824740835462473,0.49082053287307076,-0.17624649374230225,-0.11872254547333458,0.29496903921563683
1.9191919191919191,0,0.21269101020487213,0.11620487832492608,0.5192169589504436,-0.14829439776997666,-0.1189768223773533,0.26727122014732996
2.0202020202020203,0,0.19894473366754206,0.10433934755104977,0.5448287662616499,-0.12454658225753222,-0.11543391710988225,0.23998049936741447
2.121212121212121,0,0.18740407571780068,0.09297203577416084,0.5677367359882802,-0.10454003059115347,-0.10929565168941646,0.21383568228056993
2.2222222222222223,0,0.17771655917299092,0.08231329715752941,0.5880829911497214,-0.08777061567012037,-0.10154996779219727,0.18932058346231764
2.323232323232323,0,0.16958006830410408,0.07248498007591143,0.6060477991002263,-0.0737520472337681,-0.09296340694082819,0.1667154541745963
2.4242424242424243,0,0.1627394035796392,0.0635418866778117,0.6218315572227908,-0.062044612441632584,-0.08410172691733431,0.1461463393589669
2.525252525252525,0,0.15698093383144332,0.05549046516301859,0.6356414484857799,-0.05226567024019099,-0.07536239963475175,0.12762806987494274
2.6262626262626263,0,0.15212675524427083,0.048304045449910356,0.6476820467860606,-0.04409002619679988,-0.06700927833799394,0.11109930453479382
2.727272727272727,0,0.14802909352098037,0.041934694232180186,0.6581490597270812,-0.0372453286456147,-0.05920446808839972,0.09644979673401442
2.8282828282828283,0,0.14456528855126385,0.03632208557120365,0.6672254733577743,-0.03150547668830852,-0.05203532012545987,0.08354079681376839
2.929292929292929,0,0.1416334759656384,0.03139991065747259,0.6750794608571308,-0.026683670948570028,-0.045536123563616936,0.07221979451218696
3.0303030303030303,0,0.13914895229170357,0.02710035158178253,0.6818635436067556,-0.022625913176051105,-0.03970489546204871,0.06233080863809982
3.131313131313131,0,0.13704115699638192,0.023357076218024596,0.6877146142658351,-0.019205284493824602,-0.034515990807631965,0.05372127530145657
3.2323232323232323,0,0.13525119034974067,0.020107136067504493,0.6927545210629965,-0.01631708452592512,-0.02992932842933521,0.04624641295526033
3.3333333333333335,0,0.13372977957670767,0.017292076358877115,0.6970909915446569,-0.013874793359377406,-0.02589698226603996,0.039771775625417366
3.4343434343434343,0,0.13243561552316352,0.014858479384294429,0.7008187525727837,-0.01180675117798361,-0.022367751405893574,0.034174502583877185
3.5353535353535355,0,0.13133399249473823,0.012758128966566846,0.7040207260189366,-0.010053456083651956,-0.01929024053945179,0.029343696623103745
3.6363636363636362,0,0.1303956952500947,0.010947922938414378,0.7067692292917326,-0.008565372138594015,-0.01661485061975905,0.025180222758353066
3.7373737373737375,0,0.12959608563531347,0.009389625543633496,0.7091271363012948,-0.007301152296217521,-0.01429498645413952,0.02159613875035704
3.8383838383838382,0,0.12891434978767963,0.008049525571171874,0.7111489721213902,-0.006226196130641536,-0.012287712683053773,0.018513908813695308
3.9393939393939394,0,0.12833287881295466,0.006898051161189901,0.7128819175060972,-0.005311480582287269,-0.010554037088449502,0.01586551767073677
4.040404040404041,0,0.1278367545253654,0.005909367861487368,0.7143667250933889,-0.004532606452254265,-0.00905893962916668,0.013591546081420946
