,Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
19,fhn,10,10,5,0,1.00E-06,2,10,0.1,tanh,30,212,4.00E-05,121.4066868,0.002689383,0.002689382,0.030219125,0.617785783,0.248499894,0.636509476,0.221273883,converge,1.040337677,0.045328687,0.92008754,0.258502905,2.395674208,1.696782343
20,fhn,10,10,5,0,1.00E-06,1,15,0.1,tanh,30,171,0.000205775,80.81009817,0.013421591,0.013421592,0.06626031,0.902989869,0.378144949,0.936376593,0.319841155,converge,1.043575668,0.099390464,1.418797658,0.364169849,5.390033977,3.204065035
21,fhn,10,10,5,0,1.00E-06,2,15,0.1,tanh,30,181,4.62E-05,103.7553043,0.004377556,0.004377556,0.035070392,0.61492107,0.241653171,0.646625175,0.227729589,converge,1.037744293,0.052605589,0.959645,0.265999309,2.42435156,1.631210482
22,fhn,10,10,5,0,1.00E-06,1,20,0.1,tanh,30,210,5.92E-05,134.4567075,0.008866303,0.008866304,0.045930241,0.673505962,0.243188729,0.643180554,0.2194013,converge,1.039691544,0.068895362,0.773385749,0.230245847,2.248826739,1.560589484
23,fhn,10,10,5,0,1.00E-06,2,20,0.1,tanh,30,221,5.94E-05,202.1432264,0.003884832,0.003884832,0.037776888,0.749124596,0.278522484,0.746704732,0.242658938,converge,1.038470154,0.056665333,1.06772553,0.282251901,2.975898402,1.923427171
24,fhn,10,4,5,0.05,1.00E-06,1,10,0.1,tanh,30,303,0.004514295,88.47298622,0.301097877,0.319720745,0.352987034,1.506202637,0.729138112,2.166341178,0.837723724,converge,1.054088364,0.529480551,2.988287294,0.937642662,12.73661587,6.954436447
25,fhn,10,4,5,0.05,1.00E-06,2,10,0.1,tanh,30,218,0.004476381,82.04731703,0.168322838,0.258716927,0.249816961,0.509448793,0.41953414,1.059663447,0.579849153,converge,1.097263031,0.374725442,1.265676356,0.626480787,3.044225659,3.658645513
26,fhn,10,4,5,0.05,1.00E-06,1,15,0.1,tanh,30,244,0.004024213,72.81916142,0.171323849,0.22984663,0.267999744,0.722211005,0.50211091,1.303525246,0.659601575,converge,1.029100723,0.401999617,1.746252027,0.750508283,4.912342666,4.584203143
27,fhn,10,4,5,0.05,1.00E-06,2,15,0.1,tanh,30,258,0.004522022,99.2251246,0.116883187,0.202591705,0.209488877,0.476290301,0.427057035,0.832856317,0.54625923,converge,1.101265869,0.314233315,0.979757115,0.5764801,3.119604277,3.793196543
28,fhn,10,4,5,0.05,1.00E-06,1,20,0.1,tanh,30,313,0.00402205,96.53239393,0.148690744,0.210853214,0.251929543,0.714707007,0.487169255,1.258420668,0.637548093,converge,1.028669128,0.377894314,1.667941175,0.723788112,4.506726054,4.364480756
