,Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
19,sir,10,10,5,0,1.00E-06,2,10,0.1,tanh,25,230,0.000272616,109.1566491,0.457132075,0.457132111,0.235899141,22.77873181,1.288307282,0.001662698,0.022443993,converge,0.047842404,0.314532188,0.00033865,0.011755033,0.019989304,0.720817088
20,sir,10,10,5,0,1.00E-06,1,15,0.1,tanh,25,341,0.000277579,136.4773757,3.515036952,3.515037028,0.585532989,588.7657459,6.523416645,0.001479729,0.021649345,converge,0.048011764,0.780710652,0.000403603,0.012343242,0.012081233,0.521703995
21,sir,10,10,5,0,1.00E-06,2,15,0.1,tanh,25,296,0.000175701,144.3827758,2.744097907,2.7440979,0.549156654,1524.294384,10.09401644,0.001602077,0.021413146,converge,0.047802035,0.732208872,0.000310055,0.011723554,0.016648888,0.654656125
22,sir,10,10,5,0,1.00E-06,1,20,0.1,tanh,25,224,0.000568648,130.4912729,1.280851995,1.280851949,0.335149714,42.97054303,1.965205199,0.001040408,0.01821026,converge,0.04861413,0.446866286,0.000335282,0.012048148,0.034396664,0.824457167
23,sir,10,10,5,0,1.00E-06,2,20,0.1,tanh,25,290,0.000320064,228.1754408,0.42725509,0.427255147,0.222012858,5.826686655,0.694322493,0.002059546,0.024582953,converge,0.048438686,0.296017143,0.000451809,0.013556876,0.017419625,0.665547203
24,sir,10,4,5,0.05,1.00E-06,1,10,0.1,tanh,25,197,0.002879368,51.13534188,0.349811731,0.355668615,0.180142339,19.0863898,0.77697126,0.005306471,0.054128738,converge,0.04458264,0.240189786,0.002694755,0.039881622,0.164972108,2.641008693
25,sir,10,4,5,0.05,1.00E-06,2,10,0.1,tanh,25,230,0.002892022,75.59697008,0.055168394,0.055290826,0.089833343,0.081157795,0.086210167,0.006046772,0.058009745,converge,0.045327314,0.119777791,0.003204199,0.043287429,0.164478875,2.666769589
26,sir,10,4,5,0.05,1.00E-06,1,15,0.1,tanh,25,188,0.002903725,48.59124613,0.027177749,0.027051738,0.075015357,0.012949863,0.047250712,0.004746013,0.051652836,converge,0.044463367,0.100020476,0.00244342,0.038538467,0.165070613,2.593934931
27,sir,10,4,5,0.05,1.00E-06,2,15,0.1,tanh,25,233,0.002876442,77.88530087,0.01852485,0.018526948,0.063866131,0.005242117,0.038839805,0.007546811,0.06458101,converge,0.04492911,0.085154841,0.003630333,0.046327062,0.178794108,2.724488255
28,sir,10,4,5,0.05,1.00E-06,1,20,0.1,tanh,25,175,0.00299539,47.32287407,0.015728014,0.016983957,0.057330364,0.02013871,0.054640299,0.003486424,0.046562757,converge,0.044494829,0.076440485,0.002544071,0.039882,0.15312316,2.567612101
29,sir,10,4,5,0.05,1.00E-06,2,20,0.1,tanh,25,205,0.002869094,70.97547102,0.987719045,0.994914754,0.326101387,198.017926,2.895443655,0.005943527,0.057795194,converge,0.044337015,0.434801849,0.003036808,0.04276785,0.195036722,2.739787723
30,sir,10,7,5,0.05,1.00E-06,1,10,0.1,tanh,25,198,0.003421932,87.42947125,0.011861853,0.01219245,0.056917554,0.002353035,0.032657913,0.006412278,0.059890289,converge,0.04365372,0.075890072,0.003634216,0.045791124,0.174791453,2.731191245
31,sir,10,7,5,0.05,1.00E-06,2,10,0.1,tanh,25,295,0.003220958,169.0102055,1.143910681,1.153002523,0.38346672,178.6104009,3.36935282,0.010085311,0.073046415,converge,0.043588746,0.51128896,0.00405552,0.049138397,0.181141228,2.750737267
32,sir,10,7,5,0.05,1.00E-06,1,15,0.1,tanh,25,216,0.00353005,95.95502114,0.023315335,0.023654277,0.071598219,0.008138079,0.040080182,0.006006285,0.059679088,converge,0.043794044,0.095464292,0.003235451,0.044822297,0.15398691,2.610436445
33,sir,10,7,5,0.05,1.00E-06,2,15,0.1,tanh,25,207,0.003432621,120.7841439,0.027878106,0.030154947,0.069558669,0.047868714,0.073924314,0.005025604,0.054462581,converge,0.043754794,0.092744892,0.003405219,0.045284462,0.182712131,2.757395079
34,sir,10,7,5,0.05,1.00E-06,1,20,0.1,tanh,25,308,0.003420497,140.7612295,0.453957265,0.460439555,0.217502942,10.81773577,0.854391873,0.002910887,0.042831998,converge,0.043533869,0.290003922,0.002650206,0.040457526,0.171608893,2.675313991
35,sir,10,7,5,0.05,1.00E-06,2,20,0.1,tanh,25,335,0.003277023,202.948436,1.269059069,1.278856099,0.393214812,241.6227237,3.772848089,0.006167956,0.058866839,converge,0.043521697,0.524286416,0.003349482,0.044553495,0.202935888,2.785196734
36,sir,10,9,5,0.05,1.00E-06,1,10,0.1,tanh,25,310,0.003431286,167.8871796,0.017209205,0.017602011,0.06028131,0.005554237,0.039016369,0.005715768,0.056511096,converge,0.043892574,0.080375081,0.003182432,0.042813982,0.157177351,2.630942525
37,sir,10,9,5,0.05,1.00E-06,2,10,0.1,tanh,25,247,0.003420064,177.5743263,0.327583811,0.332620239,0.161169414,18.52155541,0.789726203,0.00695864,0.062668319,converge,0.043983444,0.214892551,0.00381498,0.047413504,0.159589165,2.654844219
38,sir,10,9,5,0.05,1.00E-06,1,15,0.1,tanh,25,354,0.003661288,191.8483763,0.034584097,0.034888096,0.07619497,0.029602882,0.059219283,0.003566756,0.04552977,converge,0.044349947,0.101593293,0.002267557,0.03747876,0.16397527,2.575579287
39,sir,10,9,5,0.05,1.00E-06,2,15,0.1,tanh,25,353,0.003421536,254.8658757,0.083415716,0.083179207,0.102295493,0.098194303,0.101829099,0.014211625,0.088990222,converge,0.044007972,0.136393991,0.006066252,0.061461856,0.150118298,2.645534746
40,sir,10,9,5,0.05,1.00E-06,1,20,0.1,tanh,25,456,0.003560943,249.6111929,0.047739472,0.050464176,0.075773759,0.272834112,0.133795102,0.003490822,0.046626307,converge,0.044005756,0.101031679,0.002669236,0.041081169,0.142054979,2.525048366
41,sir,10,9,5,0.05,1.00E-06,2,20,0.1,tanh,25,420,0.003401842,362.8469496,0.591646718,0.597499847,0.247584003,13.69214415,0.865670465,0.006166539,0.058179715,converge,0.04396841,0.330112004,0.002935371,0.042937609,0.157095974,2.595998614
42,sir,10,10,5,0.05,1.00E-06,1,10,0.1,tanh,25,325,0.003492157,138.0534456,0.306337177,0.312376862,0.135871079,5.795487971,0.432352562,0.00344632,0.046226821,converge,0.044278418,0.181161439,0.002676932,0.04137236,0.116105146,2.400444721
43,sir,10,10,5,0.05,1.00E-06,2,10,0.1,tanh,25,301,0.003531248,121.7679904,0.064700467,0.066837616,0.105520622,0.238841956,0.164987609,0.005647272,0.054860355,converge,0.043929412,0.140694163,0.0023049,0.03891708,0.117349221,2.36365916
44,sir,10,10,5,0.05,1.00E-06,1,15,0.1,tanh,25,337,0.003661316,122.2985668,0.044144043,0.044414546,0.088752145,0.027686464,0.054421177,0.00438438,0.049353892,converge,0.044105479,0.118336193,0.002016756,0.035677682,0.124330389,2.370454558
45,sir,10,10,5,0.05,1.00E-06,2,15,0.1,tanh,25,337,0.003409209,151.8564382,0.365692884,0.36993426,0.181039747,31.22343623,1.07589815,0.00624912,0.05966442,converge,0.043959757,0.241386329,0.003281508,0.044842911,0.12498174,2.470616833
46,sir,10,10,5,0.05,1.00E-06,1,20,0.1,tanh,25,393,0.003542908,216.2335405,0.138325622,0.142953542,0.117431878,0.615775175,0.199835883,0.004722687,0.052830192,converge,0.044046764,0.156575838,0.002799686,0.042641847,0.106411374,2.32900822
47,sir,10,10,5,0.05,1.00E-06,2,20,0.1,tanh,25,412,0.003390885,300.0961707,1.472412167,1.483150126,0.404377659,76.29254764,2.314971178,0.007482698,0.065396792,converge,0.044052728,0.539170212,0.003702241,0.048215466,0.1446106,2.610063369
48,sir,10,4,5,0.1,1.00E-06,1,10,0.1,tanh,25,385,0.008685204,96.70428586,0.104630002,0.103027318,0.137279666,0.06783099,0.137032306,0.018245198,0.105248514,converge,0.054340979,0.183039555,0.01505352,0.094662842,1.315761315,7.315610254
49,sir,10,4,5,0.1,1.00E-06,2,10,0.1,tanh,25,490,0.00871661,160.2505612,1.541317542,1.573760986,0.568092527,33.36603611,1.819439454,0.032946353,0.14173988,converge,0.204548785,0.757456702,0.01925477,0.107664653,47.17311922,18.60392713
50,sir,10,4,5,0.1,1.00E-06,1,15,0.1,tanh,25,459,0.008798127,118.7288055,18.57427046,18.5711849,1.684364953,1972.252933,13.77524575,0.043775962,0.13508262,converge,1.101428426,2.245819938,0.023596834,0.108119653,698.7260178,49.07615322
51,sir,10,4,5,0.1,1.00E-06,2,15,0.1,tanh,25,632,0.007808054,210.6013324,3.532175324,3.532584635,0.895526662,773.4459591,9.707843067,0.043552888,0.156372077,converge,0.054623585,1.194035549,0.022033114,0.111907304,0.800995571,5.982363971
52,sir,10,4,5,0.1,1.00E-06,1,20,0.1,tanh,25,487,0.008653492,131.5088451,0.120342943,0.124327164,0.190219443,0.079487811,0.139059462,0.021517056,0.10768112,converge,0.052500683,0.253625925,0.016044645,0.094472786,0.588092671,4.977770834
53,sir,10,4,5,0.1,1.00E-06,2,20,0.1,tanh,25,577,0.007930718,200.0998847,6.677649803,6.669061279,0.948789003,11.01013564,1.513542953,0.044304205,0.146776367,converge,0.362757721,1.265052004,0.02527988,0.116887713,38.49239689,16.81832636
54,sir,10,7,5,0.1,1.00E-06,1,10,0.1,tanh,25,595,0.009732947,263.386692,0.011020487,0.015347125,0.070208878,0.021615363,0.080402421,0.013369279,0.089533125,converge,0.050173963,0.093611837,0.012935468,0.08779444,0.758415248,5.756002635
55,sir,10,7,5,0.1,1.00E-06,2,10,0.1,tanh,25,566,0.009800981,328.0305121,1.34535446,1.347429301,0.420416692,1.384758362,0.504776984,0.014214215,0.094577518,converge,0.050961936,0.56055559,0.01194052,0.083418033,0.626722496,5.352163916
56,sir,10,7,5,0.1,1.00E-06,1,15,0.1,tanh,25,674,0.010038454,301.2952816,1.655113351,1.654795227,0.445264399,0.368004239,0.297428191,0.022761474,0.10965582,converge,0.051290404,0.593685865,0.018206755,0.099828982,0.716446854,5.362259147
57,sir,10,7,5,0.1,1.00E-06,2,15,0.1,tanh,25,600,0.009155405,350.0212841,1.734993049,1.733157349,0.557860509,137.5213889,3.663264916,0.014198514,0.091885481,converge,0.050046193,0.743814011,0.011970555,0.081563451,0.856249677,6.183239522
58,sir,10,7,5,0.1,1.00E-06,1,20,0.1,tanh,25,460,0.010887909,204.7706957,0.418088827,0.432556814,0.207152061,4.212479165,0.48461265,0.013022384,0.087200087,converge,0.050772924,0.276202749,0.015461256,0.093930396,0.880024934,6.189563867
59,sir,10,7,5,0.1,1.00E-06,2,20,0.1,tanh,25,882,0.009157096,518.0437882,6.028801465,6.027717692,0.85514339,9.65492106,1.335651857,0.025991675,0.117238629,converge,0.049392805,1.140191187,0.017374941,0.095406673,0.727110321,5.545521901
60,sir,10,9,5,0.1,1.00E-06,1,10,0.1,tanh,25,155,221593.92,83.29689479,109035.3848,109039.1333,204.374177,27510430864,91614.78322,5006.940821,51.95746618,diverge,162735.8933,272.4989027,5246.784086,53.57869612,1.46249E+12,6340868.333
61,sir,10,9,5,0.1,1.00E-06,2,10,0.1,tanh,25,627,0.010143029,413.5041075,4.874941724,4.876663411,0.968929659,2617.441314,16.30364517,0.024881366,0.116988242,converge,0.050326869,1.291906213,0.01546057,0.091495624,0.77648338,5.707554637
62,sir,10,9,5,0.1,1.00E-06,1,15,0.1,tanh,25,556,0.011363942,281.1936314,1.177555853,1.195060425,0.333390858,4.236529653,0.634532569,0.014580094,0.092270346,converge,0.051241131,0.444521143,0.011565253,0.080208499,0.770019187,5.731482857
63,sir,10,9,5,0.1,1.00E-06,2,15,0.1,tanh,25,463,0.011522073,321.6287882,0.882916426,0.888170675,0.389403603,51.6014464,2.020679283,0.012589154,0.085332035,converge,0.050548299,0.519204804,0.01217548,0.080392054,0.625650178,5.374249092
64,sir,10,9,5,0.1,1.00E-06,1,20,0.1,tanh,25,556,0.011771462,303.3141582,2.721817341,2.750823364,0.502825817,141.2325942,2.578774755,0.011235342,0.081441403,converge,0.050808322,0.670434423,0.011607577,0.077816927,0.651339651,5.315699229
65,sir,10,9,5,0.1,1.00E-06,2,20,0.1,tanh,25,542,0.010736291,396.2670567,0.330032157,0.322622757,0.201200552,28.41612025,1.013235039,0.017609801,0.097105555,converge,0.050114333,0.268267402,0.012297709,0.079269191,0.840470281,5.937122809
66,sir,10,10,5,0.1,1.00E-06,1,10,0.1,tanh,25,639,0.011183648,260.7910862,0.09202987,0.093582973,0.144651287,0.092707028,0.150838259,0.015289555,0.09635605,converge,0.050218455,0.192868382,0.012154096,0.083798031,0.665301134,5.555409615
67,sir,10,10,5,0.1,1.00E-06,2,10,0.1,tanh,25,575,0.010874882,281.5131099,0.052347031,0.057052994,0.117151298,0.047246645,0.107711218,0.028467147,0.127182024,converge,0.050155226,0.15620173,0.019010226,0.098258683,0.6223891,5.455645144
68,sir,10,10,5,0.1,1.00E-06,1,15,0.1,tanh,25,686,0.011229428,279.5879481,6.237227884,6.27432902,0.794188335,373.4367222,4.991131977,0.018538982,0.102633867,converge,0.049983333,1.05891778,0.013411672,0.085203529,0.748607333,5.703860187
69,sir,10,10,5,0.1,1.00E-06,2,15,0.1,tanh,25,369,0.011675054,181.1376793,0.067583111,0.076224264,0.123599924,0.209380556,0.161394919,0.016313658,0.099909409,converge,0.050269206,0.164799899,0.013411649,0.088647707,0.53881152,5.154301324
70,sir,10,10,5,0.1,1.00E-06,1,20,0.1,tanh,25,434,0.011531604,255.254936,0.244143965,0.25501592,0.150643623,7.997463106,0.52037637,0.013165412,0.087051746,converge,0.050203641,0.200858164,0.012004283,0.079757027,0.594563859,5.289433772
71,sir,10,10,5,0.1,1.00E-06,2,20,0.1,tanh,25,616,0.010944882,443.5315847,1.937476324,1.957941895,0.537298611,246.3869228,4.088536617,0.026082446,0.124373168,converge,0.049737101,0.716398148,0.016864338,0.098303246,0.671030209,5.449015132
72,sir,10,4,10,0,1.00E-06,1,10,0.1,tanh,25,179,0.000331211,40.10893369,0.000753537,0.000753537,0.013265686,0.000493527,0.008497946,0.000480124,0.01112188,converge,0.035581134,0.017687581,0.000480124,0.01112188,0.028695818,0.699876487
