x1,x2,t,Run
1.3233167,2.230459,0.0,0
1.9621965,2.2310195,0.101010101010101,0
2.5300565,2.1797833,0.202020202020202,0
2.0632267,1.9551765,0.303030303030303,0
2.2694092,2.4286683,0.404040404040404,0
2.2045538,2.1865997,0.5050505050505051,0
2.1077373,2.013237,0.6060606060606061,0
2.301346,1.7330198,0.7070707070707071,0
2.3319044,1.6606631,0.8080808080808081,0
1.8328205,1.5906649,0.9090909090909092,0
2.434996,1.6177738,1.0101010101010102,0
2.839791,1.5760264,1.1111111111111112,0
1.9589819,1.4865582,1.2121212121212122,0
2.3558402,1.3388492,1.3131313131313131,0
2.49589,0.99406457,1.414141414141414,0
2.0949488,1.3604339,1.5151515151515151,0
1.8723944,1.2700093,1.616161616161616,0
2.3191144,1.8236821,1.7171717171717171,0
1.7076577,1.0584006,1.818181818181818,0
2.2292502,1.4688097,1.9191919191919191,0
1.817855,1.1258388,2.0202020202020203,0
1.7642773,0.45584223,2.121212121212121,0
2.142711,0.8411047,2.2222222222222223,0
1.963349,0.42512536,2.323232323232323,0
2.023907,0.82048845,2.4242424242424243,0
1.6756779,0.57924706,2.525252525252525,0
1.7063266,0.7562498,2.6262626262626263,0
1.8082585,0.17471391,2.727272727272727,0
2.0559998,0.16929428,2.8282828282828283,0
1.6976497,0.36800373,2.929292929292929,0
1.6306523,-0.13423374,3.0303030303030303,0
1.9189659,0.49393165,3.131313131313131,0
1.3276678,-0.06407209,3.2323232323232323,0
1.5416957,0.213661,3.333333333333333,0
1.846071,0.3477634,3.4343434343434343,0
1.627571,-0.16803437,3.5353535353535355,0
1.0696319,0.31885377,3.636363636363636,0
1.636007,0.15192498,3.7373737373737375,0
2.2461343,-0.26807216,3.8383838383838382,0
1.1821859,-0.5022029,3.939393939393939,0
1.6276675,-0.25482607,4.040404040404041,0
1.675858,-0.7280912,4.141414141414141,0
1.7383019,-0.25897813,4.242424242424242,0
1.8707348,-0.6535819,4.343434343434343,0
1.8779421,-0.5893049,4.444444444444445,0
1.542137,-0.10013102,4.545454545454545,0
1.1942416,-0.30885574,4.646464646464646,0
1.3139212,-0.88434464,4.747474747474747,0
1.214035,-0.5390661,4.848484848484849,0
0.8686112,-0.8838568,4.94949494949495,0
1.3616016,-0.57453686,5.05050505050505,0
0.96296555,-0.36919492,5.151515151515151,0
0.8316244,-1.0427009,5.252525252525253,0
1.192016,-0.5121251,5.353535353535354,0
0.93943346,-0.93995094,5.454545454545454,0
0.9199793,-0.8228732,5.555555555555555,0
1.17407,-0.74529463,5.656565656565657,0
1.3715922,-1.3319255,5.757575757575758,0
1.0457494,-0.6820502,5.858585858585858,0
0.6613432,-0.82795495,5.959595959595959,0
