Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
fhn,5,4,1,0,1.00E-06,2,10,0.1,tanh,30,107,5.77E-07,41.19569111,2.50930244,2.509302673,0.779903019,28658.07499,21.42505791,5.542960707,0.938095425,converge,0.007143234,1.169854528,8.042867177,1.257334062,7.698959166,1.1386959
fhn,5,4,1,0,1.00E-06,1,15,0.1,tanh,30,119,3.64E-06,34.57465291,0.74595691,0.745956879,0.579761204,11.61750094,1.367804122,11.04623436,1.144201766,converge,0.003136234,0.869641806,8.140732028,1.263132437,7.825811956,1.148093072
fhn,5,4,1,0,1.00E-06,2,15,0.1,tanh,30,137,2.23E-05,54.2565105,3.673447817,3.673447571,0.86788911,77104.32121,34.66669524,5.982452639,0.982230505,converge,0.00730726,1.301833665,8.077978422,1.290923435,7.624512801,1.173302164
fhn,5,4,1,0,1.00E-06,1,20,0.1,tanh,30,139,3.25E-06,41.02667475,1.059051712,1.059051743,0.66146547,12.40503049,1.720829886,9.363080316,1.193971855,converge,0.00469619,0.992198206,8.228417719,1.331901086,8.051222824,1.30372809
fhn,5,4,1,0,1.00E-06,2,20,0.1,tanh,30,90,1.99E-06,35.26824927,0.621543736,0.621543732,0.472164035,8.245628099,1.432990756,5.217554854,0.926203426,converge,0.00332839,0.708246052,8.073223283,1.190140456,7.860310075,1.106667162
fhn,5,4,1,0.05,1.00E-06,1,10,0.1,tanh,30,135,1.50E-05,38.07131696,1.042711277,1.018135071,0.759367564,8.245679494,1.537164139,8.184633273,1.608668915,converge,0.004766701,1.139051346,10.19450613,1.95367148,9.188891723,1.795965833
fhn,5,4,1,0.05,1.00E-06,2,10,0.1,tanh,30,124,4.11E-06,47.30497551,3.855281148,3.968078613,1.046561001,46830.73286,32.86211962,5.891081561,1.321728722,converge,0.013019207,1.569841502,9.574768831,1.713046762,7.995197096,1.467293844
fhn,5,4,1,0.05,1.00E-06,1,15,0.1,tanh,30,130,2.76E-05,36.57116342,0.730643599,0.74608963,0.618637139,12.67906134,1.79241907,12.56581041,1.684949,converge,0.006710854,0.927955709,9.607483991,1.808433795,7.887225304,1.529956931
fhn,5,4,1,0.05,1.00E-06,2,15,0.1,tanh,30,146,9.12E-06,56.3966558,13.21536592,13.44514771,1.787100173,1627054.24,153.4150779,10.46448536,1.75362538,converge,0.019043463,2.68065026,10.41412203,1.839305736,8.401421518,1.535761822
fhn,5,4,1,0.05,1.00E-06,1,20,0.1,tanh,30,166,3.87E-05,46.71325707,0.959716682,0.949866714,0.610249746,15.09946905,2.028751531,11.24287048,1.717716913,converge,0.007375119,0.915374618,10.29652437,1.910996507,9.271241773,1.725446097
fhn,5,4,1,0.05,1.00E-06,2,20,0.1,tanh,30,112,1.74E-05,44.69854879,0.951451325,0.933935242,0.637234347,12.68080217,1.813313325,10.02850736,1.627453445,converge,0.004983879,0.95585152,10.1520293,1.882642577,9.494767655,1.760054216
fhn,5,4,1,0.1,1.00E-06,1,10,0.1,tanh,30,163,3.15E-05,47.25351787,1.756759718,2.045842133,1.002023769,13.60540406,2.217680759,8.753385169,1.790858828,converge,0.008551681,1.503035654,12.24788774,2.291433995,9.814162933,2.02488777
fhn,5,4,1,0.1,1.00E-06,2,10,0.1,tanh,30,114,6.17E-06,43.4784596,5.782422096,6.374240112,1.538564367,14687.96645,17.09072283,8.971993035,1.657380506,converge,0.010196085,2.30784655,12.50432494,2.222324719,9.831223673,1.947660171
fhn,5,4,1,0.1,1.00E-06,1,15,0.1,tanh,30,281,9.40E-06,81.32612038,1.601395764,1.879922485,0.970031192,13.32235079,2.270651136,10.62714639,1.977415413,converge,0.006469495,1.455046788,12.69000849,2.294671848,9.680481274,1.984609361
fhn,5,4,1,0.1,1.00E-06,2,15,0.1,tanh,30,169,1.43E-05,65.78967881,11.61697412,12.2436731,2.093756626,134000.3927,53.29595218,13.08714084,2.209278085,converge,0.032266501,3.140634939,14.04282627,2.340030472,9.584148087,1.924606959
fhn,5,4,1,0.1,1.00E-06,1,20,0.1,tanh,30,76,1322378,23.3175168,29829970.53,29829120,3334.290168,4.72E+23,3.11165E+11,8507287.951,2589.780763,diverge,30576656,5001.435251,6630918.357,2318.82138,5.02E+23,3.22469E+11
fhn,5,4,1,0.1,1.00E-06,2,20,0.1,tanh,30,180,1.74E-05,63.54328275,4.611700684,5.159539185,1.388384105,1460.725443,6.844977442,11.50207186,2.026776493,converge,0.016142568,2.082576158,13.06189741,2.334011379,9.029699146,1.902225275
fhn,8,7,1,0,1.00E-06,1,10,0.1,tanh,30,242,0.001130955,134.1853507,1.366676531,1.366676521,0.8456308,4.998480117,1.080754368,2.915487119,0.650883584,converge,0.019873764,1.268446199,5.188035985,0.760817282,4.594010437,0.90655824
fhn,8,7,1,0,1.00E-06,2,10,0.1,tanh,30,411,0.000870111,300.1758435,1.408377813,1.408377743,0.821726227,13.4597188,1.452088382,10.26310814,0.903092114,converge,0.015597804,1.232589341,5.027278885,0.760418644,4.645571883,0.868136072
fhn,8,7,1,0,1.00E-06,1,15,0.1,tanh,30,270,0.000901175,147.0955992,1.115099677,1.115099621,0.7716481,7.036536513,1.350580086,4.300518018,0.692437901,converge,0.015930897,1.157472149,5.100792791,0.759130978,4.667687863,0.927200267
fhn,8,7,1,0,1.00E-06,2,15,0.1,tanh,30,257,0.00138468,185.5804143,1.148966034,1.148966026,0.741607268,29.4840758,1.708625998,5.049071757,0.763872865,converge,0.024642671,1.112410902,5.123971294,0.741397312,4.663596311,0.936759616
fhn,8,7,1,0,1.00E-06,1,20,0.1,tanh,30,297,0.001584373,161.0040147,0.97230914,0.972309208,0.681364092,8.950793688,1.279927479,7.403443737,0.861030691,converge,0.027040055,1.022046137,4.976942078,0.755730942,4.56276637,0.927599005
fhn,8,7,1,0,1.00E-06,2,20,0.1,tanh,30,336,0.000485347,245.8619199,0.977368304,0.977368259,0.731695182,11.05539502,1.377867517,5.402052573,0.730454796,converge,0.009161376,1.097542772,4.557761858,0.716200399,4.566907859,0.855652347
fhn,8,7,1,0.05,1.00E-06,1,10,0.1,tanh,30,326,0.002630168,174.310899,1.160808846,1.24607029,0.821621777,31.00632328,2.732278063,3.446165732,0.994175127,converge,0.048959248,1.232432666,6.417137393,1.363674541,3.85544418,1.111928402
fhn,8,7,1,0.05,1.00E-06,2,10,0.1,tanh,30,723,0.000120421,541.1320066,1.345783673,1.364499283,0.796038583,81.72018513,2.241973103,4.2324638,1.264864509,converge,0.015222347,1.194057874,5.362995393,1.406185615,4.793879174,1.357659844
fhn,8,7,1,0.05,1.00E-06,1,15,0.1,tanh,30,327,0.002457179,181.2660785,23.04271972,23.44532623,1.816525055,11050641.66,435.6911345,3.517312904,1.024080735,converge,0.119609334,2.724787582,5.770117944,1.283112054,3.460949016,1.125720172
fhn,8,7,1,0.05,1.00E-06,2,15,0.1,tanh,30,584,0.001309538,429.5578864,44.41518206,44.71989746,2.505417593,48500767.85,1243.936063,6.273215852,1.294039029,converge,0.042882286,3.75812639,5.496753455,1.33381243,4.062002014,1.153660531
fhn,8,7,1,0.05,1.00E-06,1,20,0.1,tanh,30,548,0.002611688,298.7269273,7.976926418,8.094197083,1.787786711,12828.09689,43.83713555,3.9083648,1.045082913,converge,0.055933315,2.681680066,6.196770009,1.271196119,4.048473493,1.101074488
fhn,8,7,1,0.05,1.00E-06,2,20,0.1,tanh,30,299,0.003032736,217.8191409,18.25219057,18.54249573,1.571987524,7588677.303,367.8120738,3.771959018,1.037337205,converge,0.065868534,2.357981286,6.248087534,1.309673807,3.619931951,0.96799754
fhn,8,7,1,0.1,1.00E-06,1,10,0.1,tanh,30,278,0.007699235,149.7914565,3.268459686,3.56026535,1.171630434,2204.912261,12.10821339,9.513334299,1.671694931,converge,0.135789946,1.757445651,15.09419228,2.330631122,9.256193364,1.933556628
fhn,8,7,1,0.1,1.00E-06,2,10,0.1,tanh,30,470,0.000152387,351.9295583,1.912993457,2.166835403,0.985297784,98.33614595,3.275309567,11.0059545,1.954819357,converge,0.415768504,1.477946676,12.22972779,2.077488726,10.60792844,2.064103033
fhn,8,7,1,0.1,1.00E-06,1,15,0.1,tanh,30,272,0.006240579,152.9619563,35.94440892,36.80966797,2.245199048,37199368.49,890.9386301,12.24100888,1.853700744,converge,0.13469632,3.367798571,15.21406117,2.341996565,6.622732678,1.532071945
fhn,8,7,1,0.1,1.00E-06,2,15,0.1,tanh,30,170,0.007478082,128.591574,5.515961935,6.014736557,1.57883384,2070.364251,8.167164123,11.53379987,1.80891788,converge,0.150204092,2.368250761,14.95873837,2.356393648,7.063442937,1.689453719
fhn,8,7,1,0.1,1.00E-06,1,20,0.1,tanh,30,691,0.004776231,388.0989835,79.16456791,80.63150635,3.272584241,381323064.9,2949.246111,11.23721058,1.796193548,converge,0.180676788,4.908876361,14.29952298,2.279848371,5.584443959,1.465002168
fhn,8,7,1,0.1,1.00E-06,2,20,0.1,tanh,30,298,0.007231772,222.1336176,19.23355741,19.93918152,1.971582152,2726699.812,295.005043,10.63742453,1.7623041,converge,0.135316074,2.957373228,15.57550778,2.356720317,5.943523859,1.492095592
fhn,10,9,1,0,1.00E-06,1,10,0.1,tanh,30,182,0.001035108,121.5416825,1.516217566,1.516217499,0.850128014,3.219491943,0.814229915,2.730523995,0.68805816,converge,0.020035471,1.275192021,4.239727611,0.716513772,3.733703736,0.819679837
fhn,10,9,1,0,1.00E-06,2,10,0.1,tanh,30,227,0.000777717,190.5927124,1.114680883,1.114680862,0.673989612,99.5368685,2.129324081,4.660163314,0.774245475,converge,0.01632957,1.010984418,4.067702453,0.689288823,3.70078189,0.778586906
fhn,10,9,1,0,1.00E-06,1,15,0.1,tanh,30,165,0.000834755,108.5749505,0.81872309,0.818723145,0.638021841,5.528291984,1.049875805,3.983508501,0.698592963,converge,0.016644572,0.957032761,4.035831809,0.677582556,3.748666708,0.786640721
fhn,10,9,1,0,1.00E-06,2,15,0.1,tanh,30,169,0.000935165,132.916002,4.821566792,4.821566772,1.068249481,70836.19845,24.66354968,6.082471283,0.858992853,converge,0.02048876,1.602374222,4.083448151,0.704364146,3.711618551,0.811595875
fhn,10,9,1,0,1.00E-06,1,20,0.1,tanh,30,277,0.001160394,142.1353004,1.220249759,1.22024971,0.732916495,5.388383503,1.218150771,4.362240172,0.882448863,converge,0.021955781,1.099374743,3.951760198,0.746351046,4.072869799,0.903335005
fhn,10,9,1,0,1.00E-06,2,20,0.1,tanh,30,303,0.000573805,190.9667046,0.913514994,0.913515091,0.700372948,5.317514112,1.023718319,3.462060813,0.685002615,converge,0.012315294,1.050559422,3.632105859,0.670314659,3.703387344,0.771716554
fhn,10,9,1,0.05,1.00E-06,1,10,0.1,tanh,30,260,0.001198155,133.0924337,1.023678364,1.036460876,0.662335926,199.9087727,3.320488463,5.624713809,1.020097943,converge,0.031404117,0.99350389,8.1966793,1.530093084,4.401884889,1.207223238
fhn,10,9,1,0.05,1.00E-06,2,10,0.1,tanh,30,127,0.002301533,79.7107923,2.472179539,2.405176239,0.986982469,6737.436856,14.4154215,6.352662623,1.055309472,converge,0.06309796,1.480473704,9.524814683,1.638138142,2.929013378,0.875313428
fhn,10,9,1,0.05,1.00E-06,1,15,0.1,tanh,30,381,0.000789321,198.7681792,2.349615797,2.354615173,0.990400366,738.6975078,6.948979571,6.087447227,1.03681177,converge,0.01728252,1.48560055,8.382352,1.581700632,4.276123072,1.078729295
fhn,10,9,1,0.05,1.00E-06,2,15,0.1,tanh,30,181,0.002256603,125.5227444,9.721942099,9.545076904,1.824894096,138221.6761,67.94639782,6.966501803,1.089272841,converge,0.064419788,2.737341144,9.557693772,1.63668294,2.881723101,0.860015747
fhn,10,9,1,0.05,1.00E-06,1,20,0.1,tanh,30,391,0.001215317,222.552465,7.094076031,7.033638916,1.43592397,47103.08935,50.57705129,9.685635677,1.182901105,converge,0.027181602,2.153885955,8.936925402,1.611047395,3.457805614,1.004430423
fhn,10,9,1,0.05,1.00E-06,2,20,0.1,tanh,30,418,0.001540126,281.0384915,8.750477324,8.896318359,1.470090124,239503.9862,74.08884632,6.607301609,1.137570176,converge,0.036102909,2.205135186,8.836784264,1.605120717,4.226179432,1.181127574
fhn,10,9,1,0.1,1.00E-06,1,10,0.1,tanh,30,513,0.001279993,282.4111929,2.393068689,2.428153687,1.095666961,5681.619833,15.6893878,49.04258722,3.103978723,converge,0.040778598,1.643500442,41.25058443,3.309351049,34.92222486,3.044358164
fhn,10,9,1,0.1,1.00E-06,2,10,0.1,tanh,30,236,0.006190536,160.5245283,41.86803533,41.5398877,3.93210198,1961573.75,454.8467446,33.00829744,1.894747421,converge,0.161692512,5.89815297,43.41798402,3.274230045,6.67769169,1.64631517
fhn,10,9,1,0.1,1.00E-06,1,15,0.1,tanh,30,655,0.005318617,317.6222222,7.670046811,7.932940674,1.734361655,34557.27369,31.765311,34.96460005,1.954336397,converge,0.161951745,2.601542482,41.87331059,3.20609537,5.581571813,1.495380731
fhn,10,9,1,0.1,1.00E-06,2,15,0.1,tanh,30,138,0.006187976,92.69901681,38.45329373,38.1125708,3.692726742,2316646.955,399.2655775,33.28377354,1.902061439,converge,0.182285273,5.539090113,42.813505,3.228194644,5.362480022,1.467933535
fhn,10,9,1,0.1,1.00E-06,1,20,0.1,tanh,30,117,0.006922545,53.23074889,125.0859052,123.6874414,5.771671811,51240185.17,1430.877433,34.28275722,1.971980548,converge,0.169863927,8.657507717,44.98748033,3.356356359,7.234480641,1.626324794
fhn,10,9,1,0.1,1.00E-06,2,20,0.1,tanh,30,601,0.000854905,331.7532508,2.609282349,2.63835907,1.135859163,4158.149596,14.99210672,35.01737511,2.100843782,converge,0.024086465,1.703788745,43.18818805,3.337873182,29.29687518,2.849453305
fhn,3,2,3,0,1.00E-06,1,10,0.1,tanh,30,115,0.000136238,10.65244412,0.571053275,0.571053314,0.451005542,5.12675788,1.098656439,5.761765689,1.346166016,converge,0.01257191,0.676508313,4.955468675,1.400343976,5.372866353,1.486475073
fhn,3,2,3,0,1.00E-06,2,10,0.1,tanh,30,113,0.000125609,16.59829831,1.785056748,1.785056686,0.711182176,1879.417256,7.377535286,8.839769404,1.746896023,converge,0.034456849,1.066773264,5.545704763,1.688287191,6.138605831,1.69963343
fhn,3,2,3,0,1.00E-06,1,15,0.1,tanh,30,109,0.000104461,10.93369102,0.515746451,0.515746435,0.441114091,5.407390421,1.130625694,6.301606159,1.411808282,converge,0.00794906,0.661671137,3.895776127,1.38562433,3.780121167,1.351652257
fhn,3,2,3,0,1.00E-06,2,15,0.1,tanh,30,107,0.000105041,14.02335215,0.636133254,0.636133258,0.4669369,7.756708012,1.400642456,5.252694456,1.347183311,converge,0.011387149,0.70040535,5.977783141,1.520340828,6.303032781,1.58866587
fhn,3,2,3,0,1.00E-06,1,20,0.1,tanh,30,133,0.000175631,16.66329193,0.729682204,0.729682287,0.49635922,4.823666813,1.196270304,5.314527608,1.306149385,converge,0.036808954,0.74453883,6.37205223,1.450349871,6.817790203,1.58533587
fhn,3,2,3,0,1.00E-06,2,20,0.1,tanh,30,91,0.000128858,16.40372634,0.553478112,0.553478114,0.432265898,5.040644094,1.229932617,5.090873587,1.21823789,converge,0.015353981,0.648398847,6.85892611,1.403008393,7.160382683,1.514413333
fhn,3,2,3,0.05,1.00E-06,1,10,0.1,tanh,30,248,0.000858571,27.5329349,200.4641435,200.7505697,6.798915817,574178269,7489.866978,5.878464293,1.61174582,converge,2.521625519,10.19837373,7.244874733,1.874021595,16.44419334,2.860835906
fhn,3,2,3,0.05,1.00E-06,2,10,0.1,tanh,30,113,0.001377563,15.78410244,11.66155714,11.79635417,1.673613282,235368.629,98.73761928,19.0264122,3.127129543,converge,0.418132279,2.510419923,17.25667455,3.144219502,17.57728814,2.842967805
fhn,3,2,3,0.05,1.00E-06,1,15,0.1,tanh,30,226,0.001125063,26.45758772,102.9040418,102.8015544,4.434057488,114388124.3,3094.708315,6.513960972,1.765700434,converge,2.673984316,6.651086232,5.727637524,1.758572964,26.21086378,3.428655696
fhn,3,2,3,0.05,1.00E-06,2,15,0.1,tanh,30,113,0.000840498,16.47395158,26.96003041,26.88696899,2.569526107,1434819.904,372.4716446,5.239996308,1.492282424,converge,1.950376087,3.854289161,8.500912084,1.799634944,9.73043161,1.996444463
