Temp,EB,Sty,H2,BeEt,ToMe,t,Run
43.033,1.7527707,2.2108068,1.9673905,0.24053471,0.29304415,8.04,0
42.944553,1.7442762,2.2122214,1.9662915,0.24146472,0.29559585,8.16,0
42.863235,1.7360322,2.2135565,1.9651289,0.24239016,0.29809126,8.28,0
42.78872,1.7280271,2.2148178,1.9639093,0.24331108,0.30053148,8.4,0
42.720695,1.7202502,2.2160103,1.9626391,0.24422751,0.30291763,8.52,0
42.65886,1.7126911,2.2171383,1.9613242,0.24513943,0.3052509,8.64,0
42.602936,1.7053397,2.2182066,1.9599698,0.24604692,0.3075324,8.76,0
42.552654,1.6981864,2.219219,1.9585813,0.24694993,0.30976322,8.879999999999999,0
42.50777,1.6912224,2.2201793,1.9571633,0.2478485,0.31194445,9.0,0
42.46804,1.6844387,2.2210906,1.9557201,0.24874261,0.31407714,9.12,0
42.433247,1.6778271,2.2219565,1.9542555,0.24963221,0.31616235,9.24,0
42.403168,1.6713798,2.2227793,1.9527736,0.25051725,0.31820115,9.36,0
42.37761,1.6650888,2.223562,1.9512779,0.2513977,0.3201945,9.48,0
42.35638,1.6589469,2.2243073,1.9497713,0.25227356,0.32214347,9.6,0
42.339302,1.6529472,2.225017,1.9482572,0.25314474,0.32404903,9.72,0
42.3262,1.6470828,2.225694,1.9467384,0.25401118,0.32591206,9.84,0
42.316902,1.6413478,2.2263396,1.9452171,0.25487286,0.32773364,9.96,0
42.311264,1.6357355,2.226956,1.9436958,0.2557297,0.32951462,10.08,0
42.309143,1.6302402,2.2275443,1.9421763,0.2565817,0.33125594,10.2,0
42.310394,1.6248562,2.2281067,1.9406612,0.2574288,0.3329585,10.32,0
42.314884,1.6195785,2.2286444,1.9391521,0.25827095,0.3346231,10.44,0
42.32249,1.6144015,2.2291586,1.9376504,0.2591081,0.33625072,10.56,0
42.33309,1.6093203,2.2296505,1.9361583,0.2599402,0.33784214,10.68,0
42.346577,1.6043303,2.2301214,1.9346764,0.26076722,0.33939812,10.8,0
42.36283,1.5994269,2.2305722,1.9332066,0.26158908,0.34091958,10.92,0
42.381767,1.5946058,2.2310042,1.9317498,0.26240578,0.34240726,11.04,0
42.403263,1.5898628,2.231418,1.9303068,0.2632173,0.34386188,11.16,0
42.427246,1.5851941,2.2318144,1.9288787,0.2640236,0.34528425,11.28,0
42.45362,1.5805956,2.2321942,1.9274666,0.26482463,0.34667513,11.4,0
42.4823,1.5760639,2.2325583,1.9260708,0.26562035,0.34803525,11.52,0
42.513203,1.5715953,2.232907,1.9246924,0.26641074,0.34936532,11.64,0
42.54625,1.5671865,2.2332413,1.9233316,0.26719582,0.35066593,11.76,0
42.581367,1.5628344,2.2335618,1.9219893,0.26797554,0.35193777,11.88,0
42.61849,1.5585358,2.2338686,1.9206657,0.2687499,0.35318166,12.0,0
129.99646,3.1316943,-0.1765577,-0.025752725,-0.00031805443,0.0015656654,0.0,1
124.992325,3.033804,-0.029550191,0.08503958,0.012632663,0.0022378394,0.12,1
120.26872,2.9401345,0.10679425,0.1891857,0.02463779,0.0033177037,0.24,1
115.812744,2.8505473,0.23315318,0.2870042,0.03575823,0.004767518,0.36,1
111.611534,2.7649007,0.35017985,0.37881097,0.04605298,0.0065512415,0.48,1
107.65239,2.6830506,0.45850027,0.46491688,0.05557877,0.008634752,0.6,1
103.922874,2.6048517,0.55871046,0.54562527,0.06438973,0.0109859705,0.72,1
100.410866,2.5301592,0.6513756,0.62123084,0.07253727,0.013574913,0.84,1
97.104614,2.4588287,0.7370296,0.69201803,0.08006999,0.016373709,0.96,1
93.99284,2.3907185,0.81617475,0.75826055,0.0870336,0.019356554,1.08,1
91.06468,2.3256881,0.8892826,0.8202206,0.09347102,0.022499643,1.2,1
88.30973,2.2636023,0.9567944,0.8781485,0.0994224,0.025781091,1.3199999999999998,1
85.718056,2.2043283,1.0191228,0.9322829,0.10492523,0.029180836,1.44,1
83.280205,2.1477365,1.0766524,0.98285025,0.11001441,0.03268052,1.56,1
80.98722,2.0937033,1.129742,1.0300659,0.11472243,0.03626339,1.68,1
78.830574,2.0421083,1.1787243,1.0741334,0.119079426,0.039914194,1.7999999999999998,1
76.80222,1.9928367,1.2239095,1.1152451,0.12311338,0.04361905,1.92,1
74.89454,1.9457772,1.2655851,1.1535829,0.12685023,0.047365386,2.04,1
73.100334,1.9008241,1.3040175,1.1893184,0.13031395,0.05114178,2.16,1
71.41283,1.8578758,1.3394543,1.2226131,0.13352671,0.05493791,2.28,1
69.8256,1.8168355,1.3721243,1.2536194,0.13650903,0.058744475,2.4,1
68.33264,1.7776109,1.4022398,1.2824805,0.13927981,0.06255307,2.52,1
66.92827,1.7401139,1.4299968,1.309331,0.14185654,0.06635615,2.64,1
65.60715,1.7042603,1.455577,1.334298,0.14425534,0.07014694,2.76,1
