tB,tS,tP,tD,t,Run,Sf,F,tV,dBdt,dSdt,dPdt,dVdt
5.0,0.0,0.0,0.55,0.0,0,525.0,0.11,0.2,-2.9644628099173556,288.7333333333333,0.0,0.11
3.284338301371785,323.7811188868636,0.01919650588008578,0.2075471698113207,3.0,0,525.0,0.11,0.5300000000000001,0.27162187146843103,39.712099290671674,-0.00046162335411966326,0.11
5.299724580246916,393.9628118891347,0.021386339826955196,0.127906976744186,6.0,0,525.0,0.11,0.8600000000000002,1.1011218666169607,12.943426390982625,0.0020000797383790824,0.11
10.275524966772727,416.45396098835033,0.03252247483905449,0.09243697478991596,9.0,0,525.0,0.11,1.1900000000000002,2.280892927700498,3.084011085323607,0.005775102777602844,0.11
19.147552783581002,416.07413175429497,0.058683127189684284,0.0723684210526316,12.0,0,525.0,0.11,1.5199999999999996,3.609156491884676,-2.9159009286919337,0.012158424458839554,0.11
31.508277992925898,401.26558600877684,0.10838843431627358,0.05945945945945949,15.0,0,525.0,0.11,1.849999999999999,4.532442510261805,-6.596942296987198,0.021426292363798304,0.11
45.73699711875318,378.39792114989,0.18955578085614747,0.050458715596330306,18.0,0,525.0,0.11,2.179999999999999,4.862406668938099,-8.38365386128611,0.033005973980091224,0.11
60.24187099996678,352.2115780068818,0.30799235234121486,0.04382470119521915,21.0,0,525.0,0.11,2.509999999999999,4.751798055310544,-8.918010421471685,0.04616053785081674,0.11
74.00420558979147,325.57575709134613,0.4675170138184844,0.03873239436619721,24.0,0,525.0,0.11,2.8399999999999985,4.39512645728857,-8.759066865004149,0.060318797403872026,0.11
86.49966402161584,299.99086316233894,0.6705008607282821,0.03470031545741327,27.0,0,525.0,0.11,3.169999999999998,3.9235339713179505,-8.261226951043387,0.07507586668625615,0.11
97.50493797645602,276.14655705108987,0.9182607021503885,0.03142857142857145,30.0,0,525.0,0.11,3.499999999999998,3.4103293575786657,-7.622202480456257,0.09012276352639598,0.11
106.95873353294432,254.2930613234392,1.211261218773101,0.028720626631853808,33.0,0,525.0,0.11,3.829999999999997,2.893616696819439,-6.946114270958228,0.10519388447221385,0.11
114.8826538397116,234.45357835423525,1.5491979438205858,0.026442307692307713,36.0,0,525.0,0.11,4.159999999999997,2.392617211125053,-6.285434152703463,0.12003903359792185,0.11
121.3399506255469,216.53986883623105,1.931023163725332,0.02449888641425392,39.0,0,525.0,0.11,4.489999999999996,1.9169839424218522,-5.664871386181782,0.13441197531065735,0.11
126.41496087278982,200.41401851440185,2.3549533764186004,0.022821576763485497,42.0,0,525.0,0.11,4.819999999999996,1.4716830175608018,-5.094394442842036,0.14806867765905785,0.11
130.2031192974202,185.92102468532468,2.818480400595344,0.021359223300970894,45.0,0,525.0,0.11,5.149999999999995,1.0594170387025978,-4.576271396017959,0.16077095225959176,0.11
132.80608706774177,172.9055965160693,3.318398072476307,0.020072992700729948,48.0,0,525.0,0.11,5.479999999999994,0.681753963727326,-4.108884630745246,0.1722928668896042,0.11
134.3291688319897,161.22039216260708,3.8508501636909984,0.018932874354561122,51.0,0,525.0,0.11,5.809999999999993,0.3396002981878275,-3.6888009805504023,0.18242825287309045,0.11
134.87961971543243,150.72961660007812,4.411400993043451,0.017915309446254093,54.0,0,525.0,0.11,6.139999999999993,0.03336185827047927,-3.3118886652676007,0.19099817473512962,0.11
