x,y,t,Run
1.0,1.0,0.0,0
0.9787183,0.88806057,0.05,0
0.96650755,0.78895485,0.1,0
0.9627526,0.7012326,0.15,0
0.96704775,0.6235563,0.2,0
0.9791086,0.55473316,0.25,0
0.99872565,0.4937188,0.3,0
1.0257406,0.43960696,0.35,0
1.0600352,0.39161396,0.4,0
1.1015257,0.34906298,0.45,0
1.1501626,0.3113681,0.5,0
1.2059296,0.27802104,0.55,0
1.2688457,0.24857904,0.6000000000000001,0
1.3389666,0.22265495,0.65,0
1.4163877,0.1999085,0.7000000000000001,0
1.5012451,0.18003926,0.75,0
1.5937198,0.16278051,0.8,0
1.69404,0.14789416,0.8500000000000001,0
1.8024849,0.13516647,0.9,0
1.9193887,0.12440425,0.95,0
2.045144,0.115432054,1.0,0
2.180207,0.10808943,1.05,0
2.3251016,0.102229014,1.1,0
2.4804208,0.09771502,1.15,0
2.646835,0.09442232,1.2000000000000002,0
2.8250878,0.09223654,1.25,0
3.0159967,0.0910549,1.3,0
3.2204478,0.09078885,1.35,0
3.439377,0.09136878,1.4,0
3.6737497,0.09275172,1.4500000000000002,0
3.9245107,0.094933614,1.5,0
4.19252,0.09796767,1.55,0
4.4784503,0.101991124,1.6,0
4.782633,0.107263066,1.65,0
5.1048636,0.11421619,1.7000000000000002,0
5.4441204,0.12352457,1.75,0
5.7982373,0.13618825,1.8,0
6.163496,0.15363224,1.85,0
6.5341935,0.17781246,1.9,0
6.902209,0.2113167,1.95,0
7.256602,0.25744033,2.0,0
7.583304,0.32021388,2.0500000000000003,0
7.864885,0.40435085,2.1,0
8.080408,0.51507884,2.15,0
8.205352,0.6577952,2.2,0
8.211776,0.837449,2.25,0
8.069474,1.0573888,2.3000000000000003,0
7.7504506,1.3170947,2.35,0
7.240576,1.6080465,2.4000000000000004,0
6.5575027,1.908803,2.45,0
5.7593107,2.1852155,2.5,0
4.927853,2.4014869,2.5500000000000003,0
4.137501,2.5354383,2.6,0
3.4356093,2.5835824,2.6500000000000004,0
2.843957,2.5546272,2.7,0
2.3673406,2.462294,2.75,0
1.9989198,2.3223171,2.8000000000000003,0
1.7235559,2.1512213,2.85,0
1.5219231,1.9647107,2.9000000000000004,0
1.3749512,1.7758274,2.95,0
1.2668691,1.5938386,3.0,0
1.186212,1.424256,3.0500000000000003,0
1.1253685,1.2696162,3.1,0
1.0795724,1.1304715,3.1500000000000004,0
1.0459313,1.0062349,3.2,0
1.0226991,0.8957628,3.25,0
1.0088046,0.7977129,3.3000000000000003,0
1.0035661,0.7107367,3.35,0
1.0065277,0.63357365,3.4000000000000004,0
1.0173665,0.5650904,3.45,0
1.035845,0.50428575,3.5,0
1.0617834,0.45028615,3.5500000000000003,0
1.0950469,0.40233278,3.6,0
1.1355389,0.35976732,3.65,0
1.1831988,0.32201868,3.7,0
1.2380012,0.28858942,3.75,0
1.2999568,0.2590455,3.8,0
1.3691132,0.23300663,3.85,0
1.4455576,0.21013801,3.9,0
1.5294173,0.19014402,3.95,0
1.6208638,0.17276178,4.0,0
1.7201158,0.15775654,4.05,0
1.8274394,0.14491794,4.1000000000000005,0
1.9431573,0.13405558,4.15,0
2.067644,0.12499736,4.2,0
2.2013395,0.11758588,4.25,0
2.344744,0.11167742,4.3,0
2.4984252,0.10714026,4.3500000000000005,0
2.663024,0.10385382,4.4,0
2.8392448,0.10170919,4.45,0
3.0278668,0.10060992,4.5,0
3.2297227,0.100474976,4.55,0
3.4456882,0.10124346,4.6000000000000005,0
3.6766624,0.10288246,4.65,0
3.9235094,0.10539921,4.7,0
4.1870055,0.10885912,4.75,0
4.4677253,0.11341179,4.800000000000001,0
4.7659044,0.119327396,4.8500000000000005,0
5.081251,0.12704647,4.9,0
5.4126678,0.13724393,4.95,0
5.7579517,0.15090989,5.0,0
