tB,tS,tP,tV,t,Run
39.90193,53.883114,14.007502,17.360022,156.0,1
38.968292,53.477,13.9698515,17.690023,159.0,1
38.110172,53.08318,13.92927,18.020023,162.0,1
37.320763,52.700386,13.8866005,18.350025,165.0,1
36.59374,52.327477,13.842569,18.680025,168.0,1
35.923244,51.96343,13.797792,19.010027,171.0,1
35.303856,51.60735,13.75279,19.340027,174.0,1
34.73059,51.25844,13.707996,19.670029,177.0,1
34.198887,50.916004,13.663763,20.00003,180.0,1
33.704544,50.57945,13.6203785,20.33003,183.0,1
33.24376,50.24828,13.578071,20.660032,186.0,1
32.813034,49.92209,13.537013,20.990032,189.0,1
32.40921,49.600555,13.497338,21.320034,192.0,1
32.029427,49.283413,13.459134,21.650034,195.0,1
31.671093,48.97048,13.42246,21.980034,198.0,1
-3.1665065,-18.90248,0.4502721,0.2,0.0,2
2.4049594,356.55685,0.20745794,0.53000003,3.0,2
10.893246,405.71506,0.10058701,0.86000013,6.0,2
19.632406,411.07925,0.06452145,1.1900002,9.0,2
28.705168,404.71918,0.08722818,1.5200001,12.0,2
38.19042,393.35977,0.16189167,1.8500003,15.0,2
48.04259,376.89066,0.2858367,2.1800003,18.0,2
58.138332,359.14844,0.45694277,2.5100005,21.0,2
68.32821,339.2996,0.67192227,2.8400006,24.0,2
78.402534,319.17178,0.9276454,3.1700003,27.0,2
88.10082,296.68195,1.221299,3.5,30.0,2
97.13789,274.98755,1.5502518,3.83,33.0,2
105.319084,253.8289,1.9103051,4.1600003,36.0,2
112.508385,234.90092,2.2974603,4.4900007,39.0,2
118.624016,216.56097,2.7083528,4.8200006,42.0,2
123.602165,200.12042,3.140958,5.150001,45.0,2
127.4432,184.62068,3.5933602,5.4800014,48.0,2
130.15585,170.38124,4.064585,5.8100014,51.0,2
131.82135,158.3568,4.552936,6.140001,54.0,2
132.52895,146.80043,5.056904,6.4700003,57.0,2
132.32718,136.21101,5.57579,6.8,60.0,2
131.29488,126.45891,6.108063,7.1299996,63.0,2
129.54836,118.639534,6.6510534,7.46,66.0,2
127.21836,111.62708,7.2012835,7.7900004,69.0,2
124.36889,104.7882,7.7559257,8.120001,72.0,2
121.07296,99.1346,8.311379,8.450001,75.0,2
117.437775,94.3237,8.862914,8.780002,78.0,2
113.53085,89.59717,9.406128,9.110002,81.0,2
109.41852,85.90786,9.936343,9.440002,84.0,2
105.20394,83.159775,10.448231,9.770002,87.0,2
100.93857,79.96945,10.937572,10.100002,90.0,2
96.65898,77.75516,11.400599,10.430003,93.0,2
92.44887,76.154686,11.833308,10.760003,96.0,2
88.338066,74.12846,12.233289,11.090004,99.0,2
84.33317,72.39684,12.599012,11.420005,102.0,2
80.47153,71.02022,12.929089,11.750006,105.0,2
76.78359,69.84948,13.22299,12.080007,108.0,2
73.285126,68.758736,13.481097,12.410007,111.0,2
69.97169,67.36867,13.704619,12.740008,114.0,2
66.83973,66.27746,13.89505,13.070009,117.0,2
63.90709,65.45063,14.053967,13.40001,120.0,2
61.177242,64.59309,14.183555,13.730011,123.0,2
58.649734,64.06046,14.286222,14.060012,126.0,2
56.31886,63.260586,14.364625,14.390014,129.0,2
54.162933,62.49927,14.421532,14.720015,132.0,2
52.184605,62.16393,14.459269,15.050015,135.0,2
50.377243,61.468403,14.480365,15.380016,138.0,2
48.709545,60.656654,14.4874,15.710017,141.0,2
47.17174,60.059803,14.482351,16.040018,144.0,2
45.760773,59.447113,14.467015,16.37002,147.0,2
44.469597,59.00693,14.443104,16.70002,150.0,2
43.292606,58.524086,14.4122,17.030022,153.0,2
42.21387,57.92887,14.375844,17.360022,156.0,2
41.219685,57.352753,14.335296,17.690023,159.0,2
40.30223,56.78097,14.29156,18.020023,162.0,2
39.461998,56.502228,14.24542,18.350025,165.0,2
38.704372,56.29272,14.197616,18.680025,168.0,2
38.014347,55.763958,14.149106,19.010027,171.0,2
37.374996,55.338364,14.100593,19.340027,174.0,2
36.783813,54.888783,14.052465,19.670029,177.0,2
36.23128,54.334118,14.005131,20.00003,180.0,2
35.70928,53.805607,13.958845,20.33003,183.0,2
35.21568,53.30739,13.91372,20.660032,186.0,2
34.743465,52.652065,13.869905,20.990032,189.0,2
34.28885,52.189323,13.827406,21.320034,192.0,2
33.86133,51.892136,13.7860985,21.650034,195.0,2
33.46544,51.643692,13.746033,21.980034,198.0,2
-2.4458358,-58.82298,0.30271375,0.2,0.0,3
1.3399538,317.07904,0.1999258,0.53000003,3.0,3
8.867618,363.85892,0.13415702,0.86000013,6.0,3
16.62455,372.21826,0.12463546,1.1900002,9.0,3
24.677486,368.08334,0.16501665,1.5200001,12.0,3
33.05373,358.1214,0.25237867,1.8500003,15.0,3
41.725044,344.85516,0.38479394,2.1800003,18.0,3
50.61588,329.5054,0.560448,2.5100005,21.0,3
59.608837,312.79865,0.7772945,2.8400006,24.0,3
68.551636,295.25394,1.0329398,3.1700003,27.0,3
77.26776,277.29453,1.3246658,3.5,30.0,3
85.57084,259.29,1.6495448,3.83,33.0,3
93.28094,241.56624,2.0045986,4.1600003,36.0,3
