dTdt,dEBdt,dStydt,dH2dt,dBeEtdt,dToMedt,t,Run
-0.6502114,-0.09990825,-0.047976516,-0.02410328,0.0027058618,0.03148292,7.319999999999999,0
-0.6112998,-0.09768292,-0.0477969,-0.024011772,0.0027902632,0.030879874,7.439999999999999,0
-0.5749859,-0.09552726,-0.047533937,-0.023854366,0.002878654,0.030276554,7.56,0
-0.5411133,-0.09343746,-0.047193084,-0.023635196,0.0029707185,0.0296731,7.68,0
-0.5095219,-0.09140987,-0.046779722,-0.023358403,0.003066148,0.029069653,7.8,0
-0.4800701,-0.08944108,-0.046298105,-0.023027537,0.003164682,0.028466292,7.92,0
-0.45262402,-0.087528035,-0.04575293,-0.022646207,0.0032660528,0.027863158,8.04,0
-0.42704904,-0.08566766,-0.04514814,-0.022217728,0.0033700077,0.027260307,8.16,0
-0.40324003,-0.083857134,-0.044488072,-0.021744955,0.0034763364,0.026657864,8.28,0
-0.3810758,-0.08209389,-0.043775946,-0.021230992,0.0035848236,0.026055923,8.4,0
-0.36045992,-0.08037541,-0.043015316,-0.020678371,0.00369528,0.025454536,8.52,0
-0.34128478,-0.07869938,-0.04220959,-0.020089766,0.0038074907,0.024853794,8.64,0
-0.32346487,-0.07706358,-0.041361675,-0.019467544,0.0039213044,0.024253784,8.76,0
-0.30691403,-0.075466014,-0.040474378,-0.018813858,0.0040365546,0.02365455,8.879999999999999,0
-0.29154676,-0.07390469,-0.03955035,-0.018130975,0.004153097,0.023056174,9.0,0
-0.27729487,-0.07237791,-0.038592257,-0.01742063,0.004270769,0.02245871,9.12,0
-0.26407906,-0.07088394,-0.03760222,-0.016684879,0.0043894504,0.021862213,9.24,0
-0.25183487,-0.06942104,-0.036582667,-0.015925385,0.0045090043,0.021266712,9.36,0
-0.2405021,-0.0679878,-0.035535682,-0.015143737,0.0046293195,0.020672295,9.48,0
-0.23001692,-0.06658276,-0.034463055,-0.014341685,0.004750303,0.020079002,9.6,0
-0.22032726,-0.065204665,-0.033366546,-0.013520396,0.004871831,0.019486832,9.72,0
-0.21137814,-0.06385214,-0.032248277,-0.012681441,0.004993799,0.018895881,9.84,0
-0.20312563,-0.0625241,-0.031109512,-0.011825902,0.0051161335,0.018306145,9.96,0
-0.19551821,-0.061219424,-0.0299518,-0.010955189,0.005238751,0.017717686,10.08,0
-0.1885158,-0.05993705,-0.028776748,-0.010070205,0.0053615505,0.017130516,10.2,0
-0.1820739,-0.058675986,-0.027585521,-0.0091722645,0.005484485,0.016544685,10.32,0
-0.17616077,-0.057435323,-0.026379349,-0.008262138,0.005607476,0.0159602,10.44,0
-0.17073487,-0.056214098,-0.025159711,-0.0073408666,0.0057304464,0.015377098,10.56,0
-0.16576758,-0.05501165,-0.023927433,-0.006409243,0.0058533433,0.014795413,10.68,0
-0.16121891,-0.05382709,-0.022683619,-0.0054682773,0.0059761046,0.014215153,10.8,0
-0.15707047,-0.052659668,-0.02142924,-0.004518544,0.00609871,0.01363634,10.92,0
-0.15328433,-0.051508658,-0.020165503,-0.0035608695,0.0062210527,0.013059004,11.04,0
-0.14983854,-0.050373603,-0.018892685,-0.0025959879,0.00634314,0.012483152,11.16,0
-0.14670761,-0.049253833,-0.017612265,-0.001624408,0.0064648692,0.011908815,11.28,0
-0.14387281,-0.048148584,-0.0163245,-0.00064683857,0.0065862783,0.011335997,11.4,0
-0.14130247,-0.04705754,-0.015030362,0.0003362029,0.006707241,0.0107647,11.52,0
-0.13898398,-0.045979936,-0.013730677,0.0013241326,0.0068277875,0.010194967,11.64,0
-0.13689528,-0.04491562,-0.012425508,0.0023164416,0.0069478606,0.009626791,11.76,0
-0.13502233,-0.043863863,-0.011116149,0.0033127882,0.007067425,0.009060191,11.88,0
-0.13333994,-0.04282435,-0.009802575,0.0043125297,0.0071864654,0.008495171,12.0,0
-41.906628,-0.7900714,1.1585916,0.92509,0.10639364,0.007449997,0.0,1
-38.287056,-0.747868,1.051915,0.84393877,0.09461292,0.010741168,0.12,1
-35.199196,-0.7085622,0.96039075,0.77383894,0.08494941,0.013448609,0.24,1
-32.5207,-0.67194825,0.88064015,0.7124291,0.07686025,0.015705636,0.36,1
-30.166742,-0.6378153,0.81030077,0.6580321,0.06997797,0.017607635,0.48,1
-28.076189,-0.6059617,0.7476565,0.6094149,0.06404404,0.019224538,0.6,1
-26.20363,-0.5762004,0.69142276,0.5656444,0.05887095,0.02060876,0.72,1
-24.514431,-0.5483614,0.6406126,0.5259974,0.054318964,0.021800417,0.84,1
-22.981579,-0.52229035,0.5944514,0.489902,0.05028169,0.022830676,0.96,1
-21.583605,-0.49784786,0.5523195,0.4568977,0.046676524,0.023724172,1.08,1
-20.30317,-0.47490838,0.51371396,0.42660823,0.043438263,0.024500648,1.2,1
-19.12606,-0.45335847,0.4782197,0.3987218,0.04051469,0.02517612,1.3199999999999998,1
-18.04047,-0.43309537,0.44549075,0.37297708,0.037863385,0.025763705,1.44,1
-17.036478,-0.41402617,0.41523513,0.34915262,0.035449523,0.026274294,1.56,1
-16.105682,-0.39606625,0.3872042,0.32705903,0.03324422,0.026716944,1.68,1
-15.240867,-0.37913865,0.36118403,0.3065329,0.031223226,0.027099367,1.7999999999999998,1
-14.435833,-0.36317316,0.3369894,0.2874325,0.029366115,0.027428072,1.92,1
-13.685149,-0.34810525,0.3144585,0.26963326,0.027655397,0.027708653,2.04,1
-12.984089,-0.3338761,0.29344943,0.25302595,0.026076132,0.02794591,2.16,1
-12.328474,-0.32043147,0.27383664,0.23751347,0.024615373,0.028144035,2.28,1
-11.714607,-0.30772135,0.25550845,0.22300947,0.023261884,0.028306672,2.4,1
-11.139184,-0.29569954,0.23836526,0.20943666,0.022005808,0.028437007,2.52,1
-10.599265,-0.2843236,0.2223177,0.1967256,0.020838523,0.028537896,2.64,1
-10.092185,-0.27355394,0.20728514,0.18481356,0.019752357,0.02861181,2.76,1
-9.61556,-0.26335388,0.19319475,0.1736438,0.018740563,0.028660988,2.88,1
