Temp,EB,Sty,H2,BeEt,ToMe,t,Run
138.58623,4.344587,-0.63976836,0.29302412,0.027716747,-0.012803188,0.0,0
77.04637,4.1700625,1.3841435,1.4066237,0.21638626,0.04467344,1.3199999999999998,0
73.91333,2.7351415,3.0190046,1.9846346,0.28752905,0.16327849,2.64,0
38.897507,3.0045743,2.4701824,1.9113852,0.2106204,0.22142039,3.96,0
45.78779,2.60246,1.6749883,2.2929854,0.28281504,0.2795731,5.279999999999999,0
41.392406,1.5928566,1.853671,1.8105319,0.2525359,0.33967656,6.72,0
36.654217,1.2589326,2.4217684,2.0781286,0.3034885,0.34450567,8.04,0
47.323387,1.1835442,2.3288128,1.9461367,0.2341421,0.35470703,9.36,0
49.86434,1.4348694,2.2285154,1.792995,0.28200546,0.33902436,10.68,0
25.345661,2.0031164,2.25011,2.0521586,0.3017316,0.4196242,12.0,0
133.33063,3.1977766,-0.3531154,-0.05150545,-0.00063610886,0.0031313307,0.0,1
112.3237,2.0711162,0.93126184,0.7156488,0.07812777,-0.023600154,1.3199999999999998,1
51.582592,1.8768916,1.1233021,1.5141103,0.15667494,0.0143517,2.64,1
64.76218,1.1920236,1.4525323,1.5769062,0.15175301,0.17766906,3.96,1
68.63551,0.9286818,1.8563156,1.6231515,0.1097479,0.088196404,5.279999999999999,1
46.6171,1.0362916,1.6204077,1.8448892,0.15153706,0.20922428,6.72,1
35.071198,1.2576587,1.89312,1.7056323,0.16829158,0.16628061,8.04,1
58.458282,0.3595575,1.4205973,1.2624013,0.21817867,0.2045149,9.36,1
27.866098,1.4969676,1.2794702,1.5330547,0.15344967,0.22227752,10.68,1
55.61593,0.33705664,1.537871,1.3035789,0.28002828,0.14611833,12.0,1
69.93192,2.8086147,0.055845685,0.11940414,0.026144417,0.046293635,0.0,2
39.763535,2.4305596,1.1984421,0.8259712,0.09206805,-0.0014351528,1.3199999999999998,2
45.803963,2.160413,1.3571402,0.8265404,0.07579349,0.010660786,2.64,2
29.401354,1.725189,1.4234456,0.9523921,0.0393129,-0.023309432,3.96,2
28.678482,0.8875406,1.660014,1.0401809,0.04234404,0.046620753,5.279999999999999,2
8.747127,0.9282053,1.4820826,0.7317345,0.07755532,0.104135066,6.72,2
9.732678,1.5768982,1.0897754,1.4948695,0.04364416,0.1347308,8.04,2
15.0726795,0.5372836,1.3917423,1.6118217,0.13981454,0.039031584,9.36,2
28.32552,0.6313932,1.7138908,1.3127165,0.1139567,0.17096734,10.68,2
10.738167,2.2110045,1.30498,1.56763,0.030061586,0.11106973,12.0,2
83.50536,4.9710064,0.16341235,0.08027428,0.041534353,-0.047412932,0.0,3
60.14259,3.1145778,1.4738675,0.9184783,0.112389445,-0.022747075,1.3199999999999998,3
14.0858,2.9329555,1.7359204,1.4566613,0.082717255,0.09799553,2.64,3
17.69342,2.664089,1.8408952,1.5758295,0.11448128,0.11594529,3.96,3
30.012129,2.1777592,2.2189057,1.9640214,0.1284043,0.22169165,5.279999999999999,3
17.489082,2.7197804,2.6151698,1.6366441,0.118383445,0.22905055,6.72,3
-11.075788,2.6599386,1.7591861,2.042298,0.12679091,0.23100422,8.04,3
18.665777,1.7024812,2.019789,1.5252013,0.16799238,0.34722605,9.36,3
51.00695,2.9584863,2.443653,2.1963997,0.15492205,0.27602592,10.68,3
-2.3739023,2.9256628,2.0319746,1.6348256,0.09293748,0.38339642,12.0,3
66.38381,4.6296,-0.16149178,-0.022922747,0.020082068,-0.003908881,0.0,4
41.747276,3.4539902,1.0831839,0.77779,0.06210159,-0.026194593,1.3199999999999998,4
31.59137,3.6082566,0.864676,1.3239242,0.017673666,0.082120374,2.64,4
31.442205,3.0336008,1.3782461,1.3214873,-0.001378845,0.07497917,3.96,4
28.432106,2.3784342,1.7611911,1.1129975,0.03717855,0.09156198,5.279999999999999,4
9.702889,3.104739,1.8442501,1.2800583,0.070971414,0.18677866,6.72,4
-8.150119,2.7343326,1.8522547,1.5102777,0.07975773,0.23971452,8.04,4
-1.2713397,2.258008,2.205211,1.8452247,0.100384995,0.101453565,9.36,4
-5.2224073,2.5735688,2.0415404,1.4283652,0.08705133,0.17430235,10.68,4
-21.497782,3.0191257,2.223147,1.8219408,0.13801375,0.3360614,12.0,4
90.32654,3.1590009,0.3327659,0.03772501,-0.028461054,-0.0491715,0.0,5
39.780025,2.5530162,0.9875628,0.75363123,0.029319795,0.02837773,1.3199999999999998,5
19.639482,2.5304873,1.5514134,1.2702588,0.064142436,0.005195669,2.64,5
31.745676,1.0199661,1.5321473,1.1927587,0.10853962,0.07691028,3.96,5
16.119936,1.4254218,1.1920683,1.4749604,0.105927125,0.098209515,5.279999999999999,5
14.489384,1.0235143,1.9773782,1.1868912,0.14002843,0.11924639,6.72,5
28.508484,1.9259396,1.6717527,1.19649,0.038928866,0.13784093,8.04,5
40.51889,1.5238054,1.5946676,1.4265593,0.06576886,0.18098074,9.36,5
26.325357,1.4954653,1.4917121,1.2000567,0.06365977,0.24622084,10.68,5
9.710017,1.0615113,1.8324132,1.4508059,0.049480114,0.16624448,12.0,5
