dTdt,dEBdt,dStydt,dH2dt,dBeEtdt,dToMedt,t,Run
-71.394745,-1.8652278,1.8143542,1.6140263,0.2566684,0.043539047,0.0,0
-60.71402,-1.6520623,1.601259,1.4305401,0.20404989,0.050943322,0.12,0
-52.285686,-1.4732617,1.4242375,1.2718855,0.1656008,0.055266168,0.24,0
-45.498493,-1.3213632,1.2744166,1.1342375,0.13690773,0.057556294,0.36,0
-39.936134,-1.1911075,1.1459665,1.0145239,0.11505914,0.058522053,0.48,0
-35.31093,-1.078552,1.0346857,0.9101054,0.09811384,0.0586316,0.6,0
-31.418541,-0.98064256,0.9374176,0.8187152,0.084750675,0.058194514,0.72,0
-28.109682,-0.8949663,0.85173804,0.73842597,0.0740511,0.057416826,0.84,0
-25.272552,-0.8195903,0.77575743,0.66761315,0.065363884,0.056436397,0.96,0
-22.821646,-0.75295025,0.7079835,0.604914,0.058219586,0.055345517,1.08,0
-20.69036,-0.6937677,0.6472225,0.5491862,0.052274067,0.05420583,1.2,0
-18.826086,-0.64099044,0.59251094,0.49947304,0.047271933,0.053058125,1.3199999999999998,0
-17.186666,-0.59374404,0.543058,0.45497006,0.043021057,0.0519289,1.44,0
-15.738011,-0.55129874,0.49821034,0.41500002,0.039375283,0.05083483,1.56,0
-14.452235,-0.51304084,0.45742172,0.3789907,0.03622201,0.049785886,1.68,0
-13.306358,-0.4784514,0.4202314,0.346456,0.03347392,0.048787378,1.7999999999999998,0
-12.281295,-0.4470886,0.38624644,0.31698197,0.03106238,0.047841586,1.92,0
-11.361075,-0.41857538,0.35512972,0.29021472,0.028932909,0.046948526,2.04,0
-10.532243,-0.392587,0.32659078,0.2658491,0.027042104,0.046107028,2.16,0
-9.78345,-0.36884403,0.30037543,0.24362278,0.02535486,0.045314867,2.28,0
-9.10499,-0.3471042,0.27626273,0.22330792,0.023842521,0.044569395,2.4,0
-8.488591,-0.32715663,0.25405765,0.20470662,0.022481795,0.043867767,2.52,0
-7.927121,-0.30881688,0.2335875,0.1876459,0.021253262,0.043206856,2.64,0
-7.414449,-0.29192406,0.21469952,0.171974,0.020140652,0.04258372,2.76,0
-6.945244,-0.27633598,0.19725704,0.15755753,0.019130412,0.041995313,2.88,0
-6.51488,-0.2619276,0.18113868,0.14427882,0.018211227,0.04143893,3.0,0
-6.119317,-0.2485885,0.16623473,0.13203362,0.017373078,0.040911857,3.12,0
-5.7550006,-0.23621984,0.1524474,0.12072878,0.016607793,0.040411625,3.24,0
-5.418829,-0.22473453,0.13968697,0.11028215,0.015907997,0.03993596,3.36,0
-5.108055,-0.21405457,0.12787469,0.100619696,0.015267426,0.039482757,3.48,0
-4.8202553,-0.20411028,0.11693665,0.09167502,0.014680594,0.039050017,3.6,0
-4.553283,-0.19483928,0.10680721,0.08338915,0.014142671,0.038636014,3.72,0
-4.3052154,-0.18618524,0.0974265,0.075707935,0.013649389,0.038239103,3.84,0
-4.0743527,-0.17809778,0.08873911,0.06858315,0.013197004,0.037857797,3.96,0
-3.8591812,-0.17053111,0.08069506,0.061971255,0.012782045,0.03749077,4.08,0
-3.6583316,-0.16344447,0.07324929,0.05583204,0.012401579,0.037136767,4.2,0
-3.470573,-0.15679988,0.06635931,0.050129604,0.012052904,0.0367947,4.32,0
-3.294811,-0.1505639,0.059986115,0.044831004,0.011733493,0.036463607,4.44,0
-3.1300592,-0.14470552,0.05409494,0.039906185,0.011441261,0.036142536,4.56,0
-2.9754202,-0.13919689,0.04865335,0.035327785,0.011174038,0.035830677,4.68,0
-2.8300798,-0.13401249,0.043630786,0.031070497,0.010930066,0.035527304,4.8,0
-2.693305,-0.12912853,0.03899938,0.027111657,0.010707666,0.035231747,4.92,0
-2.5644352,-0.124524355,0.03473438,0.02342994,0.010505335,0.03494338,5.04,0
-2.4428627,-0.120180055,0.030811546,0.020005755,0.010321614,0.034661677,5.16,0
-2.3280442,-0.11607766,0.027209202,0.01682138,0.010155189,0.03438619,5.279999999999999,0
-2.2194622,-0.11220054,0.023906555,0.013860439,0.010004868,0.03411641,5.4,0
