dBdt,dSdt,dPdt,dVdt,t,Run
-27.565777,349.72684,1.6350008,0.11000001,0.0,0
3.4377024,31.046862,-0.14620775,0.11000001,3.0,0
4.376902,2.4308848,-0.1408195,0.11000001,6.0,0
4.450098,-5.412903,-0.112988874,0.11000001,9.0,0
4.250034,-7.90553,-0.07351529,0.11000001,12.0,0
3.9624956,-8.396824,-0.026494317,0.11000001,15.0,0
3.6889014,-8.14507,0.01997838,0.11000001,18.0,0
3.4574318,-7.6906495,0.05972341,0.11000001,21.0,0
3.2550566,-7.2363343,0.09052346,0.11000001,24.0,0
3.0572853,-6.833925,0.112912335,0.11000001,27.0,0
2.8427112,-6.4769163,0.12863179,0.11000001,30.0,0
2.5975845,-6.1429844,0.13965814,0.11000001,33.0,0
2.3163483,-5.8111515,0.14773086,0.11000001,36.0,0
2.0003076,-5.467606,0.15418018,0.11000001,39.0,0
1.6559358,-5.1063876,0.1599156,0.11000001,42.0,0
1.2929986,-4.7279243,0.16548336,0.11000001,45.0,0
0.9228436,-4.336766,0.17113858,0.11000001,48.0,0
0.55694705,-3.9398131,0.17692798,0.11000001,51.0,0
0.20585878,-3.5443985,0.18274954,0.11000001,54.0,0
-0.12156885,-3.1574852,0.18840878,0.11000001,57.0,0
-0.41859567,-2.7848513,0.19365634,0.11000001,60.0,0
-0.68072426,-2.4309847,0.19822386,0.11000001,63.0,0
-0.90564877,-2.0990088,0.20184222,0.11000001,66.0,0
-1.0929003,-1.7909366,0.20426701,0.11000001,69.0,0
-1.2435931,-1.5080512,0.20529072,0.11000001,72.0,0
-1.3599236,-1.25085,0.20475309,0.11000001,75.0,0
-1.4448519,-1.0195458,0.20255165,0.11000001,78.0,0
-1.5016989,-0.81414217,0.19864695,0.11000001,81.0,0
-1.5338795,-0.634369,0.19305752,0.11000001,84.0,0
-1.5446945,-0.479892,0.18586205,0.11000001,87.0,0
-1.5372063,-0.35022622,0.17718707,0.11000001,90.0,0
-1.5141653,-0.24471103,0.16720007,0.11000001,93.0,0
-1.477985,-0.16245456,0.15609884,0.11000001,96.0,0
-1.4308056,-0.10239543,0.14410028,0.11000001,99.0,0
-1.3744832,-0.06312052,0.13142972,0.11000001,102.0,0
-1.3106345,-0.04310734,0.11830963,0.11000001,105.0,0
-1.2407854,-0.040452935,0.10495801,0.11000001,108.0,0
-1.1662524,-0.053165987,0.09157406,0.11000001,111.0,0
-1.088328,-0.07902424,0.07834112,0.11000001,114.0,0
-1.0081701,-0.11567199,0.065420374,0.11000001,117.0,0
-0.92692345,-0.16079058,0.05294975,0.11000001,120.0,0
-0.8456529,-0.21192366,0.04104804,0.11000001,123.0,0
-0.76538754,-0.26672113,0.029807882,0.11000001,126.0,0
-0.68706644,-0.3229604,0.019303994,0.11000001,129.0,0
-0.6115848,-0.37843668,0.009590395,0.11000001,132.0,0
-0.539752,-0.43118414,0.0007066042,0.11000001,135.0,0
-0.4722952,-0.4793222,-0.007326597,0.11000001,138.0,0
-0.4098507,-0.5213207,-0.014497773,0.11000001,141.0,0
-0.3529881,-0.55566794,-0.02080911,0.11000001,144.0,0
-0.30213818,-0.58124775,-0.026272286,0.11000001,147.0,0
-0.25769323,-0.5970058,-0.030904679,0.11000001,150.0,0
-0.21989654,-0.6021745,-0.034731872,0.11000001,153.0,0
-0.18896799,-0.59613764,-0.037783474,0.11000001,156.0,0
-0.16499798,-0.57851785,-0.040094227,0.11000001,159.0,0
-0.14802673,-0.5490036,-0.041700665,0.11000001,162.0,0
-0.13801818,-0.50756776,-0.042640835,0.11000001,165.0,0
-0.1348846,-0.4542463,-0.042955756,0.11000001,168.0,0
-0.13845651,-0.38920522,-0.04268429,0.11000001,171.0,0
-0.14855778,-0.31269652,-0.041867994,0.11000001,174.0,0
-0.16495045,-0.22505786,-0.040546425,0.11000001,177.0,0
-0.18736361,-0.1267794,-0.03875864,0.11000001,180.0,0
-0.215514,-0.018304313,-0.036543734,0.11000001,183.0,0
-0.24908453,0.099793956,-0.033938486,0.11000001,186.0,0
-0.28774926,0.2269456,-0.030978465,0.11000001,189.0,0
-0.33119386,0.36262748,-0.02769603,0.11000001,192.0,0
-0.3790776,0.50616264,-0.024125222,0.11000001,195.0,0
-0.4310541,0.65694404,-0.020295603,0.11000001,198.0,0
-27.565777,324.97684,1.6350008,0.11000001,0.0,1
2.9768,29.230919,-0.13355376,0.11000001,3.0,1
4.0710773,2.4713402,-0.14564797,0.11000001,6.0,1
4.2253957,-4.9845457,-0.1269363,0.11000001,9.0,1
4.0903063,-7.4796987,-0.09555555,0.11000001,12.0,1
3.8323298,-8.044575,-0.05451646,0.11000001,15.0,1
3.545523,-7.8022423,-0.009903656,0.11000001,18.0,1
3.2691488,-7.270175,0.03230752,0.11000001,21.0,1
3.0036118,-6.671104,0.068898186,0.11000001,24.0,1
2.7339833,-6.0820866,0.09916582,0.11000001,27.0,1
2.4451582,-5.5177,0.12378856,0.11000001,30.0,1
2.127857,-4.971779,0.14391448,0.11000001,33.0,1
1.779877,-4.43575,0.16066578,0.11000001,36.0,1
1.4051924,-3.905097,0.17492901,0.11000001,39.0,1
1.0121744,-3.3805816,0.18731242,0.11000001,42.0,1
0.61178374,-2.8669386,0.19818193,0.11000001,45.0,1
0.21582367,-2.3710368,0.20771523,0.11000001,48.0,1
-0.16438814,-1.900076,0.21596499,0.11000001,51.0,1
-0.51904875,-1.4603589,0.22290574,0.11000001,54.0,1
-0.8404099,-1.0565807,0.22847922,0.11000001,57.0,1
-1.1231605,-0.69144255,0.23260854,0.11000001,60.0,1
-1.3643191,-0.3658672,0.23522334,0.11000001,63.0,1
-1.5631108,-0.07920765,0.2362649,0.11000001,66.0,1
-1.7205392,0.17024833,0.23569494,0.11000001,69.0,1
-1.8390279,0.38483337,0.23350246,0.11000001,72.0,1
-1.9219679,0.567335,0.22970624,0.11000001,75.0,1
-1.9732921,0.72043663,0.22435589,0.11000001,78.0,1
-1.997166,0.84676677,0.21753426,0.11000001,81.0,1
-1.997677,0.9486368,0.20935504,0.11000001,84.0,1
-1.9786801,1.0282147,0.19996199,0.11000001,87.0,1
-1.9436574,1.0873823,0.18951923,0.11000001,90.0,1
-1.8957288,1.1278816,0.178212,0.11000001,93.0,1
-1.8375683,1.1514094,0.16623186,0.11000001,96.0,1
-1.7714787,1.1596262,0.1537763,0.11000001,99.0,1
-1.699433,1.1542273,0.14103965,0.11000001,102.0,1
-1.6231378,1.1369027,0.12820666,0.11000001,105.0,1
-1.5440899,1.109495,0.115450546,0.11000001,108.0,1
-1.4635907,1.0739346,0.10292904,0.11000001,111.0,1
-1.3827891,1.0320863,0.09077741,0.11000001,114.0,1
-1.30278,0.98601747,0.079117686,0.11000001,117.0,1
-1.2244853,0.9376418,0.06804826,0.11000001,120.0,1
