dBdt,dSdt,dPdt,dVdt,t,Run
-33.69827,503.0347,6.2760215,0.11000001,0.0,0
-1.1252267,107.31688,1.6435586,0.11000001,3.0,0
2.5672429,50.37594,0.9268584,0.11000001,6.0,0
3.5735857,30.418283,0.64437646,0.11000001,9.0,0
3.6891372,22.298132,0.5053894,0.11000001,12.0,0
3.3218875,20.29073,0.45594054,0.11000001,15.0,0
2.7406142,21.394756,0.46677125,0.11000001,18.0,0
2.1965175,22.993065,0.49886185,0.11000001,21.0,0
1.843944,23.317537,0.519098,0.11000001,24.0,0
1.7087278,21.750784,0.5125561,0.11000001,27.0,0
1.7286534,18.529589,0.48016146,0.11000001,30.0,0
1.8105716,14.283354,0.43087152,0.11000001,33.0,0
1.8694992,9.697486,0.375287,0.11000001,36.0,0
1.8460191,5.3436737,0.32238197,0.11000001,39.0,0
1.709588,1.6236098,0.27828765,0.11000001,42.0,0
1.4552443,-1.2301404,0.24629149,0.11000001,45.0,0
1.0977533,-3.1304069,0.2272894,0.11000001,48.0,0
0.6656465,-4.1058774,0.22031507,0.11000001,51.0,0
0.19553696,-4.2724867,0.22312269,0.11000001,54.0,0
-0.27294755,-3.806434,0.23264815,0.11000001,57.0,0
-0.7015597,-2.9196167,0.24545537,0.11000001,60.0,0
-1.0572321,-1.8355838,0.25811055,0.11000001,63.0,0
-1.3149811,-0.76827127,0.267497,0.11000001,66.0,0
-1.459946,0.09829761,0.27112117,0.11000001,69.0,0
-1.48815,0.62522537,0.26728246,0.11000001,72.0,0
-1.4062083,0.7285319,0.2551591,0.11000001,75.0,0
-1.2295935,0.38168025,0.2348171,0.11000001,78.0,0
-0.9803596,-0.38832727,0.20708263,0.11000001,81.0,0
-0.68388605,-1.5123528,0.17333427,0.11000001,84.0,0
-0.3659752,-2.8929079,0.1352899,0.11000001,87.0,0
-0.050167777,-4.420092,0.094748884,0.11000001,90.0,0
0.24424532,-5.9858174,0.053406596,0.11000001,93.0,0
0.5032128,-7.4948654,0.012710022,0.11000001,96.0,0
0.718181,-8.87106,-0.026200972,0.11000001,99.0,0
0.8856689,-10.061139,-0.062527575,0.11000001,102.0,0
1.0063639,-11.033546,-0.09576051,0.11000001,105.0,0
1.0840783,-11.7761135,-0.12564099,0.11000001,108.0,0
1.1245004,-12.291843,-0.15208068,0.11000001,111.0,0
1.1344362,-12.594918,-0.17512514,0.11000001,114.0,0
1.1207594,-12.706874,-0.19487275,0.11000001,117.0,0
1.0899832,-12.652817,-0.21146943,0.11000001,120.0,0
1.0478004,-12.459171,-0.22504696,0.11000001,123.0,0
0.9989628,-12.151663,-0.2357469,0.11000001,126.0,0
0.94708335,-11.753878,-0.24367484,0.11000001,129.0,0
0.894844,-11.286723,-0.24892537,0.11000001,132.0,0
0.843919,-10.768245,-0.25158152,0.11000001,135.0,0
0.7952158,-10.213212,-0.25170222,0.11000001,138.0,0
0.7489626,-9.633437,-0.24933843,0.11000001,141.0,0
0.70497,-9.03834,-0.24454905,0.11000001,144.0,0
0.66260076,-8.434757,-0.23737952,0.11000001,147.0,0
0.6210306,-7.827572,-0.22788459,0.11000001,150.0,0
0.5792613,-7.220345,-0.21612397,0.11000001,153.0,0
0.53627324,-6.6147456,-0.20216295,0.11000001,156.0,0
0.49108124,-6.011936,-0.18607259,0.11000001,159.0,0
0.44269145,-5.4120054,-0.1679366,0.11000001,162.0,0
0.39022228,-4.814567,-0.14783777,0.11000001,165.0,0
0.33299208,-4.2187915,-0.12587464,0.11000001,168.0,0
0.27033445,-3.6236556,-0.10214618,0.11000001,171.0,0
0.20177346,-3.0277872,-0.07675297,0.11000001,174.0,0
0.12696946,-2.4301872,-0.04980529,0.11000001,177.0,0
0.045676112,-1.829382,-0.02140669,0.11000001,180.0,0
-0.042248372,-1.2243346,0.008328323,0.11000001,183.0,0
-0.13684072,-0.6139108,0.039298214,0.11000001,186.0,0
-0.23799956,0.0026824237,0.07139199,0.11000001,189.0,0
-0.34561592,0.62639636,0.10450526,0.11000001,192.0,0
-0.45948562,1.2577457,0.13853902,0.11000001,195.0,0
-0.5793637,1.8972484,0.17338987,0.11000001,198.0,0
-33.69827,478.2847,6.2760215,0.11000001,0.0,1
-2.7968287,116.131744,1.9488337,0.11000001,3.0,1
1.0969073,63.331528,1.2393451,0.11000001,6.0,1
2.3130357,44.205433,0.95098746,0.11000001,9.0,1
2.670374,35.450123,0.7935877,0.11000001,12.0,1
2.5655684,31.863998,0.7095616,0.11000001,15.0,1
2.1951582,31.259176,0.679729,0.11000001,18.0,1
1.7452189,31.783459,0.6802417,0.11000001,21.0,1
1.3654048,31.90693,0.6847178,0.11000001,24.0,1
1.1247163,30.797956,0.6757249,0.11000001,27.0,1
1.0155723,28.323944,0.6479464,0.11000001,30.0,1
0.98756826,24.791553,0.60454917,0.11000001,33.0,1
0.9807835,20.67287,0.552332,0.11000001,36.0,1
0.9461639,16.425587,0.49827474,0.11000001,39.0,1
0.8540219,12.40613,0.4477957,0.11000001,42.0,1
0.694807,8.843536,0.4042077,0.11000001,45.0,1
0.4760315,5.8470016,0.3688078,0.11000001,48.0,1
0.21761256,3.426306,0.34125748,0.11000001,51.0,1
-0.052896407,1.5175351,0.32001716,0.11000001,54.0,1
-0.3053917,0.008782366,0.3028423,0.11000001,57.0,1
-0.5112002,-1.2348844,0.2872096,0.11000001,60.0,1
-0.64679253,-2.350051,0.27068755,0.11000001,63.0,1
-0.69638157,-3.456581,0.25125727,0.11000001,66.0,1
-0.6532983,-4.6435995,0.2275327,0.11000001,69.0,1
-0.520376,-5.9620023,0.19886903,0.11000001,72.0,1
-0.30887508,-7.422551,0.16535582,0.11000001,75.0,1
-0.036576267,-8.99985,0.12774622,0.11000001,78.0,1
0.27476373,-10.640797,0.08725516,0.11000001,81.0,1
0.6022971,-12.276117,0.045365356,0.11000001,84.0,1
0.92450595,-13.831789,0.003610891,0.11000001,87.0,1
1.2231107,-15.238851,-0.036585547,0.11000001,90.0,1
1.4843838,-16.44182,-0.074059375,0.11000001,93.0,1
1.6994398,-17.401604,-0.10793001,0.11000001,96.0,1
1.8640578,-18.097216,-0.13762128,0.11000001,99.0,1
1.9779844,-18.524492,-0.16284178,0.11000001,102.0,1
2.0440745,-18.693409,-0.18352295,0.11000001,105.0,1
2.0671918,-18.623718,-0.19973601,0.11000001,108.0,1
2.0534859,-18.342524,-0.21168469,0.11000001,111.0,1
2.0093932,-17.879911,-0.21960802,0.11000001,114.0,1
1.9412872,-17.267258,-0.22377716,0.11000001,117.0,1
1.8549068,-16.534615,-0.22444654,0.11000001,120.0,1
1.7552475,-15.70986,-0.22186781,0.11000001,123.0,1
1.6463741,-14.817385,-0.21625383,0.11000001,126.0,1
1.5314542,-13.878212,-0.20779623,0.11000001,129.0,1
1.4128333,-12.909747,-0.19666025,0.11000001,132.0,1
1.2920907,-11.925904,-0.18299444,0.11000001,135.0,1
1.1702356,-10.937546,-0.166929,0.11000001,138.0,1
1.0477079,-9.952732,-0.14858225,0.11000001,141.0,1
0.92466253,-8.977194,-0.12806395,0.11000001,144.0,1
0.80088335,-8.014742,-0.10548355,0.11000001,147.0,1
0.67606694,-7.067548,-0.08094627,0.11000001,150.0,1
0.5497799,-6.136868,-0.054559443,0.11000001,153.0,1
0.42153627,-5.2222266,-0.026430413,0.11000001,156.0,1
0.29089597,-4.3232684,0.0033356915,0.11000001,159.0,1
0.15741137,-3.4386926,0.034623817,0.11000001,162.0,1
0.0206933,-2.567132,0.067325495,0.11000001,165.0,1
-0.11951217,-1.7067745,0.10132615,0.11000001,168.0,1
-0.26346475,-0.8558996,0.13651817,0.11000001,171.0,1
