x,y,t,Run
0.9904588,0.97239774,0.0,0
0.96641785,0.51549566,0.25,0
1.2872066,0.2811727,0.55,0
1.5233508,0.15890642,0.8,0
2.1610134,0.11424137,1.05,0
2.9894192,0.06234869,1.3,0
4.4328403,0.076999076,1.6,0
6.1362085,0.1515813,1.85,0
7.8517694,0.4236955,2.1,0
7.5768857,1.3104608,2.35,0
3.4161475,2.570673,2.6500000000000004,0
1.6724839,1.958862,2.9000000000000004,0
0.9488576,1.083295,3.1500000000000004,0
1.0122058,0.59259665,3.4000000000000004,0
1.2546304,0.31138685,3.7,0
1.4939162,0.1691471,3.95,0
1.9725367,0.057121724,4.2,0
2.8821943,0.08684873,4.45,0
4.0901623,0.14958632,4.75,0
5.809085,0.09794452,5.0,0
