tB,tS,tP,tV,t,Run
4.805019,0.8397001,0.22099836,0.2,0.0,0
6.2912874,356.84787,-0.2564719,0.53000003,3.0,0
15.944233,392.53955,-0.50183827,0.86000013,6.0,0
23.95837,395.63232,-0.44589552,1.1900002,9.0,0
32.001644,387.83743,-0.31079897,1.5200001,12.0,0
40.399353,374.9361,-0.1399093,1.8500003,15.0,0
49.21702,359.14868,0.054486882,2.1800003,18.0,0
58.42695,341.53845,0.26791352,2.5100005,21.0,0
67.939575,322.7256,0.49866927,2.8400006,24.0,0
77.60818,303.15784,0.74668837,3.1700003,27.0,0
87.230705,283.22845,1.0134456,3.5,30.0,0
96.557175,263.3264,1.3020425,3.83,33.0,0
105.3069,243.84726,1.6170396,4.1600003,36.0,0
113.196915,225.1762,1.9637845,4.4900007,39.0,0
119.977684,207.65205,2.3472097,4.8200006,42.0,0
125.46766,191.52856,2.7704372,5.150001,45.0,0
129.576,176.94742,3.2337549,5.4800014,48.0,0
132.30612,163.93506,3.7343974,5.8100014,51.0,0
133.74081,152.42297,4.2671704,6.140001,54.0,0
134.0164,142.28133,4.82554,6.4700003,57.0,0
133.29556,133.35303,5.4026837,6.8,60.0,0
131.74577,125.47957,5.9922004,7.1299996,63.0,0
129.52531,118.516205,6.5884194,7.46,66.0,0
126.776215,112.33813,7.186403,7.7900004,69.0,0
123.62187,106.84108,7.7818146,8.120001,72.0,0
120.16741,101.93906,8.370721,8.450001,75.0,0
116.5013,97.561035,8.94944,8.780002,78.0,0
112.697464,93.64767,9.51443,9.110002,81.0,0
108.81737,90.14831,10.062239,9.440002,84.0,0
104.91194,87.018814,10.589513,9.770002,87.0,0
101.02317,84.21978,11.09305,10.100002,90.0,0
97.1855,81.71544,11.569878,10.430003,93.0,0
93.426926,79.47279,12.01735,10.760003,96.0,0
89.769905,77.46144,12.433254,11.090004,99.0,0
86.23205,75.653305,12.815875,11.420005,102.0,0
82.82677,74.02268,13.164066,11.750006,105.0,0
79.563705,72.54634,13.477267,12.080007,108.0,0
76.44924,71.20356,13.755501,12.410007,111.0,0
73.48689,69.97617,13.999329,12.740008,114.0,0
70.67769,68.84853,14.209791,13.070009,117.0,0
68.020584,67.8073,14.388322,13.40001,120.0,0
65.51277,66.84134,14.536669,13.730011,123.0,0
63.150097,65.941444,14.656794,14.060012,126.0,0
60.927296,65.10006,14.750801,14.390014,129.0,0
58.838345,64.31105,14.820846,14.720015,132.0,0
56.876633,63.569454,14.86909,15.050015,135.0,0
55.03529,62.871204,14.897635,15.380016,138.0,0
53.307228,62.213013,14.9085,15.710017,141.0,0
51.6854,61.592102,14.903574,16.040018,144.0,0
50.162827,61.00619,14.884626,16.37002,147.0,0
48.732746,60.453297,14.853266,16.70002,150.0,0
47.388634,59.93168,14.8109665,17.030022,153.0,0
46.12428,59.439808,14.759048,17.360022,156.0,0
44.933792,58.976265,14.69869,17.690023,159.0,0
43.811584,58.539764,14.630942,18.020023,162.0,0
42.752457,58.12911,14.556725,18.350025,165.0,0
41.75153,57.743217,14.476846,18.680025,168.0,0
40.804268,57.380966,14.392006,19.010027,171.0,0
39.906437,57.041447,14.302813,19.340027,174.0,0
39.054134,56.723698,14.209786,19.670029,177.0,0
38.24373,56.42684,14.113365,20.00003,180.0,0
37.471867,56.150085,14.013925,20.33003,183.0,0
36.73543,55.892647,13.911775,20.660032,186.0,0
36.03156,55.653877,13.807172,20.990032,189.0,0
35.35758,55.433147,13.700325,21.320034,192.0,0
34.711044,55.229897,13.591395,21.650034,195.0,0
34.089695,55.043648,13.480509,21.980034,198.0,0
5.7305174,-0.7959696,-0.038845334,0.2,0.0,1
5.2077446,327.3292,-0.2642974,0.53000003,3.0,1
14.351439,359.20868,-0.54649407,0.86000013,6.0,1
21.637774,361.93536,-0.52570313,1.1900002,9.0,1
28.746065,355.05786,-0.41881543,1.5200001,12.0,1
36.034195,343.74414,-0.2712332,1.8500003,15.0,1
43.589928,329.9738,-0.0962705,2.1800003,18.0,1
51.407776,314.68985,0.10143154,2.5100005,21.0,1
59.427998,298.43283,0.32037795,2.8400006,24.0,1
67.54611,281.57846,0.5606651,3.1700003,27.0,1
75.61686,264.44006,0.8235136,3.5,30.0,1
83.460266,247.31401,1.111069,3.83,33.0,1
90.87319,230.4935,1.4261339,4.1600003,36.0,1
97.64752,214.26244,1.771692,4.4900007,39.0,1
103.59287,198.87631,2.150209,4.8200006,42.0,1
108.55967,184.53874,2.562866,5.150001,45.0,1
112.45643,171.38254,3.0089893,5.4800014,48.0,1
115.25657,159.46307,3.4859004,5.8100014,51.0,1
116.993614,148.76541,3.9892347,6.140001,54.0,1
117.74764,139.22179,4.513575,6.4700003,57.0,1
117.6282,130.73277,5.05314,6.8,60.0,1
116.75821,123.18638,5.60233,7.1299996,63.0,1
115.26164,116.471596,6.1560383,7.46,66.0,1
113.25559,110.486275,6.709748,7.7900004,69.0,1
110.846054,105.14053,7.2595034,8.120001,72.0,1
108.12618,100.357025,7.801799,8.450001,75.0,1
105.17635,96.070045,8.333475,8.780002,78.0,1
