tB,tS,tP,tV,t,Run
5.0,0.0,0.0,0.2,0.0,0
3.3981295,368.23343,-0.003756851,0.53000003,3.0,0
13.594468,400.65176,-0.24012743,0.86000013,6.0,0
22.101376,401.93814,-0.2435214,1.1900002,9.0,0
30.518332,392.928,-0.16897443,1.5200001,12.0,0
39.241516,378.98438,-0.053170193,1.8500003,15.0,0
48.38573,362.13742,0.092035525,2.1800003,18.0,0
57.94816,343.37637,0.26247686,2.5100005,21.0,0
67.84428,323.3197,0.45723823,2.8400006,24.0,0
77.91428,302.468,0.6773581,3.1700003,27.0,0
87.92612,281.31046,0.92547596,3.5,30.0,0
97.58682,260.3598,1.20561,3.83,33.0,0
106.56917,240.13713,1.5226141,4.1600003,36.0,0
114.5543,221.11943,1.8811175,4.4900007,39.0,0
121.28208,203.67133,2.284112,4.8200006,42.0,0
126.591896,187.99278,2.7317748,5.150001,45.0,0
130.43825,174.10936,3.2211401,5.4800014,48.0,0
132.87743,161.9084,3.7467742,5.8100014,51.0,0
134.0357,151.19922,4.301971,6.140001,54.0,0
134.0751,141.76941,4.8798614,6.4700003,57.0,0
133.16711,133.42139,5.4740505,6.8,60.0,0
131.47707,125.988266,6.078807,7.1299996,63.0,0
129.1566,119.336044,6.6889863,7.46,66.0,0
126.340866,113.35938,7.299861,7.7900004,69.0,0
123.14828,107.97536,7.9069667,8.120001,72.0,0
119.68112,103.11773,8.506009,8.450001,75.0,0
116.02646,98.73199,9.09283,8.780002,78.0,0
112.25744,94.771965,9.663425,9.110002,81.0,0
108.43449,91.19713,10.213996,9.440002,84.0,0
104.60667,87.971,10.74102,9.770002,87.0,0
100.813,85.060036,11.241329,10.100002,90.0,0
97.083984,82.43317,11.712192,10.430003,93.0,0
93.442825,80.0615,12.151367,10.760003,96.0,0
89.90677,77.91822,12.557157,11.090004,99.0,0
86.48824,75.978745,12.928417,11.420005,102.0,0
83.19586,74.2207,13.264567,11.750006,105.0,0
80.03522,72.624016,13.565557,12.080007,108.0,0
77.00953,71.170784,13.831828,12.410007,111.0,0
74.12022,69.84539,14.064256,12.740008,114.0,0
71.36726,68.63421,14.264081,13.070009,117.0,0
68.74955,67.52554,14.432845,13.40001,120.0,0
66.26499,66.50929,14.572316,13.730011,123.0,0
63.910828,65.57692,14.684413,14.060012,126.0,0
61.683647,64.72105,14.771154,14.390014,129.0,0
59.57958,63.935337,14.8345995,14.720015,132.0,0
57.59432,63.214394,14.876802,15.050015,135.0,0
55.72325,62.553486,14.899773,15.380016,138.0,0
53.961567,61.94845,14.905444,15.710017,141.0,0
52.304237,61.39553,14.895659,16.040018,144.0,0
50.74616,60.891403,14.872153,16.37002,147.0,0
49.28216,60.432964,14.836538,16.70002,150.0,0
47.907127,60.017387,14.790303,17.030022,153.0,0
46.615948,59.64206,14.734812,17.360022,156.0,0
45.403633,59.30451,14.671306,17.690023,159.0,0
44.26536,59.00237,14.600907,18.020023,162.0,0
43.19641,58.733498,14.524628,18.350025,165.0,0
42.192314,58.49576,14.443368,18.680025,168.0,0
41.248734,58.287228,14.357932,19.010027,171.0,0
40.361584,58.10603,14.269035,19.340027,174.0,0
39.52698,57.950413,14.177306,19.670029,177.0,0
38.741283,57.818703,14.083297,20.00003,180.0,0
38.00104,57.70935,13.9874935,20.33003,183.0,0
37.30304,57.620922,13.890315,20.660032,186.0,0
36.64428,57.552017,13.7921295,20.990032,189.0,0
36.02196,57.501347,13.693255,21.320034,192.0,0
35.43347,57.46773,13.593967,21.650034,195.0,0
34.876396,57.45005,13.494496,21.980034,198.0,0
5.0,0.0,0.0,0.2,0.0,1
2.570805,339.16818,0.0165941,0.53000003,3.0,1
12.197615,368.5414,-0.24638213,0.86000013,6.0,1
19.952991,370.12396,-0.27139515,1.1900002,9.0,1
27.45887,362.60706,-0.21393101,1.5200001,12.0,1
35.134426,350.7597,-0.11215249,1.8500003,15.0,1
43.11171,336.37408,0.021348031,2.1800003,18.0,1
51.407692,320.3129,0.18213418,2.5100005,21.0,1
59.966305,303.1021,0.3691965,2.8400006,24.0,1
68.66916,285.15253,0.58339757,3.1700003,27.0,1
77.340126,266.85248,0.8268698,3.5,30.0,1
85.754265,248.60155,1.1026349,3.83,33.0,1
93.65635,230.80655,1.4140931,4.1600003,36.0,1
100.79003,213.84975,1.7642634,4.4900007,39.0,1
106.9333,198.04408,2.154849,4.8200006,42.0,1
111.930084,183.59407,2.585461,5.150001,45.0,1
115.70774,170.58015,3.0533416,5.4800014,48.0,1
118.27524,158.9724,3.5537176,5.8100014,51.0,1
119.7062,148.66524,4.080583,6.140001,54.0,1
120.11565,139.51637,4.6275244,6.4700003,57.0,1
119.638504,131.37764,5.188322,6.8,60.0,1
118.41402,124.112885,5.7572365,7.1299996,63.0,1
116.57611,117.60531,6.32907,7.46,66.0,1
114.248215,111.75808,6.899107,7.7900004,69.0,1
111.54102,106.49192,7.463027,8.120001,72.0,1
108.55171,101.741486,8.016836,8.450001,75.0,1
105.36405,97.452286,8.556833,8.780002,78.0,1
102.04911,93.57784,9.079609,9.110002,81.0,1
98.66615,90.07762,9.582054,9.440002,84.0,1
95.26369,86.9156,10.061407,9.770002,87.0,1
91.88073,84.05926,10.515277,10.100002,90.0,1
88.548,81.47888,10.941685,10.430003,93.0,1
85.28914,79.14728,11.339085,10.760003,96.0,1
82.12187,77.03952,11.706373,11.090004,99.0,1
79.05904,75.13281,12.042893,11.420005,102.0,1
76.10951,73.40651,12.3484125,11.750006,105.0,1
73.279,71.841934,12.623095,12.080007,108.0,1
70.570755,70.42242,12.867465,12.410007,111.0,1
67.98603,69.133125,13.082359,12.740008,114.0,1
65.52463,67.96094,13.268876,13.070009,117.0,1
63.185116,66.89435,13.428327,13.40001,120.0,1
60.9652,65.92327,13.562177,13.730011,123.0,1
58.861877,65.038895,13.672006,14.060012,126.0,1
56.871635,64.233536,13.7594595,14.390014,129.0,1
54.990543,63.50048,13.826213,14.720015,132.0,1
