dBdt,dSdt,dPdt,dVdt,t,Run
-0.028105421,-2.8849351,0.1785585,0.11000001,60.0,1
-0.20419867,-2.6311767,0.17928763,0.11000001,63.0,1
-0.36103287,-2.390663,0.17913319,0.11000001,66.0,1
-0.4987119,-2.1644862,0.1779787,0.11000001,69.0,1
-0.6175819,-1.9534854,0.17573301,0.11000001,72.0,1
-0.718176,-1.75825,0.17234148,0.11000001,75.0,1
-0.8012225,-1.5791031,0.16779277,0.11000001,78.0,1
-0.8675854,-1.4161204,0.16212012,0.11000001,81.0,1
-0.9182795,-1.2691214,0.15540089,0.11000001,84.0,1
-0.95442677,-1.1377069,0.14774862,0.11000001,87.0,1
-0.977231,-1.0212594,0.13930656,0.11000001,90.0,1
-0.98795444,-0.9189777,0.13023852,0.11000001,93.0,1
-0.987877,-0.8299522,0.12071876,0.11000001,96.0,1
-0.9782852,-0.7531546,0.110923156,0.11000001,99.0,1
-0.9604393,-0.68748224,0.10102183,0.11000001,102.0,1
-0.9355487,-0.6318346,0.09117292,0.11000001,105.0,1
-0.9047563,-0.5850844,0.08151747,0.11000001,108.0,1
-0.86912346,-0.5461511,0.07217731,0.11000001,111.0,1
-0.8296355,-0.513987,0.06325343,0.11000001,114.0,1
-0.787188,-0.48760945,0.054826006,0.11000001,117.0,1
-0.74257094,-0.4661071,0.04695478,0.11000001,120.0,1
-0.69649214,-0.44864446,0.03968064,0.11000001,123.0,1
-0.64957553,-0.43447658,0.033027753,0.11000001,126.0,1
-0.60235083,-0.42292506,0.027005332,0.11000001,129.0,1
-0.55528986,-0.41339022,0.021611437,0.11000001,132.0,1
-0.50876653,-0.40536392,0.01683247,0.11000001,135.0,1
-0.46310952,-0.39837417,0.012647872,0.11000001,138.0,1
-0.41857708,-0.39205474,0.009030041,0.11000001,141.0,1
-0.37539664,-0.38606358,0.0059479834,0.11000001,144.0,1
-0.33371773,-0.38012928,0.0033667095,0.11000001,147.0,1
-0.29367593,-0.37403017,0.0012501262,0.11000001,150.0,1
-0.25536233,-0.36757943,-0.0004383041,0.11000001,153.0,1
-0.21883413,-0.36063352,-0.001735976,0.11000001,156.0,1
-0.1841289,-0.35307875,-0.002679209,0.11000001,159.0,1
-0.15125324,-0.34483838,-0.0033028969,0.11000001,162.0,1
-0.12021186,-0.33583534,-0.003639807,0.11000001,165.0,1
-0.090980746,-0.32604215,-0.0037219585,0.11000001,168.0,1
-0.063524835,-0.31543523,-0.0035787213,0.11000001,171.0,1
-0.037804093,-0.30400938,-0.003237877,0.11000001,174.0,1
-0.013763007,-0.29177365,-0.0027241681,0.11000001,177.0,1
0.0086372,-0.27873045,-0.0020609275,0.11000001,180.0,1
0.029483361,-0.26491535,-0.0012693298,0.11000001,183.0,1
0.04881691,-0.2503504,-0.00036875007,0.11000001,186.0,1
0.06672011,-0.23507531,0.0006237503,0.11000001,189.0,1
0.08324978,-0.21912524,0.0016935642,0.11000001,192.0,1
0.09847473,-0.20253907,0.002825052,0.11000001,195.0,1
0.11246707,-0.18536423,0.0040072408,0.11000001,198.0,1
-4.7179303,291.1431,0.15199275,0.11000001,0.0,2
2.151403,37.103577,0.010916427,0.11000001,3.0,2
3.1431282,7.15134,-0.016699288,0.11000001,6.0,2
3.394661,-0.5016698,-0.01711602,0.11000001,9.0,2
3.446284,-3.28821,-0.0018210649,0.11000001,12.0,2
3.4433725,-5.3893785,0.022939503,0.11000001,15.0,2
3.3889952,-5.7262273,0.05103161,0.11000001,18.0,2
3.3024585,-6.32461,0.07624177,0.11000001,21.0,2
3.1463869,-6.2296023,0.097316615,0.11000001,24.0,2
2.9383364,-6.9702387,0.11357648,0.11000001,27.0,2
2.640903,-6.5795226,0.12685096,0.11000001,30.0,2
2.3171594,-6.3561587,0.13677156,0.11000001,33.0,2
1.970331,-5.5644765,0.14452794,0.11000001,36.0,2
1.6424079,-5.440472,0.15022008,0.11000001,39.0,2
1.303615,-4.869272,0.15525,0.11000001,42.0,2
0.9869658,-4.6775084,0.15943845,0.11000001,45.0,2
0.67427003,-4.378132,0.16349217,0.11000001,48.0,2
0.37641606,-3.7242424,0.16736549,0.11000001,51.0,2
0.11826142,-3.704022,0.17064588,0.11000001,54.0,2
-0.13900775,-3.487164,0.1740488,0.11000001,57.0,2
-0.37981647,-3.3008912,0.17714575,0.11000001,60.0,2
