dxdt,dydt,t,Run
-3.8727527,-3.4488542,0.0,0
-3.1973627,-3.1078916,0.05,0
-2.5790324,-2.7824419,0.1,0
-2.0243893,-2.479683,0.15,0
-1.5346795,-2.203432,0.2,0
-1.1075315,-1.9550834,0.25,0
-0.73840135,-1.7343954,0.3,0
-0.42162815,-1.5401134,0.35,0
-0.15112521,-1.3704004,0.4,0
0.07918864,-1.2231537,0.45,0
0.27517536,-1.09619,0.5,0
0.44238007,-0.98736525,0.55,0
0.5860327,-0.8946337,0.6000000000000001,0
0.7110757,-0.81606984,0.65,0
0.8222465,-0.74986356,0.7000000000000001,0
0.92414165,-0.69430137,0.75,0
1.0213143,-0.6477318,0.8,0
1.1183304,-0.6085263,0.8500000000000001,0
1.2198482,-0.5750336,0.9,0
1.33065,-0.5455307,0.95,0
1.4556605,-0.5181798,1.0,0
1.5999076,-0.49098045,1.05,0
1.7684348,-0.46174243,1.1,0
1.9661295,-0.4280696,1.15,0
2.1974459,-0.38736764,1.2000000000000002,0
2.4659932,-0.33690116,1.25,0
2.7739806,-0.27388066,1.3,0
3.12152,-0.19561718,1.35,0
3.5058093,-0.0997197,1.4,0
3.9202452,0.015662596,1.4500000000000002,0
4.353663,0.15160166,1.5,0
4.789835,0.30818805,1.55,0
5.207452,0.48444638,1.6,0
5.5808005,0.6784113,1.65,0
5.8811183,0.887408,1.7000000000000002,0
6.078494,1.1085068,1.75,0
6.1439137,1.3390805,1.8,0
6.050883,1.57734,1.85,0
5.7761364,1.8227373,1.9,0
5.2991624,2.0761454,1.95,0
4.600675,2.33977,2.0,0
3.6608021,2.6167815,2.0500000000000003,0
2.458554,2.9105198,2.1,0
0.9756445,3.2229202,2.15,0
-0.79065174,3.551371,2.2,0
-2.8007495,3.8828025,2.25,0
-4.934934,4.1839685,2.3000000000000003,0
-6.9655566,4.3876185,2.35,0
-8.569875,4.3753195,2.4000000000000004,0
-9.395246,3.9683454,2.45,0
-9.234475,2.9937005,2.5,0
-8.377036,1.4958694,2.5500000000000003,0
-7.590999,-0.1764355,2.6,0
-7.3642383,-1.6718906,2.6500000000000004,0
-7.5748606,-2.8521054,2.7,0
-7.8874555,-3.7168412,2.75,0
-8.070945,-4.304939,2.8000000000000003,0
-8.038062,-4.6577334,2.85,0
-7.7863784,-4.812615,2.9000000000000004,0
-7.3486,-4.8045607,2.95,0
-6.768662,-4.6678915,3.0,0
-6.0927625,-4.436215,3.0500000000000003,0
-5.365287,-4.1409883,3.1,0
-4.6256,-3.8097653,3.1500000000000004,0
-3.9054449,-3.4649758,3.2,0
-3.2276666,-3.1235309,3.25,0
-2.6064765,-2.7971656,3.3000000000000003,0
-2.048798,-2.493239,3.35,0
-1.5560883,-2.2157032,3.4000000000000004,0
-1.1261101,-1.9660468,3.45,0
-0.7543942,-1.7440898,3.5,0
-0.43531194,-1.5486128,3.5500000000000003,0
-0.16278678,-1.377799,3.6,0
0.069269285,-1.2295516,3.65,0
0.26672873,-1.1016898,3.7,0
0.43515897,-0.9920647,3.75,0
0.57979715,-0.8986263,3.8,0
0.7056009,-0.8194417,3.85,0
0.8173137,-0.7526981,3.9,0
0.9195398,-0.6966766,3.95,0
1.0168288,-0.6497244,4.0,0
1.1137475,-0.61021155,4.05,0
1.2149475,-0.57649004,4.1000000000000005,0
1.325207,-0.54684186,4.15,0
1.4494402,-0.5194341,4.2,0
1.5926733,-0.4922757,4.25,0
1.759954,-0.4631855,4.3,0
1.9561825,-0.42977586,4.3500000000000005,0
2.1858382,-0.3894635,4.4,0
2.4525816,-0.33951634,4.45,0
2.7587047,-0.27714458,4.5,0
3.1044338,-0.19965006,4.55,0
3.487118,-0.10462482,4.6000000000000005,0
3.9003582,0.009817253,4.65,0
4.3332114,0.14478491,4.7,0
4.7696915,0.3004189,4.75,0
5.188724,0.4757944,4.800000000000001,0
5.5647674,0.6689871,4.8500000000000005,0
5.869166,0.87734723,4.9,0
6.0720177,1.0979444,4.95,0
6.1442223,1.3281225,5.0,0
