tB,tS,tP,tV,t,Run
4.0250945,4.1985006,1.1049918,0.2,0.0,0
56.83115,319.58716,0.19901852,2.51,21.0,0
135.11395,174.76578,3.1829183,5.15,45.0,0
119.63896,109.56856,6.2383404,7.46,66.0,0
101.21422,60.672543,11.515768,9.77,87.0,0
71.51736,82.35111,12.674312,12.41,111.0,0
51.58106,77.09556,14.724705,14.72,132.0,0
45.805798,22.864468,14.277969,17.03,153.0,0
38.561478,94.41229,13.158565,19.67,177.0,0
19.987907,93.23337,13.513843,21.98,198.0,0
8.652588,-3.979848,-0.19422667,0.2,0.0,1
66.41405,308.73236,-0.5386971,2.51,21.0,1
107.32238,188.2239,3.4716122,5.15,45.0,1
118.3228,107.59505,6.8704996,7.46,66.0,1
100.63546,50.709274,10.557397,9.77,87.0,1
64.65647,83.98203,14.003271,12.41,111.0,1
43.390198,61.615818,14.290907,14.72,132.0,1
46.28055,34.851013,12.539108,17.03,153.0,1
22.166769,53.087696,12.95798,19.67,177.0,1
32.99518,78.88547,11.44391,21.98,198.0,1
-3.1665065,-18.90248,0.4502721,0.2,0.0,2
51.46974,350.4199,0.9613321,2.51,21.0,2
133.13445,204.19102,2.254529,5.15,45.0,2
128.04451,65.5262,6.0563893,7.46,66.0,2
105.66516,64.90797,10.118886,9.77,87.0,2
67.869156,32.12115,11.746642,12.41,111.0,2
51.419815,80.382454,15.495631,14.72,132.0,2
43.18935,57.168755,15.811801,17.03,153.0,2
42.244694,55.36415,13.985004,19.67,177.0,2
27.649567,30.212368,14.216657,21.98,198.0,2
-2.4458358,-58.82298,0.30271375,0.2,0.0,3
51.645855,320.89624,-0.25881547,2.51,21.0,3
102.41015,270.63028,2.4196067,5.15,45.0,3
110.729385,135.52364,5.8284354,7.46,66.0,3
99.68487,22.684162,10.733058,9.77,87.0,3
69.97874,19.004963,12.196266,12.41,111.0,3
39.63442,63.319004,14.719188,14.72,132.0,3
46.00287,50.8328,12.906337,17.03,153.0,3
56.289867,39.09371,15.078981,19.67,177.0,3
22.625378,39.51214,12.509418,21.98,198.0,3
4.2604027,-32.466908,-0.08644151,0.2,0.0,4
64.34871,363.52304,0.32058445,2.51,21.0,4
144.22221,177.17958,3.4183486,5.15,45.0,4
148.59215,111.31849,6.8245845,7.46,66.0,4
117.89029,98.72091,10.272776,9.77,87.0,4
73.50948,55.557293,13.963182,12.41,111.0,4
46.78809,78.09269,15.14288,14.72,132.0,4
42.81342,35.12968,15.652107,17.03,153.0,4
35.55341,17.84115,13.223582,19.67,177.0,4
21.424564,34.5333,14.284849,21.98,198.0,4
5.2443714,5.134686,0.14226073,0.2,0.0,5
60.88389,424.04202,0.31608635,2.51,21.0,5
133.47928,229.17528,3.565457,5.15,45.0,5
144.39342,145.10196,6.7691627,7.46,66.0,5
112.11526,121.4951,11.812815,9.77,87.0,5
81.1429,80.07797,13.839565,12.41,111.0,5
69.423904,32.89553,14.932762,14.72,132.0,5
62.935825,54.38143,15.778385,17.03,153.0,5
45.422844,79.676605,14.249011,19.67,177.0,5
30.575861,39.176357,14.418596,21.98,198.0,5
1.7105311,15.024815,0.671628,0.2,0.0,6
87.44378,373.98367,1.012564,2.51,21.0,6
136.80916,196.8537,4.293601,5.15,45.0,6
145.82983,117.80773,5.85994,7.46,66.0,6
117.55222,108.586136,11.227525,9.77,87.0,6
73.06972,121.35137,13.097941,12.41,111.0,6
50.709476,32.466858,14.997193,14.72,132.0,6
38.723423,50.83425,12.977544,17.03,153.0,6
35.693398,85.98749,13.199524,19.67,177.0,6
41.97715,45.53596,12.656253,21.98,198.0,6
9.948588,-14.84823,-0.015414094,0.2,0.0,7
65.72357,370.99023,-0.35157093,2.51,21.0,7
137.1062,151.80482,3.3803058,5.15,45.0,7
127.51294,110.411674,6.866988,7.46,66.0,7
101.048096,100.84791,9.623648,9.77,87.0,7
76.64036,83.77192,13.389307,12.41,111.0,7
64.12416,73.48935,14.578963,14.72,132.0,7
36.499844,99.68423,15.560054,17.03,153.0,7
49.505188,80.31053,13.161989,19.67,177.0,7
23.396252,94.02111,15.315611,21.98,198.0,7
0.30966014,30.59589,0.6335275,0.2,0.0,8
60.346447,366.34857,1.5779055,2.09,21.0,8
132.46767,220.38269,3.3080719,4.25,45.0,8
128.41817,131.68112,6.211758,6.1400003,66.0,8
91.6892,57.186344,10.211001,8.03,87.0,8
66.30743,105.90362,13.948688,10.19,111.0,8
61.91111,67.564064,14.005329,12.08,132.0,8
31.825085,54.789467,16.191381,13.969999,153.0,8
25.620724,41.447563,14.814479,16.13,177.0,8
50.33928,70.16238,11.945614,18.02,198.0,8
