dTdt,dEBdt,dStydt,dH2dt,dBeEtdt,dToMedt,t,Run
-73.009,-0.89268464,2.3829298,2.1853411,0.36512008,0.37828156,0.0,0
-78.81663,-1.0380839,1.5842447,1.3590652,0.34000102,0.17962176,0.12,0
-77.614685,-1.1159422,1.1665908,0.9226941,0.3092857,0.06857205,0.24,0
-75.33548,-1.2534066,0.98171407,0.78820765,0.2970063,0.02658714,0.36,0
-71.91797,-1.3712989,0.8928803,0.75630844,0.2865914,0.009244716,0.48,0
-67.74825,-1.4517746,0.84406865,0.7514358,0.27387705,0.00069738645,0.6,0
-63.266716,-1.501128,0.8167177,0.75109226,0.2593414,-0.0025828,0.72,0
-58.777786,-1.5304455,0.8075001,0.75038844,0.24422534,-0.00013529712,0.84,0
-54.466614,-1.5502214,0.81835485,0.7499873,0.22962321,0.009383506,0.96,0
-50.430294,-1.5679165,0.8507737,0.75142676,0.21624038,0.026720984,1.08,0
-46.692707,-1.5862345,0.902299,0.7549228,0.20426567,0.05123245,1.2,0
-43.21592,-1.6027775,0.96553564,0.75864697,0.19336243,0.08072806,1.3199999999999998,0
-39.925156,-1.6116842,1.0296533,0.75928205,0.18285164,0.11197524,1.44,0
-36.742237,-1.6064935,1.0834357,0.7533258,0.1720147,0.14157861,1.56,0
-33.614273,-1.5827893,1.1181457,0.7383151,0.1603652,0.16679563,1.68,0
-30.526073,-1.5394585,1.12901,0.7134366,0.1477719,0.1859692,1.7999999999999998,0
-27.49551,-1.4784732,1.1151836,0.67942584,0.13442515,0.19853625,1.92,0
-24.560308,-1.4038255,1.0787382,0.63805753,0.120716445,0.20477042,2.04,0
-21.763498,-1.3203028,1.0234135,0.5915578,0.10710291,0.20544891,2.16,0
-19.143438,-1.232557,0.95355606,0.54214436,0.0940118,0.20156498,2.28,0
-16.728014,-1.1445322,0.8733995,0.49175027,0.08178243,0.19413258,2.4,0
-14.533413,-1.059273,0.7866962,0.44190845,0.070649356,0.18407606,2.52,0
-12.56525,-0.9789139,0.69654936,0.39374197,0.060748853,0.17218249,2.64,0
-10.8203745,-0.90480125,0.60543036,0.34801066,0.05213276,0.15909342,2.76,0
-9.289472,-0.8376564,0.51522034,0.30517957,0.044791616,0.14531514,2.88,0
-7.9591036,-0.7777196,0.42730665,0.2654871,0.038670346,0.13123775,3.0,0
-6.813559,-0.7249077,0.34268054,0.2290081,0.033686675,0.11715632,3.12,0
-5.8359733,-0.6789098,0.26202306,0.19570248,0.029740965,0.10328931,3.24,0
-5.0096436,-0.6392763,0.18575966,0.16545562,0.026728073,0.08979624,3.36,0
-4.3180575,-0.6054771,0.114144854,0.13810506,0.024540048,0.07679008,3.48,0
-3.7460628,-0.57696337,0.04728713,0.11346762,0.023074796,0.06434945,3.6,0
-3.2792995,-0.5531727,-0.014801407,0.0913433,0.022234298,0.052524786,3.72,0
-2.9048429,-0.5335649,-0.07218727,0.071532905,0.021928528,0.04134668,3.84,0
-2.610976,-0.51762736,-0.12499105,0.053842545,0.022075932,0.03083064,3.96,0
-2.3872364,-0.5048896,-0.17336705,0.03808769,0.02260346,0.020979993,4.08,0
-2.2242584,-0.49491918,-0.2174918,0.024094708,0.023445422,0.011789682,4.2,0
-2.1137793,-0.487323,-0.25756094,0.0117026875,0.024544321,0.0032481644,4.32,0
-2.048385,-0.48174864,-0.29377788,0.00076161436,0.025848834,-0.004661575,4.44,0
-2.0217586,-0.4778837,-0.32634887,-0.008863503,0.027315471,-0.0119585935,4.56,0
-2.0282233,-0.47545668,-0.3554788,-0.017295917,0.028906284,-0.018665412,4.68,0
-2.0626593,-0.4742179,-0.38136542,-0.02465022,0.030587161,-0.024806036,4.8,0
-2.1209404,-0.47395745,-0.40420872,-0.031026462,0.032330878,-0.030404687,4.92,0
-2.1989655,-0.47448638,-0.42419446,-0.036520652,0.03411191,-0.035487913,5.04,0
-2.2936366,-0.47564393,-0.44150737,-0.041213695,0.03591075,-0.040080246,5.16,0
-2.4019306,-0.47729263,-0.4563175,-0.04518308,0.03770975,-0.044207256,5.279999999999999,0
