t,x,y,dxdt,dydt,Run
0.0,1.0,1.0,-0.5,-2.4,0
0.05,0.9809669139801764,0.8864557681092298,-0.26771718747381135,-2.1443658323493433,0
0.1,0.9726763294238989,0.785272681909155,-0.0686178055366673,-1.9061109686548692,0
0.15000000000000002,0.9736996157158225,0.6955161466948723,0.10610181405184016,-1.6875310940016188,0
0.2,0.9829915536937994,0.6161799289062642,0.26308799919969217,-1.4893120926107946,0
0.25,0.9997978825256986,0.5462511736090792,0.4074152903854775,-1.311113223569334,0
0.30000000000000004,1.0235878988757643,0.48475106981487853,0.5430111902544656,-1.1519683083409964,0
0.35000000000000003,1.0540052038743946,0.43075886653246753,0.6729636319310787,-1.010558059270133,0
0.4,1.0908315940152158,0.3834246649409243,0.7997439141383067,-0.885392122356884,0
0.45,1.1339604986104452,0.3419747737187871,0.9253689780789678,-0.774928345725526,0
0.5,1.1833773828965555,0.30571225228460713,1.0515201442888933,-0.6776486927396943,0
0.55,1.2391452614287461,0.27401444894006316,1.1796304802089426,-0.5921054204291263,0
0.6000000000000001,1.301393981181095,0.24632876852801802,1.310949418263415,-0.5169470362411475,0
0.65,1.370312298010838,0.22216750514105657,1.4465907179899054,-0.4509306529664165,0
0.7000000000000001,1.4461420274073153,0.20110229823901005,1.5875680705277078,-0.3929253287210016,0
0.75,1.5291737315266472,0.18275857899808445,1.734821360859954,-0.34190955037847875,0
0.8,1.6197435308522115,0.16681024239996473,1.8892356742638527,-0.2969650131526479,0
0.8500000000000001,1.7182307151184733,0.15297469172912248,2.051654444748194,-0.25726813791425834,0
0.9,1.8250558842394882,0.14100834344474056,2.2228876124978596,-0.22208026078143145,0
0.9500000000000001,1.9406793821850237,0.13070264332483386,2.4037152230823593,-0.190737062206847,0
1.0,2.065599798618775,0.12188062358174696,2.5948865148761877,-0.1626375286519524,0
1.05,2.2003523059848566,0.11439402156979125,2.797114160673342,-0.13723252418531862,0
1.1,2.3455065728685933,0.10812098154039974,3.011062913566867,-0.11401286436934766,0
1.1500000000000001,2.501663944974765,0.1029643707172258,3.237331409781549,-0.09249660659826847,0
1.2000000000000002,2.669453507521779,0.09885076001003042,3.4764252452227296,-0.07221507600413413,0
1.25,2.849526528513187,0.09573014944675079,3.7287185919156833,-0.05269690769190433,0
1.3,3.042548617987306,0.09357656183313377,3.994400449218149,-0.033449071351250026,0
1.35,3.2491887043747054,0.09238969011661378,4.273399981506896,-0.013933408868905983,0
1.4000000000000001,3.470103596807014,0.09219787192939201,4.565283061210249,0.006463402440202826,0
1.4500000000000002,3.705916429765962,0.09306279000484793,4.8691087996912925,0.028469436462342568,0
1.5,3.9571866130991795,0.09508647601166302,5.183230059728511,0.052980911520474905,0
1.55,4.224367948656356,0.09842145149777949,5.5050150726496225,0.08113549007500559,0
1.6,4.50775020024264,0.10328520643416549,5.830457480392536,0.11441420810954922,0
1.6500000000000001,4.807377443771642,0.10998073851111863,6.153628322522065,0.1547844106298955,0
1.7000000000000002,5.12293375097849,0.11892561183953222,6.465904564970721,0.20490095049409723,0
1.75,5.453582896788689,0.13069300303451106,6.75488409302511,0.2683889157616241,0
1.8,5.797743561148639,0.1460695224695007,7.0028680749677505,0.35023725698130176,0
1.85,6.152774847100585,0.16613616265411368,7.184765465106794,0.45733544974805584,0
1.9000000000000001,6.514539453202223,0.19238017344435657,7.265272719969039,0.5991756402063353,0
1.9500000000000002,6.876805894965186,0.22684590928129564,7.195258270059075,0.7886991946379462,0
2.0,7.230453284951862,0.27232904013372994,6.907555121782362,1.0431436663680334,0
2.0500000000000003,7.562467503247074,0.3326050447346352,6.313071570427175,1.3844576901239585,0
2.1,7.854796899410482,0.4126481560406982,5.299660435883866,1.8382637260775554,0
2.15,8.08332161988524,0.5187226096103095,3.7389790598552484,2.4293448123112533,0
2.2,8.217547355892725,0.6580957670363904,1.5104547731709168,3.1704075224103576,0
2.25,8.222166160275858,0.8379467250347462,-1.4462251729755522,4.040718341576532,0
2.3000000000000003,8.062078982600031,1.0629538448840148,-5.046117230726571,4.955574779707659,0
2.35,7.712042966706483,1.331385306884308,-8.967336933807237,5.740990648526834,0
2.4000000000000004,7.169582173437801,1.6307239081224254,-12.628844862790025,6.1471477738571165,0
2.45,6.465220835158883,1.935681171529526,-15.331381228056568,5.933290257197059,0
2.5,5.661365599840366,2.211964189332507,-16.553427539371125,5.002059725835313,0
2.5500000000000003,4.836214880101529,2.426016074434285,-16.21114775693688,3.4842803854680184,0
2.6,4.060458858923889,2.5557479830457086,-14.664330789483785,1.6879663965793998,0
2.6500000000000004,3.380400287291844,2.595839701763866,-12.479354116274529,-0.05087771239099581,0
2.7,2.814602523766524,2.5556363358584684,-10.164297175823569,-1.4960630611821157,0
