dxdt,dydt,t,Run
-1.2135789,-2.8000805,0.0,0
-0.93871075,-2.519997,0.05,0
-0.69409776,-2.254385,0.1,0
-0.4715565,-2.0084999,0.15,0
-0.26582325,-1.7845767,0.2,0
-0.07344998,-1.5829012,0.25,0
0.10794785,-1.4025916,0.3,0
0.28017145,-1.2421235,0.35,0
0.4447316,-1.0996776,0.4,0
0.6030125,-0.97335744,0.45,0
0.7563596,-0.8613163,0.5,0
0.9061216,-0.76183337,0.55,0
1.0536737,-0.6733419,0.6000000000000001,0
1.2004142,-0.59444606,0.65,0
1.3477671,-0.52391624,0.7000000000000001,0
1.497185,-0.4606808,0.75,0
1.6501358,-0.40380725,0.8,0
1.8081017,-0.35249022,0.8500000000000001,0
1.9725695,-0.30602854,0.9,0
2.145017,-0.2637989,0.95,0
2.3268938,-0.22524287,1.0,0
2.5195992,-0.18983081,1.05,0
2.7244272,-0.15703717,1.1,0
2.9425178,-0.12630393,1.15,0
3.1747677,-0.096999176,1.2000000000000002,0
3.4217167,-0.06836926,1.25,0
3.6834,-0.039480727,1.3,0
3.959148,-0.009153747,1.35,0
4.2473507,0.024112115,1.4,0
4.5451374,0.062233195,1.4500000000000002,0
4.848037,0.107625864,1.5,0
5.1495595,0.16330598,1.55,0
5.4407654,0.23296805,1.6,0
5.709851,0.32104564,1.65,0
5.9418063,0.432704,1.7000000000000002,0
6.118261,0.5737445,1.75,0
6.2176156,0.7503453,1.8,0
6.215566,0.96859705,1.85,0
6.0861077,1.2337425,1.9,0
5.802853,1.5491265,1.95,0
5.3402324,1.9148843,2.0,0
4.6735477,2.326581,2.0500000000000003,0
3.7761228,2.774156,2.1,0
2.6114395,3.2415407,2.15,0
1.1191988,3.7070093,2.2,0
-0.79800534,4.143144,2.25,0
-3.2564204,4.5126905,2.3000000000000003,0
-6.267715,4.7532663,2.35,0
-9.483015,4.749708,2.4000000000000004,0
-12.121274,4.333784,2.45,0
-13.500834,3.3981392,2.5,0
-13.601945,2.077235,2.5500000000000003,0
-12.867452,0.6913749,2.6,0
-11.696452,-0.5353504,2.6500000000000004,0
-10.294866,-1.5571452,2.7,0
-8.785041,-2.391849,2.75,0
-7.2857203,-3.043538,2.8000000000000003,0
-5.908252,-3.5014453,2.85,0
-4.726105,-3.7626224,2.9000000000000004,0
-3.7622414,-3.8440108,2.95,0
-2.999977,-3.779238,3.0,0
-2.402741,-3.608767,3.0500000000000003,0
-1.9302666,-3.3711467,3.1,0
-1.5474492,-3.0981548,3.1500000000000004,0
-1.2273264,-2.813371,3.2,0
-0.95077974,-2.5328054,3.25,0
-0.7049656,-2.266371,3.3000000000000003,0
-0.48153064,-2.0194957,3.35,0
-0.27509895,-1.7945284,3.4000000000000004,0
-0.08216324,-1.5918273,3.45,0
0.09970126,-1.4105511,3.5,0
0.2723171,-1.2491959,3.5500000000000003,0
0.4372043,-1.1059508,3.6,0
0.5957488,-0.9789194,3.65,0
0.7492945,-0.866252,3.7,0
0.89919317,-0.76621896,3.75,0
1.0468178,-0.67724687,3.8,0
1.1935626,-0.59793264,3.85,0
1.3408543,-0.5270368,3.9,0
1.4901413,-0.4634825,3.95,0
1.6428947,-0.40633184,4.0,0
1.8005934,-0.35477242,4.05,0
1.964723,-0.3080972,4.1000000000000005,0
2.1367633,-0.26568368,4.15,0
2.3181703,-0.22696814,4.2,0
2.510338,-0.1914208,4.25,0
2.7145727,-0.15851729,4.3,0
2.9320211,-0.1277011,4.3500000000000005,0
3.163593,-0.098345116,4.4,0
3.4098506,-0.06970334,4.45,0
3.6708548,-0.040850814,4.5,0
3.9459746,-0.01062263,4.55,0
4.2336473,0.022467071,4.6000000000000005,0
4.531074,0.06031144,4.65,0
4.8338633,0.10530168,4.7,0
5.135631,0.16042398,4.75,0
5.427561,0.2293391,4.800000000000001,0
5.6979895,0.3164462,4.8500000000000005,0
5.9320674,0.4268778,4.9,0
6.1115775,0.5664074,4.95,0
6.21506,0.7412087,5.0,0
