x,y,t,Run
0.9904588,0.97239774,0.0,0
0.96622515,0.86424845,0.05,0
0.952307,0.7679046,0.1,0
0.9475746,0.6821416,0.15,0
0.9512692,0.6057646,0.2,0
0.96287423,0.53767955,0.25,0
0.9820369,0.4769182,0.3,0
1.0085205,0.4226393,0.35,0
1.0421745,0.37411907,0.4,0
1.082917,0.33073676,0.45,0
1.130724,0.29196063,0.5,0
1.1856221,0.25733405,0.55,0
1.2476858,0.22646365,0.6000000000000001,0
1.3170348,0.19900887,0.65,0
1.3938357,0.17467324,0.7000000000000001,0
1.4783003,0.15319711,0.75,0
1.5706903,0.13435115,0.8,0
1.6713176,0.1179314,0.8500000000000001,0
1.7805493,0.10375471,0.9,0
1.8988119,0.09165494,0.95,0
2.0265944,0.08147995,1.0,0
2.1644547,0.07308888,1.05,0
2.3130233,0.066350125,1.1,0
2.473007,0.06113999,1.15,0
2.6451933,0.057341926,1.2000000000000002,0
2.8304462,0.054847125,1.25,0
3.029703,0.05355651,1.3,0
3.2439566,0.053385116,1.35,0
3.4742277,0.054269884,1.4,0
3.7215142,0.056182347,1.4500000000000002,0
3.986709,0.05914827,1.5,0
4.2704806,0.06327668,1.55,0
4.5730968,0.06880096,1.6,0
4.8941813,0.07613408,1.65,0
5.232417,0.08593842,1.7000000000000002,0
5.5851846,0.09920688,1.75,0
5.948197,0.11734661,1.8,0
6.315177,0.14224991,1.85,0
6.6776543,0.17633165,1.9,0
7.024954,0.22251216,1.95,0
7.3443804,0.2841276,2.0,0
7.6215844,0.36476433,2.0500000000000003,0
7.840978,0.4680241,2.1,0
7.986062,0.5972444,2.15,0
8.039494,0.7551899,2.2,0
7.982927,0.94368905,2.25,0
7.797292,1.1629859,2.3000000000000003,0
7.4655824,1.410196,2.35,0
6.9814544,1.6759518,2.4000000000000004,0
6.3627434,1.939947,2.45,0
5.656255,2.1717587,2.5,0
4.921175,2.343853,2.5500000000000003,0
4.2068744,2.4452686,2.6,0
3.5465508,2.4794161,2.6500000000000004,0
2.9613874,2.4546027,2.7,0
2.463665,2.3794556,2.75,0
2.057244,2.2628415,2.8000000000000003,0
1.7378434,2.114715,2.85,0
1.4947541,1.9461265,2.9000000000000004,0
1.3138756,1.7682087,2.95,0
1.1808803,1.5907439,3.0,0
1.0834347,1.4210632,3.0500000000000003,0
1.0121028,1.2636955,3.1,0
0.96024674,1.1207179,3.1500000000000004,0
0.9234472,0.9924591,3.2,0
0.89884466,0.8782073,3.25,0
0.88460505,0.77675194,3.3000000000000003,0
0.87954307,0.6867255,3.35,0
0.8828815,0.6067895,3.4000000000000004,0
0.8941026,0.5357228,3.45,0
0.9128596,0.47244844,3.5,0
0.938924,0.41603655,3.5500000000000003,0
0.9721543,0.3656915,3.6,0
1.0124775,0.3207349,3.65,0
1.0598769,0.280589,3.7,0
1.114388,0.24475972,3.75,0
1.176093,0.21282332,3.8,0
1.2451208,0.18441436,3.85,0
1.3216476,0.15921566,3.9,0
1.4058965,0.1369503,3.95,0
1.4981428,0.11737381,4.0,0
1.5987157,0.10026886,4.05,0
1.7080005,0.08544032,4.1000000000000005,0
1.8264506,0.07271028,4.15,0
1.9545832,0.06191542,4.2,0
2.0929966,0.05290286,4.25,0
2.2423675,0.045528412,4.3,0
2.4034615,0.039654113,4.3500000000000005,0
2.577142,0.03514685,4.4,0
2.7643638,0.03187828,4.45,0
2.9661832,0.029725676,4.5,0
3.183736,0.028575404,4.55,0
3.418219,0.028329436,4.6000000000000005,0
3.6708515,0.028917015,4.65,0
3.9427836,0.030313468,4.7,0
4.234992,0.03256927,4.75,0
4.5480824,0.03585244,4.800000000000001,0
4.8820415,0.040507417,4.8500000000000005,0
5.235914,0.047131754,4.9,0
5.607386,0.0566669,4.95,0
5.9923882,0.070495166,5.0,0
