dxdt,dydt,t,Run
-0.5022207,-2.3486118,0.0,0
-0.3129597,-2.073686,0.05,0
-0.13686854,-1.8262491,0.1,0
0.03140404,-1.6069564,0.15,0
0.19438545,-1.4144168,0.2,0
0.3531186,-1.2462143,0.25,0
0.5079857,-1.0995368,0.3,0
0.65916836,-0.97154397,0.35,0
0.80689216,-0.85957044,0.4,0
0.9515419,-0.76122147,0.45,0
1.0936949,-0.6743924,0.5,0
1.2341188,-0.5972847,0.55,0
1.37375,-0.52837294,0.6000000000000001,0
1.5136715,-0.46638206,0.65,0
1.6550872,-0.41025966,0.7000000000000001,0
1.7993015,-0.35914958,0.75,0
1.9477053,-0.31236118,0.8,0
2.1017554,-0.26935145,0.8500000000000001,0
2.2629719,-0.22970307,0.9,0
2.432921,-0.19310598,0.95,0
2.613191,-0.15933605,1.0,0
2.8053875,-0.12824158,1.05,0
3.0110865,-0.09971895,1.1,0
3.231794,-0.073693335,1.15,0
3.468884,-0.05009096,1.2000000000000002,0
3.7235096,-0.028800832,1.25,0
3.9964714,-0.009639162,1.3,0
4.288063,0.0077096345,1.35,0
4.597846,0.023763586,1.4,0
4.9243717,0.039323322,1.4500000000000002,0
5.2648087,0.055588383,1.5,0
5.614499,0.07428983,1.55,0
5.9663954,0.09784649,1.6,0
6.3103952,0.1295671,1.65,0
6.632567,0.17385744,1.7000000000000002,0
6.914295,0.2364604,1.75,0
7.1313534,0.32467452,1.8,0
7.2529855,0.44754863,1.85,0
7.241076,0.61595064,1.9,0
7.0494514,0.84245515,1.95,0
6.6234083,1.1408765,2.0,0
5.8993664,1.525289,2.0500000000000003,0
4.804395,2.0083385,2.1,0
3.2553923,2.5985365,2.15,0
1.1595569,3.2958367,2.2,0
-1.5733324,4.0828834,2.25,0
-4.9729466,4.904701,2.3000000000000003,0
-8.85437,5.6283383,2.35,0
-12.63348,6.0078382,2.4000000000000004,0
-15.442291,5.7537427,2.45,0
-16.652016,4.7459183,2.5,0
-16.254108,3.1842122,2.5500000000000003,0
-14.73353,1.4583961,2.6,0
-12.639865,-0.12922654,2.6500000000000004,0
-10.348535,-1.4552906,2.7,0
-8.113955,-2.4850905,2.75,0
-6.1298103,-3.205905,2.8000000000000003,0
-4.5115027,-3.625669,2.85,0
-3.2808895,-3.7818425,2.9000000000000004,0
-2.3897412,-3.733832,2.95,0
-1.7594708,-3.5467188,3.0,0
-1.3115745,-3.2782462,3.0500000000000003,0
-0.98224825,-2.9728591,3.1,0
-0.7256258,-2.6611495,3.1500000000000004,0
-0.51151323,-2.3620684,3.2,0
-0.3214345,-2.0859268,3.25,0
-0.14487657,-1.83717,3.3000000000000003,0
0.023686646,-1.6165825,3.35,0
0.18688291,-1.422843,3.4000000000000004,0
0.34580368,-1.2535661,3.45,0
0.50084585,-1.1059465,3.5,0
0.6521951,-0.9771432,3.5500000000000003,0
0.80007184,-0.86447877,3.6,0
0.94485307,-0.7655407,3.65,0
1.0871059,-0.6782175,3.7,0
1.2275909,-0.60069174,3.75,0
1.3672348,-0.5314275,3.8,0
1.5071175,-0.46913886,3.85,0
1.6484332,-0.41276264,3.9,0
1.7924864,-0.361436,3.95,0
1.940662,-0.31445846,4.0,0
2.0944145,-0.2712829,4.05,0
2.2552626,-0.2314856,4.1000000000000005,0
2.4247656,-0.19475077,4.15,0
2.6045182,-0.16085346,4.2,0
2.7961226,-0.12963699,4.25,0
3.0011542,-0.10099572,4.3,0
3.2211297,-0.074855484,4.3500000000000005,0
3.4574258,-0.051141333,4.4,0
3.711211,-0.029747019,4.45,0
3.9833043,-0.010492242,4.5,0
4.274031,0.0069328793,4.55,0
4.582989,0.02303053,4.6000000000000005,0
4.908783,0.038590714,4.65,0
5.2486587,0.05478905,4.7,0
5.5980554,0.07332694,4.75,0
5.9500494,0.09659036,4.800000000000001,0
6.2946973,0.12783998,4.8500000000000005,0
6.6182675,0.17142709,4.9,0
6.9023833,0.23302288,4.95,0
7.1230993,0.31985214,5.0,0
