Temp,EB,Sty,H2,BeEt,ToMe,t,Run,dTdt,dEBdt,dStydt,dH2dt,dBeEtdt,dToMedt
940.366057010681,4.792020553938006,0.0,0.0,0.0,0.0,0.0,0,-94.16012656534673,-2.755917491861558,2.3092956307072314,2.3092956307072314,0.4466218611543265,0.0
930.2819515077935,4.494316807179168,0.25096981167389026,0.24904997857327887,0.044814101984332826,0.0019198331006113395,0.12,0,-75.21957962215248,-2.240159858596018,1.8986983537776894,1.8697623265316274,0.31252547757226645,0.028936027246061837
922.077733489771,4.248178001049498,0.4603266629790887,0.4539060043936368,0.07709523132396487,0.006420658585451728,0.24,0,-62.2565756419983,-1.8817323661888121,1.60551617204631,1.5609897309993213,0.2316897530955131,0.04452644104698896
915.2011122908602,4.038992630442989,0.6391645393258611,0.6268349249303217,0.10153376977361475,0.012329614395539123,0.36,0,-52.81108174128949,-1.6169398681571525,1.3847356648162712,1.3316312429587795,0.17909978148338945,0.05310442185749169
909.3139303538846,3.857711913145251,0.7945697408529034,0.7755601331124411,0.1207292921993875,0.019009607740461787,0.48,0,-45.61119278478947,-1.4125999265432871,1.21193030609509,1.1541952391058374,0.14293455345894449,0.057735066989252695
904.1939012194174,3.6983210166795275,0.9313621680796327,0.9052683594810051,0.13624356058021625,0.026093808598626967,0.6,0,-39.93330071998061,-1.2496813956156525,1.0726529793401267,1.012614928267591,0.11699036520298992,0.06003805107253577
899.6869348846604,3.5566055039027753,1.052979182013091,1.019616574128933,0.149073260137979,0.033362607884157486,0.72,0,-35.33548389122359,-1.1164652412851472,0.9577920361857414,0.8968660860083725,0.09774725492203686,0.06092595017736894
895.681704966493,3.4294893120013126,1.1619648756544858,1.1212835933987153,0.15988508402643473,0.040681282255769544,0.84,0,-31.532643864490296,-1.0053284968286311,0.8613067207878441,0.8003683465196,0.08308340177254302,0.060938374268244076
892.0950620053867,3.314652655187796,1.2602595385656803,1.212293341018651,0.16914216263749793,0.04796619754702831,0.96,0,-28.332626485515856,-0.9110913440326129,0.7790286097096665,0.7186222101970939,0.07165633481037384,0.06040639951257257
888.8631794658361,3.210298593903999,1.3493800993575196,1.2942146042474223,0.17717636556638713,0.05516549511009647,1.08,0,-25.60119887629037,-0.8301063610556019,0.7079850668106792,0.6484460840281777,0.06258231146242124,0.059538982782501484
885.9359277035597,3.1150037408604043,1.4305374729685125,1.3682898899097067,0.18423175705028036,0.06224758305880493,1.2,0,-23.24174349979183,-0.759727750933441,0.6459969283830648,0.587526085611015,0.05525997977832646,0.058470842772049794
883.2731578838374,3.0276190120835595,1.5047156648945437,1.4355216313123065,0.1904918433776633,0.0691940335822361,1.3199999999999998,0,-21.18292688894101,-0.6979873109375113,0.5914286618995894,0.5341384944362543,0.04926848157458661,0.057290167463335165
880.8421690398056,2.9472015438169246,1.5727266789537824,1.4967316009140108,0.1960972531275254,0.07599507803977065,1.44,0,-19.370916240019163,-0.6433888186221564,0.5430275025489903,0.4869722633685155,0.04430607689269118,0.056055239180474836
878.6159335465074,2.8729666934636544,1.6352496184258962,1.5526029350335562,0.20115755865611326,0.08264668339233913,1.56,0,-17.764301374970497,-0.5947731715300586,0.49981661331981586,0.44501189384653445,0.04015183873696123,0.05480471947328145
876.5718249069998,2.8042534137302817,1.692859137179215,1.6037105169921708,0.20575938284146258,0.08914862018704334,1.68,0,-16.330686399381058,-0.5512273927917056,0.46102221137215704,0.4074580317177524,0.03664100176514395,0.05356417965440462
874.690684132545,2.740498689389877,1.7460465986025058,1.6505434371557317,0.20997210449884754,0.09550316144677301,1.7999999999999998,0,-15.044342976470565,-0.5120216469031865,0.4260226450063244,0.3736723055733596,0.03364866246389723,0.05235033943296483
872.9561248584364,2.6812183963977625,1.7952360226707065,1.6935218213929502,0.2138519335917791,0.10171420127775531,1.92,0,-13.8845606592404,-0.4765647381888715,0.39431211782890274,0.3431382456017635,0.031078748132829542,0.05117387222713928
871.3540058716261,2.625992688302798,1.8407963289965352,1.733009679434412,0.2174448870765475,0.1077866495621224,2.04,0,-12.834463457670083,-0.4443720224240579,0.3654743407251984,0.3154330490488701,0.028856390022531195,0.050041291676328294
869.8720253019494,2.57445468937804,1.88305085640272,1.769324841814763,0.22078899356928752,0.11372601458795632,2.16,0,-11.880146369963605,-0.4150418767223522,0.33916308767588305,0.2902068493984921,0.02692255076907822,0.04895623827739092
868.4994044978057,2.526281637311835,1.9222848528855057,1.802746737836937,0.2239159486920954,0.11953811504856761,2.28,0,-11.010035643919903,-0.3882381806630327,0.31508763776870163,0.26716727030619225,0.02523017543182161,0.04792036746250938
867.2266388738592,2.4811878639089224,1.9587514346756896,1.8335225527184935,0.22685237339619665,0.1252288819571952,2.4,0,-10.214408144162345,-0.36367709110362584,0.29300173088877074,0.2460677621653194,0.023741391491403703,0.046933968723451354
866.0452980121506,2.438919135133449,1.9926764068488976,1.8618721859295744,0.22962079103633495,0.1308042209193221,2.52,0,-9.485024885561039,-0.3411169084256068,0.2726950666559048,0.22669866680735093,0.022425441921148204,0.04599639984855385
864.9478656234876,2.3992480948544084,2.024262157185102,1.8879922366470898,0.23224038136048156,0.1362699205380112,2.6399999999999997,0,-8.814849410236313,-0.32035025418888186,0.25398671780983634,0.20888032339599377,0.02125714196520288,0.0451063944138426
863.927608857303,2.3619705259490384,2.053690860271968,1.9120592690503082,0.23472757649533918,0.1416315912216584,2.76,0,-8.197828304869775,-0.30119794594566757,0.2367199542894811,0.19245767457604765,0.020215711942753012,0.04426227971343343
