tB,tS,tP,tV,t,Run
4.805019,0.8397001,0.22099836,0.2,0.0,0
59.559723,345.6867,0.28619757,2.51,21.0,0
131.18529,183.68997,2.8913682,5.15,45.0,0
127.51836,116.65793,6.712636,7.46,66.0,0
104.42989,81.44239,11.035877,9.77,87.0,0
75.860306,72.761375,13.682777,12.41,111.0,0
57.70438,66.58499,14.877769,14.72,132.0,0
47.159985,53.01476,14.746433,17.03,153.0,0
38.808952,65.31029,13.990446,19.67,177.0,0
31.035969,63.632828,13.458946,21.98,198.0,0
5.7305174,-0.7959696,-0.038845334,0.2,0.0,1
53.95856,326.7837,0.11154647,2.51,21.0,1
114.244095,178.15862,2.7947142,5.15,45.0,1
115.88449,110.87608,6.5172005,7.46,66.0,1
94.61028,75.70118,10.311205,9.77,87.0,1
67.2074,70.38465,13.201442,12.41,111.0,1
50.502293,61.29536,13.937024,14.72,132.0,1
42.898804,53.530563,13.511025,17.03,153.0,1
32.086876,55.3952,13.080499,19.67,177.0,1
30.731754,59.25639,12.214114,21.98,198.0,1
3.3666987,-3.780496,0.09005442,0.2,0.0,2
58.749287,354.53076,0.43741268,2.51,21.0,2
131.44016,189.78554,2.7178063,5.15,45.0,2
129.91527,108.26072,6.692981,7.46,66.0,2
105.701294,82.21892,10.80535,9.77,87.0,2
75.260506,62.783592,13.549877,12.41,111.0,2
57.6415,67.114006,15.082116,14.72,132.0,2
46.634354,59.973003,15.082295,17.03,153.0,2
39.629887,57.783546,14.165091,19.67,177.0,2
32.6022,50.950836,13.61702,21.98,198.0,2
3.5108328,-11.764596,0.060542747,0.2,0.0,3
50.607426,329.76495,0.16475865,2.51,21.0,3
114.15317,197.46165,2.5632744,5.15,45.0,3
117.13584,120.00432,6.259434,7.46,66.0,3
98.71676,73.92078,10.298275,9.77,87.0,3
73.38954,61.315884,12.88137,12.41,111.0,3
55.052097,65.58172,14.205402,14.72,132.0,3
48.134026,60.67,13.929313,17.03,153.0,3
44.134716,56.53255,14.028469,19.67,177.0,3
33.82301,55.320065,13.09135,21.98,198.0,3
4.8520803,-6.493381,-0.017288301,0.2,0.0,4
63.256657,365.663,0.31189188,2.51,21.0,4
141.11378,193.92856,2.952212,5.15,45.0,4
141.8805,118.31315,7.0195932,7.46,66.0,4
110.373825,83.70665,11.454063,9.77,87.0,4
72.887474,62.293552,14.8376255,12.41,111.0,4
53.31557,66.83138,15.402195,14.72,132.0,4
45.944115,59.65415,14.924974,17.03,153.0,4
40.203384,53.191013,13.745971,19.67,177.0,4
33.094006,50.98791,13.593423,21.98,198.0,4
5.0488744,1.0269371,0.028452145,0.2,0.0,5
68.83883,384.9026,0.3383839,2.51,21.0,5
143.5412,203.95096,3.1183293,5.15,45.0,5
145.44789,129.86871,7.138111,7.46,66.0,5
117.897354,97.80149,11.645375,9.77,87.0,5
86.33388,75.29161,14.714571,12.41,111.0,5
67.80285,60.152206,15.848676,14.72,132.0,5
55.674473,61.37931,16.021173,17.03,153.0,5
44.17606,64.17278,15.16744,19.67,177.0,5
36.506943,54.47629,14.556244,21.98,198.0,5
8.342106,3.004963,0.1343256,0.2,0.0,6
70.51121,346.1525,0.5105883,2.51,21.0,6
131.83075,185.88174,3.2218041,5.15,45.0,6
132.23819,117.900925,6.7142715,7.46,66.0,6
107.31345,91.04614,11.001645,9.77,87.0,6
76.031746,80.644005,13.753215,12.41,111.0,6
57.49596,57.71472,14.910346,14.72,132.0,6
45.74535,58.63413,14.467949,17.03,153.0,6
38.243744,63.63028,13.98693,19.67,177.0,6
35.439423,54.091236,13.280305,21.98,198.0,6
7.989718,-2.9696462,-0.0030828188,0.2,0.0,7
64.20909,349.7351,0.2111949,2.51,21.0,7
131.76546,177.75826,2.9946113,5.15,45.0,7
128.78015,116.583374,6.8840322,7.46,66.0,7
104.16519,89.490364,10.670995,9.77,87.0,7
76.80121,73.09531,13.8168335,12.41,111.0,7
60.1925,65.89715,14.835205,14.72,132.0,7
45.29992,68.394,14.991633,17.03,153.0,7
41.00276,62.49291,13.983997,19.67,177.0,7
31.72101,63.789097,13.814955,21.98,198.0,7
4.061932,6.119178,0.12670551,0.2,0.0,8
59.02988,351.0882,0.56247014,2.09,21.0,8
129.47551,192.11684,2.9037268,4.25,45.0,8
128.47165,120.789154,6.684495,6.1400003,66.0,8
102.00877,80.58745,10.745518,8.03,87.0,8
74.51373,77.38025,13.90574,10.19,111.0,8
59.574593,64.615715,14.703417,12.08,132.0,8
44.232513,59.352978,15.101903,13.969999,153.0,8
36.132317,54.68137,14.298765,16.13,177.0,8
37.040318,58.988598,13.126004,18.02,198.0,8
