tB,tS,tP,tV,t,Run
84.055824,69.530914,14.971939,12.410007,111.0,1
80.53323,65.88218,15.202179,12.740008,114.0,1
76.756226,61.665863,15.349528,13.070009,117.0,1
72.89276,57.190098,15.396459,13.40001,120.0,1
69.1659,52.853275,15.338852,13.730011,123.0,1
65.78506,49.025455,15.19268,14.060012,126.0,1
62.873127,45.9401,14.991056,14.390014,129.0,1
60.441364,43.661587,14.772208,14.720015,132.0,1
58.42083,42.125874,14.567006,15.050015,135.0,1
56.713543,41.206043,14.393229,15.380016,138.0,1
55.229156,40.76369,14.256725,15.710017,141.0,1
53.898785,40.67745,14.155667,16.040018,144.0,1
52.67503,40.852333,14.08466,16.37002,147.0,1
51.526833,41.218674,14.037449,16.70002,150.0,1
50.434193,41.726982,14.008299,17.030022,153.0,1
49.384254,42.342735,13.99251,17.360022,156.0,1
48.3685,43.041943,13.986478,17.690023,159.0,1
47.381165,43.8077,13.987536,18.020023,162.0,1
46.418102,44.62804,13.993776,18.350025,165.0,1
45.476162,45.494568,14.003858,18.680025,168.0,1
44.55295,46.401237,14.016831,19.010027,171.0,1
43.646355,47.343575,14.032054,19.340027,174.0,1
42.75463,48.318584,14.049073,19.670029,177.0,1
41.87619,49.323887,14.067571,20.00003,180.0,1
41.00962,50.357918,14.087331,20.33003,183.0,1
40.153606,51.419537,14.108202,20.660032,186.0,1
39.306934,52.507957,14.130069,20.990032,189.0,1
38.468483,53.62269,14.152856,21.320034,192.0,1
37.63717,54.763477,14.176512,21.650034,195.0,1
36.811993,55.930344,14.200992,21.980034,198.0,1
-7.627011,97.420654,-0.9274809,0.2,0.0,2
0.05931274,425.93396,1.3886132,0.53000003,3.0,2
15.87962,433.78146,0.78875667,0.86000013,6.0,2
28.622946,429.9907,0.5995275,1.1900002,9.0,2
39.986958,424.48215,0.5622545,1.5200001,12.0,2
50.529,417.53433,0.60721314,1.8500003,15.0,2
60.488094,406.65613,0.7178357,2.1800003,18.0,2
70.05531,393.7544,0.875506,2.5100005,21.0,2
79.36381,376.94925,1.0703858,2.8400006,24.0,2
88.494865,357.37207,1.2940236,3.1700003,27.0,2
97.454285,332.86005,1.5437212,3.5,30.0,2
106.18054,306.4862,1.8148899,3.83,33.0,2
114.55449,278.0602,2.105888,4.1600003,36.0,2
122.376724,249.72327,2.4207108,4.4900007,39.0,2
129.3512,220.8816,2.7728648,4.8200006,42.0,2
135.0756,194.32343,3.18373,5.150001,45.0,2
139.11275,170.76437,3.678504,5.4800014,48.0,2
141.05438,152.20714,4.2802014,5.8100014,51.0,2
140.75989,140.11525,4.983523,6.140001,54.0,2
138.45241,132.14029,5.7540574,6.4700003,57.0,2
134.69635,127.05883,6.53514,6.8,60.0,2
130.26064,122.46513,7.266981,7.1299996,63.0,2
125.81715,117.87058,7.9160924,7.46,66.0,2
121.732574,112.0989,8.4904,7.7900004,69.0,2
118.070694,105.65312,9.026866,8.120001,72.0,2
114.8359,100.11925,9.544784,8.450001,75.0,2
112.016205,95.36665,10.048504,8.780002,78.0,2
109.52723,91.14869,10.547409,9.110002,81.0,2
107.31962,88.38209,11.037048,9.440002,84.0,2
105.367096,86.63601,11.506102,9.770002,87.0,2
103.54687,84.86219,11.963296,10.100002,90.0,2
101.79503,84.25602,12.406268,10.430003,93.0,2
100.092606,83.97163,12.82637,10.760003,96.0,2
98.32082,83.21204,13.234591,11.090004,99.0,2
96.39214,82.61431,13.634699,11.420005,102.0,2
94.272285,81.83447,14.020717,11.750006,105.0,2
