,S_spl,S_spl_smoothed,dS_spl,dS_spl_smoothed,t,Run,I_spl,I_spl_smoothed,dI_spl,dI_spl_smoothed,R_spl,R_spl_smoothed,dR_spl,dR_spl_smoothed
0,0.8124105000000001,0.7286099622470334,-0.4185177863571795,-0.19292470876506743,0.0,0,0.019405206999999997,0.04156472324754348,0.08517087017496253,-0.0021609611701620865,0.015612667999999984,0.09620947860968872,0.4560344714562698,0.1652908238240704
1,0.7711837561973293,0.7094658240402221,-0.406017089696236,-0.18995805537116273,0.1,0,0.027705132300879315,0.04134636536860734,0.08082763584262379,-0.002206196408560735,0.06042391380960104,0.11264165217644985,0.44019044473575136,0.16335264751115192
2,0.7312070820607529,0.6906183511728011,-0.3935163930352924,-0.186991401977258,0.2,0,0.035570734168524756,0.04112348396583134,0.07648440151028503,-0.0022514316469593827,0.10365075694715024,0.12888000811191913,0.4243464180152329,0.1614144711982334
3,0.6924804775902708,0.6720675436447704,-0.3810156963743489,-0.18402474858335321,0.30000000000000004,0,0.043002012602936325,0.04089607903921546,0.07214116717794627,-0.00229666688535803,0.14529319741264765,0.14492454641609653,0.40850239129471444,0.15947629488531492
4,0.6550039427858833,0.6538134014561303,-0.3685149997134054,-0.18105809518944851,0.4,0,0.049998967604114014,0.040664150588759725,0.06779793284560755,-0.002341902123756678,0.18535123520609312,0.1607752670889821,0.39265836457419606,0.1575381185723964
5,0.61877747764759,0.6358559246068806,-0.35601430305246184,-0.17809144179554381,0.5,0,0.05656159917205783,0.04042769861446413,0.0634546985132688,-0.0023871373621553262,0.22382487032748682,0.1764321701305758,0.3768143378536776,0.15559994225947793
6,0.5838010821753907,0.6181951130970215,-0.34351360639151823,-0.17512478840163906,0.6000000000000001,0,0.06268990730676778,0.040186723116328656,0.05911146418093004,-0.002432372600553974,0.2607141027768287,0.1918952555408777,0.3609703111331591,0.15366176594655942
7,0.5500747563692862,0.6008309669265529,-0.33101290973057473,-0.17215813500773436,0.7000000000000001,0,0.06838389200824385,0.03994122409435334,0.05476822984859129,-0.002477607838952622,0.2960189325541187,0.20716452331988774,0.34512628441264065,0.15172358963364094
8,0.5175985002292759,0.5837634860954746,-0.3185122130696312,-0.16919148161382958,0.8,0,0.07364355327648603,0.039691201548538134,0.05042499551625254,-0.0025228430773512694,0.3297393596593568,0.22223997346760585,0.32928225769212216,0.1497854133207224
9,0.48637231375536005,0.5669926706037869,-0.3060115164086877,-0.16622482821992485,0.9,0,0.07846889111149435,0.03943665547888307,0.0460817611839138,-0.0025680783157499176,0.3618753840925431,0.23712160598403215,0.3134382309716038,0.14784723700780394
10,0.45639619694753836,0.5505185204514896,-0.29351081974774407,-0.16325817482602015,1.0,0,0.08285990551326879,0.03917758588538815,0.041738526851575045,-0.0026133135541485655,0.3924270058536775,0.25180942086916663,0.2975942042510853,0.14590906069488546
11,0.42767014980581114,0.534341035638583,-0.28101012308680057,-0.16029152143211545,1.1,0,0.08681659648180937,0.038913992768053365,0.03739529251923629,-0.0026585487925472133,0.4213942249427602,0.26630341812300934,0.28175017753056686,0.14397088438196695
12,0.40019417233017823,0.5184602161650668,-0.268509426425857,-0.1573248680382107,1.2000000000000002,0,0.09033896401711607,0.03864587612687871,0.03305205818689754,-0.002703784030945861,0.44877704135979096,0.2806035977455601,0.26590615081004837,0.14203270806904847
13,0.3739682645206397,0.5028760620309406,-0.25600872976491346,-0.15435821464430596,1.3,0,0.09342700811918887,0.03837323596186419,0.028708823854558793,-0.0027490192693445086,0.47457545510476984,0.29470995973681896,0.25006212408952994,0.14009453175612993
14,0.3489924263771956,0.4875885732362053,-0.2435080331039699,-0.1513915612504012,1.4000000000000001,0,0.09608072878802783,0.03809607227300981,0.024365589522220045,-0.002794254507743157,0.4987894661776969,0.30862250409678604,0.23421809736901145,0.13815635544321148
15,0.3252666578998458,0.4725977497808605,-0.2310073364430264,-0.14842490785649654,1.5,0,0.09830012602363289,0.03781438506031556,0.0200223551898813,-0.002839489746141805,0.5214190745785722,0.3223412308254613,0.218374070648493,0.136218179130293
16,0.30279095908859033,0.45790359166490624,-0.21850663978208285,-0.14545825446259178,1.6,0,0.10008519982600408,0.03752817432378145,0.01567912085754255,-0.002884724984540453,0.5424642803073955,0.3358661399228447,0.20253004392797455,0.13428000281737448
17,0.28156532994342914,0.44350609888834214,-0.2060059431211393,-0.14249160106868702,1.7000000000000002,0,0.10143595019514141,0.03723744006340748,0.0113358865252038,-0.002929960222939101,0.561925083364167,0.3491972313889363,0.1866860172074561,0.13234182650445597
18,0.26158977046436244,0.42940527145116864,-0.19350524646019573,-0.1395249476747823,1.8,0,0.10235237713104486,0.036942182279193624,0.006992652192865059,-0.0029751954613377483,0.5798014837488868,0.36233450522373584,0.17084199048693766,0.13040365019153746
19,0.24286428065138999,0.41560110935338573,-0.18100454979925218,-0.13655829428087757,1.9000000000000001,0,0.10283448063371438,0.036642400971139924,0.002649417860526304,-0.0030204306997363966,0.5960934814615545,0.3752779614272437,0.15499796376641917,0.12846547387861898
20,0.22538886050451198,0.40209361259499315,-0.16850385313830865,-0.13359164088697287,2.0,0,0.10288226070315011,0.036338096139246344,-0.001693816471812437,-0.003065665938135044,0.6108010765021705,0.3880275999994596,0.13915393704590073,0.1265272975657005
21,0.20916351002372824,0.38888278117599107,-0.1560031564773651,-0.1306249874930681,2.1,0,0.10249571733935192,0.03602926778351291,-0.006037050804151192,-0.0031109011765336923,0.6239242688707347,0.4005834209403838,0.12330991032538229,0.12458912125278199
