,S_spl,S_spl_smoothed,dS_spl,dS_spl_smoothed,t,Run,I_spl,I_spl_smoothed,dI_spl,dI_spl_smoothed,R_spl,R_spl_smoothed,dR_spl,dR_spl_smoothed
0,0.82412267,0.706149045600498,-0.4859358567566079,-0.19932584141035828,0.0,0,0.02399020799999999,0.07165347865622848,0.16814974623326526,-0.01089640040994613,3.4478878253318706e-18,0.0703103430887151,0.3177860738571728,0.21022224053137678
1,0.7764124812405433,0.6863648906073679,-0.468267918432525,-0.1963572584522445,0.1,0,0.04023570391733014,0.07056655426227183,0.15676017211333776,-0.01084208746918678,0.03146468929476104,0.09118142234443223,0.31150771203804783,0.20719934458296557
2,0.7304690863134948,0.6668775939100492,-0.4505999801084422,-0.19338867549413072,0.2,0,0.05534224242266753,0.06948506116239114,0.14537059799341023,-0.010787774528427427,0.06230154240760956,0.11175021200530823,0.3052293502189228,0.20417644863455436
3,0.6862924852188549,0.6476871555085417,-0.4329320417843594,-0.19042009253601688,0.30000000000000004,0,0.0693098235160122,0.06840899935658634,0.13398102387348276,-0.010733461587668074,0.09251055933854561,0.13201671207134308,0.2989509883997979,0.2011535526861431
4,0.643882677956623,0.6287935754028458,-0.4152641034602766,-0.1874515095779031,0.4,0,0.08213844719736409,0.06733836884485751,0.12259144975355525,-0.010679148646908722,0.12209174008756912,0.15198092254253684,0.29267262658067283,0.1981306567377319
5,0.6032396645267997,0.6101968535929609,-0.3975961651361938,-0.18448292661978932,0.5,0,0.09382811346672325,0.06627316962720461,0.11120187563362778,-0.010624835706149372,0.15104508465468017,0.17164284341888947,0.28639426476154795,0.19510776078932068
6,0.5643634449293843,0.5918969900788879,-0.37992822681211097,-0.18151434366167551,0.6000000000000001,0,0.10437882232408964,0.06521340170362765,0.09981230151370027,-0.010570522765390021,0.1793705930398787,0.19100247470040096,0.28011590294242295,0.19208486484090947
7,0.5272540191643773,0.573893984860626,-0.3622602884880281,-0.17854576070356173,0.7000000000000001,0,0.11379057376946329,0.06415906507412662,0.08842272739377277,-0.01051620982463067,0.20706826524316477,0.2100598163870714,0.273837541123298,0.18906196889249827
8,0.49191138723177863,0.5561878379381754,-0.34459235016394524,-0.1755771777454479,0.8,0,0.1220633678028442,0.06311015973870149,0.07703315327384527,-0.010461896883871315,0.23413810126453832,0.2288148684789006,0.267559179304173,0.186039072944087
9,0.45833554913158836,0.5387785493115362,-0.3269244118398624,-0.17260859478733412,0.9,0,0.12919720442423235,0.06206668569735233,0.06564357915391779,-0.010407583943111965,0.2605801011039994,0.24726763097588875,0.26128081748504806,0.1830161769956758
10,0.42652650486380617,0.5216661189807087,-0.3092564735157797,-0.16964001182922034,1.0,0,0.13519208363362778,0.06102864295007911,0.054254005033990284,-0.010353271002352612,0.28639426476154795,0.26541810387803577,0.25500245566592306,0.17999328104726459
11,0.3964842544284323,0.5048505469456924,-0.2915885351916968,-0.16667142887110656,1.1,0,0.14004800543103044,0.059996031496881826,0.04286443091406277,-0.010298958061593262,0.311580592237184,0.2832662871853417,0.24872409384679808,0.17697038509885338
12,0.3682087978254667,0.4883318332064874,-0.27392059686761394,-0.16370284591299278,1.2000000000000002,0,0.14376496981644032,0.05896885133776047,0.031474856794135274,-0.010244645120833909,0.33613908353090755,0.30081218089780654,0.24244573202767308,0.17394748915044217
13,0.34170013505490954,0.4721099777630937,-0.2562526585435312,-0.16073426295487897,1.3,0,0.14634297678985747,0.05794710247271503,0.020085282674207783,-0.010190332180074558,0.36006973864271863,0.3180557850154301,0.23616737020854814,0.1709245932020309
14,0.3169582661167606,0.45618498061551144,-0.23858472021944832,-0.15776567999676516,1.4000000000000001,0,0.14778202635128188,0.056930784901745544,0.008695708554280285,-0.010136019239315206,0.38337255757261723,0.33499709953821266,0.22988900838942317,0.1679016972536197
15,0.2939831910110199,0.4405568417637407,-0.22091678189536554,-0.15479709703865135,1.5,0,0.14808211850071354,0.055919898624852,-0.0026938655656471994,-0.010081706298555855,0.40604754032060325,0.35163612446615405,0.22361064657029822,0.1648788013052085
16,0.2727749097376875,0.4252255612077814,-0.20324884357128267,-0.15182851408053757,1.6,0,0.1472432532381524,0.054914443642034384,-0.014083439685574704,-0.010027393357796503,0.4280946868866768,0.3679728597992543,0.21733228475117322,0.16185590535679728
17,0.2533334222967633,0.41019113894763326,-0.18558090524719986,-0.14885993112242377,1.7000000000000002,0,0.14526543056359859,0.0539144199532927,-0.02547301380550221,-0.009973080417037152,0.44951399727083796,0.3840073055375136,0.21105392293204822,0.15883300940838604
18,0.23565872868824753,0.3954535749832964,-0.16791296692311705,-0.14589134816430996,1.8,0,0.14214865047705202,0.05291982755862694,-0.036862587925429686,-0.009918767476277799,0.47030547147308643,0.3997394616809315,0.20477556111292328,0.1558101134599748
19,0.2197508289121399,0.3810128693147713,-0.1502450285990342,-0.14292276520619618,1.9000000000000001,0,0.1378929129785126,0.05193066645803713,-0.0482521620453572,-0.009864454535518449,0.4904691094934225,0.4151693282295084,0.1984971992937983,0.1527872175115636
20,0.20560972296844068,0.3668690219420573,-0.1325770902749514,-0.1399541822480824,2.0,0,0.13249821806798057,0.05094693665152326,-0.059641736165284676,-0.009810141594759096,0.5100049113318461,0.4302969051832442,0.19221883747467333,0.1497643215631524
21,0.19323541085714968,0.35302203286515477,-0.11490915195086857,-0.1369855992899686,2.1,0,0.1259645657454557,0.049968638139085315,-0.07103131028521219,-0.009755828653999744,0.5289128769883572,0.445122192542139,0.18594047565554833,0.14674142561474116
