,x1_spl,x1_spl_smoothed,dx1_spl,dx1_spl_smoothed,t,Run,x2_spl,x2_spl_smoothed,dx2_spl,dx2_spl_smoothed
0,1.3233167,1.3233167,0.20216693081224477,0.20216693081224477,0.0,0,2.230459,2.230459,-1.0191784560759185,-1.0191784560759185
1,1.3431481117704123,1.3431481117704123,0.1944613045959999,0.1944613045959999,0.1,0,2.1294594571584846,2.1294594571584846,-1.0008124007544001,-1.0008124007544001
2,1.3622089609192003,1.3622089609192003,0.186755678379755,0.186755678379755,0.2,0,2.0302965198491205,2.0302965198491205,-0.9824463454328819,-0.9824463454328819
3,1.3804992474463629,1.3804992474463629,0.17905005216351008,0.17905005216351008,0.30000000000000004,0,1.932970188071908,1.932970188071908,-0.9640802901113633,-0.9640802901113633
4,1.398018971351902,1.398018971351902,0.17134442594726518,0.17134442594726518,0.4,0,1.8374804618268472,1.8374804618268472,-0.945714234789845,-0.945714234789845
5,1.414768132635816,1.414768132635816,0.1636387997310203,0.1636387997310203,0.5,0,1.743827341113939,1.743827341113939,-0.9273481794683267,-0.9273481794683267
6,1.430746731298106,1.430746731298106,0.1559331735147754,0.1559331735147754,0.6000000000000001,0,1.6520108259331823,1.6520108259331823,-0.9089821241468083,-0.9089821241468083
7,1.4459547673387716,1.4459547673387716,0.14822754729853052,0.14822754729853052,0.7000000000000001,0,1.5620309162845778,1.5620309162845778,-0.89061606882529,-0.89061606882529
8,1.460392240757812,1.460392240757812,0.1405219210822856,0.1405219210822856,0.8,0,1.4738876121681241,1.4738876121681241,-0.8722500135037714,-0.8722500135037714
9,1.4740591515552284,1.4740591515552284,0.1328162948660407,0.1328162948660407,0.9,0,1.3875809135838229,1.3875809135838229,-0.8538839581822532,-0.8538839581822532
10,1.4869554997310201,1.4869554997310201,0.1251106686497958,0.1251106686497958,1.0,0,1.3031108205316735,1.3031108205316735,-0.8355179028607348,-0.8355179028607348
11,1.4990812852851876,1.4990812852851876,0.11740504243355093,0.11740504243355093,1.1,0,1.2204773330116765,1.2204773330116765,-0.8171518475392165,-0.8171518475392165
12,1.5104365082177307,1.5104365082177307,0.10969941621730604,0.10969941621730604,1.2000000000000002,0,1.1396804510238305,1.1396804510238305,-0.7987857922176981,-0.7987857922176981
13,1.5210211685286485,1.5210211685286485,0.10199379000106112,0.10199379000106112,1.3,0,1.060720174568136,1.060720174568136,-0.7804197368961797,-0.7804197368961797
14,1.5308352662179425,1.5308352662179425,0.09428816378481622,0.09428816378481622,1.4000000000000001,0,0.9835965036445942,0.9835965036445942,-0.7620536815746614,-0.7620536815746614
15,1.5398788012856122,1.5398788012856122,0.08658253756857136,0.08658253756857136,1.5,0,0.9083094382532042,0.9083094382532042,-0.7436876262531431,-0.7436876262531431
16,1.548151773731657,1.548151773731657,0.07887691135232645,0.07887691135232645,1.6,0,0.8348589783939658,0.8348589783939658,-0.7253215709316246,-0.7253215709316246
17,1.5556541835560775,1.5556541835560775,0.07117128513608155,0.07117128513608155,1.7000000000000002,0,0.7632451240668789,0.7632451240668789,-0.7069555156101063,-0.7069555156101063
18,1.562386030758873,1.562386030758873,0.06346565891983665,0.06346565891983665,1.8,0,0.6934678752719441,0.6934678752719441,-0.6885894602885878,-0.6885894602885878
19,1.5683473153400447,1.5683473153400447,0.05576003270359177,0.05576003270359177,1.9000000000000001,0,0.6255272320091616,0.6255272320091616,-0.6702234049670694,-0.6702234049670694
20,1.5735380372995915,1.5735380372995915,0.04805440648734688,0.04805440648734688,2.0,0,0.5594231942785306,0.5594231942785306,-0.6518573496455511,-0.6518573496455511
21,1.5779581966375142,1.5779581966375142,0.04034878027110196,0.04034878027110196,2.1,0,0.4951557620800512,0.4951557620800512,-0.6334912943240327,-0.6334912943240327
22,1.581607793353812,1.581607793353812,0.03264315405485704,0.03264315405485704,2.2,0,0.432724935413724,0.432724935413724,-0.6151252390025144,-0.6151252390025144
23,1.5844868274484856,1.5844868274484856,0.024937527838612167,0.024937527838612167,2.3000000000000003,0,0.3721307142795485,0.3721307142795485,-0.596759183680996,-0.596759183680996
24,1.5865952989215346,1.5865952989215346,0.017231901622367263,0.017231901622367263,2.4000000000000004,0,0.3133730986775246,0.3133730986775246,-0.5783931283594776,-0.5783931283594776
25,1.5879332077729589,1.5879332077729589,0.009526275406122386,0.009526275406122386,2.5,0,0.256452088607653,0.256452088607653,-0.5600270730379593,-0.5600270730379593
26,1.588500554002759,1.588500554002759,0.0018206491898775101,0.0018206491898775101,2.6,0,0.201367684069933,0.201367684069933,-0.5416610177164409,-0.5416610177164409
27,1.5882973376109342,1.5882973376109342,-0.005884977026367422,-0.005884977026367422,2.7,0,0.14811988506436463,0.14811988506436463,-0.5232949623949225,-0.5232949623949225
28,1.5873235585974852,1.5873235585974852,-0.013590603242612326,-0.013590603242612326,2.8000000000000003,0,0.09670869159094828,0.09670869159094828,-0.5049289070734041,-0.5049289070734041
29,1.5855792169624119,1.5855792169624119,-0.021296229458857202,-0.021296229458857202,2.9000000000000004,0,0.047134103649683526,0.047134103649683526,-0.4865628517518856,-0.4865628517518856
30,1.583064312705714,1.583064312705714,-0.02900185567510208,-0.02900185567510208,3.0,0,-0.0006038787594287304,-0.0006038787594287304,-0.4681967964303674,-0.4681967964303674
31,1.5797788458273918,1.5797788458273918,-0.03670748189134698,-0.03670748189134698,3.1,0,-0.04650525563638962,-0.04650525563638962,-0.449830741108849,-0.449830741108849
