,Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
19,vdp,10,10,5,0,1.00E-06,2,10,0.1,tanh,40,398,0.000995383,281.2404058,1.848152625,1.848152466,0.91671309,1.466803239,0.628007404,2.027509043,0.759978139,converge,1.474197998,1.375069635,1.651248633,0.673888709,7.121463346,5.114435321
20,vdp,10,10,5,0,1.00E-06,1,15,0.1,tanh,40,399,0.003687186,251.6139941,1.863620534,1.863620605,0.883816483,1.454077485,0.645716189,2.549534801,0.827199863,converge,1.426113739,1.325724725,2.864005312,0.883431336,8.956742403,6.325342736
21,vdp,10,10,5,0,1.00E-06,2,15,0.1,tanh,40,378,0.000748116,291.772759,1.72868463,1.72868454,0.917669601,1.243156987,0.540170589,1.882775558,0.693063877,converge,1.508638306,1.376504402,1.485098323,0.599098705,5.369401725,4.237170786
22,vdp,10,10,5,0,1.00E-06,1,20,0.1,tanh,40,626,0.001728338,576.2563343,1.808804898,1.808804932,0.938496915,1.221973637,0.674270316,1.762486194,0.764517283,converge,1.49415451,1.407745373,1.925035879,0.762634728,7.220730799,5.677615058
23,vdp,10,10,5,0,1.00E-06,2,20,0.1,tanh,40,297,0.001306717,363.9747901,1.976518164,1.97651825,0.967540326,1.207210479,0.536549573,1.866011891,0.686383551,converge,1.532444763,1.451310489,1.781680348,0.639207794,5.300339758,4.438117894
24,vdp,10,4,5,0.05,1.00E-06,1,10,0.1,tanh,40,401,0.003326025,146.2789831,1.982493176,2.041647949,0.96212806,1.008638206,0.481906462,1.674901431,0.731752533,converge,1.591017609,1.44319209,1.568291659,0.680867539,6.642092353,4.141013841
25,vdp,10,4,5,0.05,1.00E-06,2,10,0.1,tanh,40,292,0.003331797,141.9749579,1.942461818,2.049233551,0.979495685,2.114730893,0.694610234,2.381742969,0.883592789,converge,1.615006256,1.469243528,1.883893649,0.753385369,9.259544427,4.973831264
26,vdp,10,4,5,0.05,1.00E-06,1,15,0.1,tanh,40,369,0.003482316,139.9822469,2.152258858,2.237449036,1.031909157,0.97445399,0.564568831,2.133468305,0.888274587,converge,1.570401306,1.547863736,2.115440936,0.875374426,7.315483441,5.235739367
27,vdp,10,4,5,0.05,1.00E-06,2,15,0.1,tanh,40,284,0.003248646,139.9331999,2.321742746,2.428997803,1.074119937,2.293013958,0.775956733,3.101909515,1.064062678,converge,1.784132538,1.611179905,2.354506564,0.928087069,16.34135055,6.283609835
28,vdp,10,4,5,0.05,1.00E-06,1,20,0.1,tanh,40,439,0.003659717,171.3605275,1.622287903,1.703956909,0.891435701,1.085628284,0.601864486,2.046776228,0.860749725,converge,1.547218475,1.337153551,1.895313254,0.80139065,5.982101618,4.640015533
29,vdp,10,4,5,0.05,1.00E-06,2,20,0.1,tanh,40,346,0.003348559,175.3244548,2.189832565,2.295104218,1.048698227,2.599360335,0.844146989,2.881268939,1.010451608,converge,1.650014954,1.57304734,2.123474711,0.864069358,11.04937791,5.836741793
30,vdp,10,7,5,0.05,1.00E-06,1,10,0.1,tanh,40,447,0.004542313,292.1422648,7.680856407,7.759768066,1.386581722,485564.0502,72.8191762,1.695514056,0.804117952,converge,1.473656006,2.079872583,1.645691411,0.762781732,6.338591776,5.037667737
31,vdp,10,7,5,0.05,1.00E-06,2,10,0.1,tanh,40,321,0.004179703,279.2580318,1.390507147,1.462379608,0.820981702,1.267576349,0.593495879,2.064785301,0.805306129,converge,1.429548492,1.231472552,1.739948991,0.73010223,6.669915164,4.839932001
32,vdp,10,7,5,0.05,1.00E-06,1,15,0.1,tanh,40,428,0.004224744,282.6474037,1.849535335,1.89897934,0.923383614,0.787553077,0.584161735,1.652100588,0.807357994,converge,1.436425629,1.385075421,1.568711975,0.79124695,7.326828632,5.769645538
33,vdp,10,7,5,0.05,1.00E-06,2,15,0.1,tanh,40,448,0.004049191,394.5944099,1.418968947,1.490301971,0.83090115,1.18607966,0.54760369,2.048784342,0.806097608,converge,1.47263855,1.246351724,1.659267077,0.712223425,6.33340052,4.466477026
34,vdp,10,7,5,0.05,1.00E-06,1,20,0.1,tanh,40,585,0.004316863,388.2689538,1.328552404,1.423474884,0.801830665,0.980660163,0.619166962,2.159785865,0.946764729,converge,1.41959137,1.202745998,2.173890448,0.935238348,7.39683444,5.416719468
